compound_code	compound_name	cd630_cefoperazone_score	escherichia_630_score	ratio	magnitude	interaction_score	percentile
C06188	Salicin_6-phosphate	6.524	2.0	0.307	96.028	4.88	80.0
C00024	Acetyl-CoA	-7.807	1.677	0.014	227.143	-1.697	80.0
C00122	Fumarate	-2.184	0.93	0.419	6.449	-1.435	80.0
C00035	GDP	-5.984	-0.322	0.0	0.0	0.0	50.0
C00022	Pyruvate	-6.921	-2.353	0.0	0.0	0.0	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	5.0	4.907	0.981	62.002	5.927	90.0
C01172	beta-D-Glucose_6-phosphate	6.512	-1.0	0.022	93.266	-1.031	60.0
C01228	Guanosine_3',5'-bis(diphosphate)	-3.459	1.0	0.182	12.997	-1.241	70.0
C00011	CO2	8.055	4.624	0.574	290.606	7.382	90.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	4.392	-4.907	0.7	50.998	-5.157	90.0
C00149	(S)-Malate	1.222	-5.588	0.048	50.434	-1.29	70.0
C02047	L-Leucyl-tRNA	-6.476	-1.585	0.0	0.0	0.0	50.0
C00993	D-Alanyl-D-alanine	3.907	4.907	0.796	45.003	5.163	80.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	3.0	4.907	0.611	38.002	4.538	70.0
C00049	L-Aspartate	-4.675	-0.203	0.0	0.0	0.0	50.0
C00048	Glyoxylate	-5.539	-8.882	0.0	0.0	0.0	50.0
C00123	L-Leucine	6.476	0.415	0.064	90.35	2.534	70.0
C00197	3-Phospho-D-glycerate	-4.398	-2.115	0.0	0.0	0.0	50.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	4.392	-4.907	0.7	50.998	-5.157	90.0
