compound_code	compound_name	bacteroides_630_score	escherichia_630_score	ratio	magnitude	interaction_score	percentile
C06188	Salicin_6-phosphate	1.0	2.0	0.5	6.0	1.585	80.0
C00024	Acetyl-CoA	1.987	1.677	0.844	7.162	2.596	80.0
C00122	Fumarate	-5.867	0.93	0.033	60.269	-0.976	60.0
C00035	GDP	0.536	-0.322	0.862	2.7	-1.219	50.0
C00022	Pyruvate	-3.756	-2.353	0.378	18.619	-2.816	70.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	1.585	4.907	0.323	33.002	3.414	90.0
C01172	beta-D-Glucose_6-phosphate	-3.836	-1.0	0.14	16.281	-1.189	50.0
C00011	CO2	6.083	4.624	0.76	92.448	6.135	90.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	3.0	-4.907	0.267	38.002	-3.341	80.0
C00149	(S)-Malate	-5.184	-5.588	0.756	84.454	-5.996	90.0
C02047	L-Leucyl-tRNA	-5.7	-1.585	0.058	54.984	-1.666	60.0
C00993	D-Alanyl-D-alanine	-3.585	4.907	0.4	42.003	-4.07	90.0
C00049	L-Aspartate	-0.324	-0.203	0.92	2.403	-1.144	50.0
C00048	Glyoxylate	0.585	-8.882	0.003	473.29	-0.59	60.0
C00123	L-Leucine	2.939	0.415	0.141	9.002	0.346	70.0
C00197	3-Phospho-D-glycerate	5.001	-2.115	0.135	36.354	-2.298	60.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	3.0	-4.907	0.267	38.002	-3.341	80.0
