compound_code	compound_name	escherichia_630_score	cd630_cefoperazone_score	ratio	magnitude	interaction_score	percentile
C06188	Salicin_6-phosphate	2.0	6.524	0.307	96.028	4.88	80.0
C00024	Acetyl-CoA	1.677	-7.807	0.014	227.143	-1.697	70.0
C00122	Fumarate	0.93	-2.184	0.419	6.449	-1.435	60.0
C00035	GDP	-0.322	-5.984	0.02	64.544	-0.35	60.0
C00993	D-Alanyl-D-alanine	4.907	3.907	0.796	45.003	5.163	80.0
C00022	Pyruvate	-2.353	-6.921	0.042	126.288	-2.413	80.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	4.907	5.0	0.981	62.002	5.927	90.0
C01172	beta-D-Glucose_6-phosphate	-1.0	6.512	0.022	93.266	-1.031	50.0
C01228	Guanosine_3',5'-bis(diphosphate)	1.0	-3.459	0.182	12.997	-1.241	50.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	-4.907	4.392	0.7	50.998	-5.157	80.0
C00149	(S)-Malate	-5.588	1.222	0.048	50.434	-1.29	50.0
C02047	L-Leucyl-tRNA	-1.585	-6.476	0.034	92.017	-1.633	60.0
C00011	CO2	4.624	8.055	0.574	290.606	7.382	90.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	4.907	3.0	0.611	38.002	4.538	70.0
C00049	L-Aspartate	-0.203	-4.675	0.045	26.697	-0.267	60.0
C00048	Glyoxylate	-8.882	-5.539	0.099	518.285	-5.675	90.0
C00123	L-Leucine	0.415	6.476	0.064	90.35	2.534	70.0
C00197	3-Phospho-D-glycerate	-2.115	-4.398	0.205	25.415	-2.385	70.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	-4.907	4.392	0.7	50.998	-5.157	80.0
