compound_code	compound_name	cumulative_metabolite_score	consumption_score	production_score	percentile
C02730	2-Succinylbenzoate	10.5776753605	10.578	0.0	80.0
C05528	3-Sulfopyruvate	-8.1921879342	0.0	-8.192	70.0
C00027	Hydrogen_peroxide	-8.867	0.0	-8.867	70.0
C02876	Propanoyl_phosphate	-8.67233257088	2.585	-8.693	70.0
C16242	Cobalt-precorrin_5A	-2.807	0.0	-2.807	50.0
C16243	Cobalt-precorrin_5B	-2.585	0.0	-2.585	50.0
C00026	2-Oxoglutarate	8.28939359059	8.425	-4.95	70.0
C00944	3-Dehydroquinate	-4.39175586283	2.322	-4.7	60.0
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	-8.75940839102	5.555	-8.908	70.0
C02430	L-Methionyl-tRNA	-10.0838171816	0.0	-10.084	80.0
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-7.11873534171	0.0	-7.119	70.0
C14819	Fe3+	-7.83878978471	0.0	-7.839	70.0
C14818	Fe2+	8.94664775784	8.947	0.0	70.0
C00431	5-Aminopentanoate	-10.836	0.0	-10.836	80.0
C00436	N-Carbamoylputrescine	1.0	1.0	0.0	50.0
C00437	N-Acetylornithine	2.66263851259	2.663	0.0	50.0
C01451	Salicin	2.322	2.322	0.0	50.0
C00438	N-Carbamoyl-L-aspartate	-7.93496863128	1.737	-7.954	70.0
C00826	L-Arogenate	4.32169091044	4.322	0.0	50.0
C00535	Testosterone	1.0	1.0	0.0	50.0
C06126	Digalactosylceramide	12.8263973141	12.826	0.0	90.0
C00469	Ethanol	13.2911254606	13.291	0.0	90.0
C01181	4-Trimethylammoniobutanoate	-4.08750254685	0.0	-4.088	60.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-11.6547013108	6.19	-11.687	90.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-8.65499829163	5.833	-8.846	70.0
C01185	Nicotinate_D-ribonucleotide	10.5194352847	10.546	-4.773	80.0
