compound_code	compound_name	clostridium_630_score	bacteroides_630_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-0.759	2.02	0.417	5.748	-1.262	60.0
C00024	Acetyl-CoA	5.752	1.987	0.345	57.856	4.321	80.0
C00148	L-Proline	-3.907	1.0	0.133	17.001	-1.181	60.0
C05528	3-Sulfopyruvate	-5.883	-5.392	0.712	101.005	-6.167	90.0
C06481	L-Seryl-tRNA(Sec)	-4.0	-4.0	1.0	32.0	-5.0	90.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	4.585	5.129	0.894	58.994	5.721	90.0
C00022	Pyruvate	-1.052	-3.756	0.153	15.584	-1.258	60.0
C00143	5,10-Methylenetetrahydrofolate	3.045	1.834	0.602	11.819	2.832	70.0
C00029	UDP-glucose	4.35	-5.152	0.574	55.948	-5.004	90.0
C00144	GMP	-3.74	-4.232	0.711	32.153	-4.515	80.0
C01100	L-Histidinol_phosphate	2.322	-4.667	0.197	30.405	-2.581	50.0
C00026	2-Oxoglutarate	3.641	-2.228	0.376	17.16	-2.688	60.0
C00944	3-Dehydroquinate	-3.7	2.322	0.385	17.996	-2.792	60.0
C00021	S-Adenosyl-L-homocysteine	-4.0	-2.678	0.4	22.4	-3.163	60.0
C05402	Melibiose	-0.737	0.585	0.9	3.167	-1.511	50.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	-1.585	1.0	0.667	5.0	-1.737	50.0
C00020	AMP	0.222	-3.585	0.097	13.167	-0.356	70.0
C05729	R-S-Cysteinylglycine	4.248	5.087	0.835	52.99	5.468	90.0
C11437	1-Deoxy-D-xylulose_5-phosphate	2.322	-1.181	0.453	7.268	-1.72	50.0
C05684	Selenite	8.986	3.907	0.435	522.057	7.826	90.0
C01081	Thiamin_monophosphate	-2.585	2.585	1.0	12.0	-3.585	70.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	2.524	2.663	0.948	12.085	3.518	80.0
C05726	S-Substituted_L-cysteine	-4.248	-5.087	0.559	52.99	-4.889	90.0
C00705	dCDP	3.17	-2.7	0.722	15.498	-3.484	70.0
C01346	dUDP	-4.459	1.807	0.159	25.493	-2.02	50.0
C01185	Nicotinate_D-ribonucleotide	-3.0	-4.273	0.414	27.333	-3.5	70.0
C02637	3-Dehydroshikimate	3.544	-3.273	0.829	21.331	-4.144	80.0
C01613	Stachyose	0.737	0.585	0.794	3.167	1.33	70.0
C18902	Methylselenic_acid	8.986	3.907	0.435	522.057	7.826	90.0
C00010	CoA	4.459	-1.0	0.091	23.993	-1.126	60.0
C02839	L-Tyrosyl-tRNA(Tyr)	-6.409	-3.807	0.165	98.974	-4.027	80.0
C00014	Ammonia	5.802	-2.098	0.077	60.074	-2.205	50.0
C00015	UDP	3.0	-4.066	0.478	24.749	-3.563	70.0
C00493	Shikimate	0.341	-0.341	1.0	2.533	-1.341	60.0
C00155	L-Homocysteine	-2.17	4.053	0.271	21.099	-2.516	50.0
C00794	D-Sorbitol	4.954	-1.0	0.065	32.996	-1.09	60.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	5.459	4.0	0.733	59.987	5.458	90.0
C00886	L-Alanyl-tRNA	-6.392	-5.426	0.512	126.974	-6.022	90.0
C01134	Pantetheine_4'-phosphate	5.392	-2.415	0.127	47.324	-2.587	50.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	6.022	-2.0	0.062	68.983	-2.086	50.0
C00760	Cellulose	-2.807	6.687	0.068	110.034	-2.902	60.0
C05345	beta-D-Fructose_6-phosphate	-5.626	4.314	0.403	69.275	-4.802	90.0
C01233	sn-Glycero-3-phosphoethanolamine	2.322	2.322	1.0	10.0	3.322	80.0
C02336	beta-D-Fructose	2.536	2.585	0.981	11.8	3.533	80.0
C05382	Sedoheptulose_7-phosphate	6.005	-1.503	0.044	67.057	-1.565	50.0
C00385	Xanthine	3.024	3.663	0.826	20.801	4.102	80.0
C00229	Acyl-carrier_protein	-4.459	6.651	0.219	122.49	-4.745	80.0
C00882	Dephospho-CoA	-5.392	-2.0	0.095	45.991	-2.131	50.0
C00655	Xanthosine_5'-phosphate	-2.737	-3.79	0.482	20.499	-3.305	60.0
C03451	(R)-S-Lactoylglutathione	5.7	3.7	0.649	64.98	5.398	90.0
C00718	Amylose	4.129	-3.907	0.857	32.498	-4.8	80.0
C00546	Methylglyoxal	-4.728	-4.209	0.698	44.996	-4.973	90.0
C03127	L-Isoleucyl-tRNA(Ile)	-7.531	-5.492	0.243	229.956	-5.806	90.0
C05840	Iminoaspartate	-3.0	2.585	0.75	14.0	-3.392	70.0
C00152	L-Asparagine	-3.147	4.152	0.498	26.636	-3.73	70.0
C00365	dUMP	-3.802	-1.939	0.275	17.783	-2.289	50.0
C00008	ADP	3.404	-3.624	0.859	22.915	-4.298	80.0
C00058	Formate	-4.409	3.781	0.647	34.991	-4.501	80.0
C00003	NAD+	-1.874	0.737	0.455	5.332	-1.278	60.0
C00002	ATP	1.126	7.597	0.148	195.791	4.859	90.0
C00369	Starch	-4.872	3.737	0.455	42.617	-4.278	80.0
C05703	Methaneselenol	-7.989	-3.644	0.049	266.557	-3.713	70.0
C15972	Enzyme_N6-(lipoyl)lysine	1.0	-2.807	0.286	8.998	-1.363	60.0
C03722	Quinolinate	3.0	3.807	0.788	21.997	4.116	80.0
C06056	4-Hydroxy-L-threonine	-4.322	-1.585	0.15	23.001	-1.787	50.0
C06188	Salicin_6-phosphate	1.0	1.0	1.0	4.0	2.0	70.0
C00255	Riboflavin	6.209	-2.585	0.081	79.977	-2.698	60.0
C00416	Phosphatidate	-5.295	4.768	0.694	66.507	-5.528	90.0
C00099	beta-Alanine	1.322	0.585	0.443	4.0	0.824	70.0
C00559	Deoxyadenosine	2.322	2.322	1.0	10.0	3.322	80.0
C00491	L-Cystine	3.0	2.807	0.936	14.998	3.811	80.0
C00492	Raffinose	0.737	-0.585	0.9	3.167	-1.511	50.0
C01528	Hydrogen_selenide	-7.407	-3.544	0.069	181.383	-3.64	70.0
C00091	Succinyl-CoA	-0.263	4.06	0.072	17.879	-0.363	70.0
C00092	D-Glucose_6-phosphate	-3.636	-5.214	0.335	49.549	-4.053	80.0
C00093	sn-Glycerol_3-phosphate	-1.085	4.644	0.085	27.124	-1.202	60.0
C00095	D-Fructose	-1.515	0.585	0.525	4.358	-1.194	60.0
C00097	L-Cysteine	-3.669	-2.97	0.616	20.555	-3.662	70.0
C06311	Galactitol_1-phosphate	-4.565	-4.807	0.846	51.663	-5.449	90.0
C00079	L-Phenylalanine	-2.416	1.049	0.388	7.406	-1.522	50.0
C00993	D-Alanyl-D-alanine	5.129	-3.585	0.343	46.993	-4.01	80.0
C00074	Phosphoenolpyruvate	-7.778	-6.42	0.39	305.116	-6.895	90.0
C00075	UTP	1.1	7.54	0.146	188.252	4.779	90.0
C00620	alpha-D-Ribose_1-phosphate	4.392	5.755	0.763	75.0	5.839	90.0
