compound_code	compound_name	lactobacillus_630_score	clostridium_630_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	9.798	-0.759	0.002	891.901	-0.762	60.0
C00024	Acetyl-CoA	-12.271	5.752	0.011	4996.306	-5.768	90.0
C00148	L-Proline	8.679	-3.907	0.037	424.865	-3.959	80.0
C00026	2-Oxoglutarate	8.372	3.641	0.435	343.777	7.224	70.0
C06481	L-Seryl-tRNA(Sec)	-11.053	-4.0	0.0	0.0	0.0	50.0
C00020	AMP	9.576	0.222	0.023	764.41	4.147	70.0
C00022	Pyruvate	-9.913	-1.052	0.0	0.0	0.0	50.0
C00143	5,10-Methylenetetrahydrofolate	-7.314	3.045	0.052	167.377	-3.118	70.0
C00029	UDP-glucose	-11.702	4.35	0.006	3351.994	-4.359	80.0
C00144	GMP	10.149	-3.74	0.012	1148.773	-3.757	80.0
C00275	D-Mannose_6-phosphate	-13.416	4.755	0.002	10956.958	-4.759	90.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	7.542	-1.737	0.018	189.7	-1.763	60.0
C00021	S-Adenosyl-L-homocysteine	10.272	-4.0	0.013	1252.46	-4.019	80.0
C05402	Melibiose	10.987	-0.737	0.001	2031.295	-0.738	60.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	11.987	-1.585	0.001	4062.257	-1.586	60.0
C05729	R-S-Cysteinylglycine	8.992	4.248	0.472	528.17	7.963	70.0
C00054	Adenosine_3',5'-bisphosphate	-10.274	-4.459	0.0	0.0	0.0	50.0
C00620	alpha-D-Ribose_1-phosphate	12.094	4.392	0.363	4392.76	10.64	90.0
C05684	Selenite	12.594	8.986	0.714	6689.664	12.221	90.0
C00644	D-Mannitol_1-phosphate	-6.492	7.331	0.559	251.018	-7.133	90.0
C05726	S-Substituted_L-cysteine	-8.992	-4.248	0.0	0.0	0.0	50.0
C00705	dCDP	8.15	3.17	0.389	293.05	6.833	70.0
C03688	Apo-[acyl-carrier-protein]	10.274	4.459	0.434	1260.169	9.095	80.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-11.687	5.129	0.011	3332.134	-5.144	90.0
C00232	Succinate_semialdehyde	-6.193	-4.555	0.0	0.0	0.0	50.0
C01185	Nicotinate_D-ribonucleotide	10.495	-3.0	0.006	1451.144	-3.008	70.0
C00235	Dimethylallyl_diphosphate	4.379	-5.706	0.399	73.008	-4.863	90.0
C01613	Stachyose	12.354	0.737	0.06	5236.762	8.287	80.0
C18902	Methylselenic_acid	12.594	8.986	0.714	6689.664	12.221	90.0
C00010	CoA	8.728	4.459	0.511	446.017	7.832	70.0
C05984	2-Hydroxybutanoic_acid	14.054	4.585	0.326	17032.874	12.44	90.0
C00014	Ammonia	9.527	5.802	0.609	793.549	8.917	80.0
C00015	UDP	7.134	3.0	0.421	148.458	5.964	70.0
C02336	beta-D-Fructose	-7.033	2.536	0.044	136.761	-2.599	70.0
C05823	3-Mercaptolactate	-14.054	-4.585	0.0	0.0	0.0	50.0
C16688	Sucrose_6-phosphate	-12.795	1.585	0.0	7109.877	-1.586	60.0
C00152	L-Asparagine	-9.18	-3.147	0.0	0.0	0.0	50.0
C00155	L-Homocysteine	-9.218	-2.17	0.0	0.0	0.0	50.0
C00794	D-Sorbitol	-10.951	4.954	0.016	2010.605	-4.976	90.0
C00954	Indole-3-acetate	-7.719	-3.17	0.0	0.0	0.0	50.0
C00957	Mercaptopyruvate	13.054	-2.298	0.001	8509.355	-2.299	70.0
C00886	L-Alanyl-tRNA	-10.154	-6.392	0.0	0.0	0.0	50.0
C01134	Pantetheine_4'-phosphate	10.051	5.392	0.536	1102.837	9.209	80.0
C05345	beta-D-Fructose_6-phosphate	11.247	-5.626	0.02	2479.822	-5.655	90.0
C01233	sn-Glycero-3-phosphoethanolamine	9.56	2.322	0.243	759.826	7.528	70.0
C00226	Primary_alcohol	13.176	3.209	0.244	9264.136	11.14	90.0
C00385	Xanthine	-8.499	3.024	0.022	369.922	-3.056	70.0
C00229	Acyl-carrier_protein	11.478	-4.459	0.008	2874.471	-4.47	80.0
C00882	Dephospho-CoA	-8.778	-5.392	0.0	0.0	0.0	50.0
C00655	Xanthosine_5'-phosphate	9.486	-2.737	0.009	723.752	-2.75	70.0
C00718	Amylose	-9.752	4.129	0.02	879.769	-4.158	80.0
C03127	L-Isoleucyl-tRNA(Ile)	-11.286	-7.531	0.0	0.0	0.0	50.0
C02291	L-Cystathionine	9.879	3.0	0.304	949.619	8.172	80.0
C00120	Biotin	7.864	-1.222	0.01	235.303	-1.236	60.0
C00365	dUMP	-8.358	-3.802	0.0	0.0	0.0	50.0
C00008	ADP	-11.492	3.404	0.004	2890.879	-3.409	70.0
