compound_code	compound_name	clostridium_630_score	lactobacillus_630_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-0.759	9.798	0.002	891.901	-0.762	60.0
C00024	Acetyl-CoA	5.752	-12.271	0.011	4996.306	-5.768	90.0
C00148	L-Proline	-3.907	8.679	0.037	424.865	-3.959	80.0
C00026	2-Oxoglutarate	3.641	8.372	0.435	343.777	7.224	70.0
C06481	L-Seryl-tRNA(Sec)	-4.0	-11.053	0.0	0.0	0.0	50.0
C00020	AMP	0.222	9.576	0.023	764.41	4.147	70.0
C00022	Pyruvate	-1.052	-9.913	0.0	0.0	0.0	50.0
C00143	5,10-Methylenetetrahydrofolate	3.045	-7.314	0.052	167.377	-3.118	70.0
C00029	UDP-glucose	4.35	-11.702	0.006	3351.994	-4.359	80.0
C00144	GMP	-3.74	10.149	0.012	1148.773	-3.757	80.0
C00275	D-Mannose_6-phosphate	4.755	-13.416	0.002	10956.958	-4.759	90.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-1.737	7.542	0.018	189.7	-1.763	60.0
C00021	S-Adenosyl-L-homocysteine	-4.0	10.272	0.013	1252.46	-4.019	80.0
C05402	Melibiose	-0.737	10.987	0.001	2031.295	-0.738	60.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	-1.585	11.987	0.001	4062.257	-1.586	60.0
C05729	R-S-Cysteinylglycine	4.248	8.992	0.472	528.17	7.963	70.0
C00054	Adenosine_3',5'-bisphosphate	-4.459	-10.274	0.0	0.0	0.0	50.0
C00620	alpha-D-Ribose_1-phosphate	4.392	12.094	0.363	4392.76	10.64	90.0
C05684	Selenite	8.986	12.594	0.714	6689.664	12.221	90.0
C00644	D-Mannitol_1-phosphate	7.331	-6.492	0.559	251.018	-7.133	90.0
C05726	S-Substituted_L-cysteine	-4.248	-8.992	0.0	0.0	0.0	50.0
C00705	dCDP	3.17	8.15	0.389	293.05	6.833	70.0
C03688	Apo-[acyl-carrier-protein]	4.459	10.274	0.434	1260.169	9.095	80.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	5.129	-11.687	0.011	3332.134	-5.144	90.0
C00232	Succinate_semialdehyde	-4.555	-6.193	0.0	0.0	0.0	50.0
C01185	Nicotinate_D-ribonucleotide	-3.0	10.495	0.006	1451.144	-3.008	70.0
C00235	Dimethylallyl_diphosphate	-5.706	4.379	0.399	73.008	-4.863	90.0
C01613	Stachyose	0.737	12.354	0.06	5236.762	8.287	80.0
C18902	Methylselenic_acid	8.986	12.594	0.714	6689.664	12.221	90.0
C00010	CoA	4.459	8.728	0.511	446.017	7.832	70.0
C02839	L-Tyrosyl-tRNA(Tyr)	-6.409	-10.394	0.0	0.0	0.0	50.0
C00014	Ammonia	5.802	9.527	0.609	793.549	8.917	80.0
C00015	UDP	3.0	7.134	0.421	148.458	5.964	70.0
C02336	beta-D-Fructose	2.536	-7.033	0.044	136.761	-2.599	70.0
C05823	3-Mercaptolactate	-4.585	-14.054	0.0	0.0	0.0	50.0
C16688	Sucrose_6-phosphate	1.585	-12.795	0.0	7109.877	-1.586	60.0
C00152	L-Asparagine	-3.147	-9.18	0.0	0.0	0.0	50.0
C00155	L-Homocysteine	-2.17	-9.218	0.0	0.0	0.0	50.0
C00794	D-Sorbitol	4.954	-10.951	0.016	2010.605	-4.976	90.0
C00954	Indole-3-acetate	-3.17	-7.719	0.0	0.0	0.0	50.0
C00957	Mercaptopyruvate	-2.298	13.054	0.001	8509.355	-2.299	70.0
C00091	Succinyl-CoA	-0.263	-12.148	0.0	0.0	0.0	50.0
C01134	Pantetheine_4'-phosphate	5.392	10.051	0.536	1102.837	9.209	80.0
C05345	beta-D-Fructose_6-phosphate	-5.626	11.247	0.02	2479.822	-5.655	90.0
C01233	sn-Glycero-3-phosphoethanolamine	2.322	9.56	0.243	759.826	7.528	70.0
C00226	Primary_alcohol	3.209	13.176	0.244	9264.136	11.14	90.0
C00385	Xanthine	3.024	-8.499	0.022	369.922	-3.056	70.0
C00229	Acyl-carrier_protein	-4.459	11.478	0.008	2874.471	-4.47	80.0
C00882	Dephospho-CoA	-5.392	-8.778	0.0	0.0	0.0	50.0
C00655	Xanthosine_5'-phosphate	-2.737	9.486	0.009	723.752	-2.75	70.0
C00718	Amylose	4.129	-9.752	0.02	879.769	-4.158	80.0
C03127	L-Isoleucyl-tRNA(Ile)	-7.531	-11.286	0.0	0.0	0.0	50.0
C02291	L-Cystathionine	3.0	9.879	0.304	949.619	8.172	80.0
C00120	Biotin	-1.222	7.864	0.01	235.303	-1.236	60.0
C00365	dUMP	-3.802	-8.358	0.0	0.0	0.0	50.0
C00008	ADP	3.404	-11.492	0.004	2890.879	-3.409	70.0
C05596	p-Hydroxyphenylacetylglycine	-4.17	-9.253	0.0	0.0	0.0	50.0
C00058	Formate	-4.409	13.889	0.001	15191.944	-4.411	80.0
C00003	NAD+	-1.874	6.333	0.045	84.282	-1.938	60.0
C00002	ATP	1.126	-10.255	0.002	1224.158	-1.129	60.0
C00369	Starch	-4.872	10.336	0.023	1321.829	-4.904	90.0
C05703	Methaneselenol	-7.989	-12.033	0.0	0.0	0.0	50.0
C00376	Retinal	-4.044	-12.974	0.0	0.0	0.0	50.0
C04257	N-Acetyl-D-mannosamine_6-phosphate	5.492	11.04	0.497	2150.582	10.063	90.0
C00681	1-Acyl-sn-glycerol_3-phosphate	5.483	-8.731	0.105	469.631	-5.627	90.0
C06188	Salicin_6-phosphate	1.0	13.655	0.073	12901.254	9.884	90.0
C05338	4-Hydroxyphenylacetyl-CoA	4.17	9.253	0.451	628.142	8.145	80.0
C00255	Riboflavin	6.209	8.317	0.747	392.886	8.196	80.0
C00392	Mannitol	8.707	6.492	0.746	507.905	8.565	80.0
C00258	D-Glycerate	-0.918	7.119	0.014	140.895	-0.937	60.0
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-4.044	-12.974	0.0	0.0	0.0	50.0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	4.044	12.974	0.312	8062.183	11.295	90.0
C00099	beta-Alanine	1.322	7.765	0.17	220.019	5.227	70.0
C00559	Deoxyadenosine	2.322	-9.295	0.008	633.165	-2.333	70.0
C00491	L-Cystine	3.0	9.879	0.304	949.619	8.172	80.0
C00492	Raffinose	0.737	-10.987	0.001	2031.295	-0.738	60.0
C01528	Hydrogen_selenide	-7.407	-11.785	0.0	0.0	0.0	50.0
C00886	L-Alanyl-tRNA	-6.392	-10.154	0.0	0.0	0.0	50.0
C00092	D-Glucose_6-phosphate	-3.636	-11.236	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	-1.085	9.286	0.003	626.38	-1.09	60.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	5.459	-6.392	0.524	127.968	-6.067	90.0
C00095	D-Fructose	-1.515	10.51	0.002	1461.085	-1.518	60.0
C00097	L-Cysteine	-3.669	-9.279	0.0	0.0	0.0	50.0
C14099	2-Naphthaldehyde	-3.209	-13.176	0.0	0.0	0.0	50.0
C00079	L-Phenylalanine	-2.416	8.358	0.016	333.439	-2.439	70.0
C00993	D-Alanyl-D-alanine	5.129	-12.646	0.005	6444.51	-5.137	90.0
C14090	1-Naphthaldehyde	-3.209	-13.176	0.0	0.0	0.0	50.0
C00071	Aldehyde	-3.196	-12.439	0.0	0.0	0.0	50.0
C02282	Glutaminyl-tRNA	-5.771	11.185	0.023	2382.808	-5.804	90.0
C00074	Phosphoenolpyruvate	-7.778	-9.999	0.0	0.0	0.0	50.0
C00075	UTP	1.1	11.025	0.1	2085.942	7.701	70.0
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	4.17	9.253	0.451	628.142	8.145	80.0
C11949	3-Isopropylbut-3-enoyl-CoA	-4.17	-9.253	0.0	0.0	0.0	50.0
C00123	L-Leucine	3.939	-8.508	0.042	379.389	-3.999	80.0
C00084	Acetaldehyde	-2.522	-11.497	0.0	0.0	0.0	50.0
C00083	Malonyl-CoA	-7.202	9.585	0.192	915.257	-7.455	90.0
C00082	L-Tyrosine	0.081	6.503	0.012	91.756	0.193	70.0
C03785	D-Tagatose_1,6-bisphosphate	-2.0	-13.098	0.0	0.0	0.0	50.0
C00294	Inosine	-3.17	10.008	0.009	1038.695	-3.183	70.0
C00407	L-Isoleucine	5.24	-8.343	0.116	362.5	-5.399	90.0
C00089	Sucrose	0.585	-11.578	0.0	3058.71	-0.586	60.0
C16586	2-Phenyl-1,3-propanediol_monocarbamate	4.044	12.974	0.312	8062.183	11.295	90.0
C00670	sn-Glycero-3-phosphocholine	2.322	9.56	0.243	759.826	7.528	70.0
C00672	2-Deoxy-D-ribose_1-phosphate	-4.248	6.658	0.188	119.986	-4.497	80.0
C06055	O-Phospho-4-hydroxy-L-threonine	2.874	8.678	0.331	416.911	7.109	70.0
C02988	L-Histidyl-tRNA(His)	-6.375	-10.085	0.0	0.0	0.0	50.0
C01144	(S)-3-Hydroxybutanoyl-CoA	-3.624	-8.669	0.0	0.0	0.0	50.0
C02984	L-Aspartyl-tRNA(Asp)	-5.82	-11.787	0.0	0.0	0.0	50.0
C01094	D-Fructose_1-phosphate	1.807	14.802	0.122	28569.273	11.768	90.0
C02047	L-Leucyl-tRNA	-6.443	-10.92	0.0	0.0	0.0	50.0
C06613	trans-3-Chloroallyl_aldehyde	-0.078	-11.217	0.0	0.0	0.0	50.0
C00106	Uracil	-3.17	8.867	0.019	475.91	-3.198	70.0
C00068	Thiamin_diphosphate	-0.222	-9.853	0.0	0.0	0.0	50.0
C00342	Thioredoxin	-8.962	-12.088	0.0	0.0	0.0	50.0
C00343	Thioredoxin_disulfide	8.956	12.141	0.738	5013.153	11.853	90.0
C03082	4-Phospho-L-aspartate	-4.018	5.271	0.42	54.813	-4.523	80.0
C00103	D-Glucose_1-phosphate	3.676	-10.525	0.009	1486.25	-3.688	70.0
C04377	5,10-Methylenetetrahydromethanopterin	-5.807	-11.766	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	-2.75	8.119	0.024	284.739	-2.784	70.0
C00063	CTP	0.918	10.483	0.088	1433.08	6.971	70.0
C00062	L-Arginine	6.426	-7.953	0.347	333.779	-6.856	90.0
C00065	L-Serine	-4.972	-10.479	0.0	0.0	0.0	50.0
C00064	L-Glutamine	-5.921	6.022	0.932	125.573	-6.871	90.0
C00109	2-Oxobutanoate	-1.722	11.874	0.001	3756.745	-1.723	60.0
C16273	3-Hydroxy-5-oxohexanoyl-CoA	4.17	9.253	0.451	628.142	8.145	80.0
C14089	1-Hydroxymethylnaphthalene	3.209	13.176	0.244	9264.136	11.14	90.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	-5.129	8.644	0.087	435.033	-5.25	90.0
C00577	D-Glyceraldehyde	1.379	-15.397	0.0	43150.419	-1.379	60.0
C01419	Cys-Gly	4.248	8.992	0.472	528.17	7.963	70.0
C06899	Chloral_hydrate	4.044	12.974	0.312	8062.183	11.295	90.0
C00279	D-Erythrose_4-phosphate	-5.346	15.309	0.001	40635.267	-5.347	90.0
C01412	Butanal	1.585	12.762	0.124	6949.16	9.753	80.0
C00361	dGDP	-4.459	12.49	0.004	5774.6	-4.465	80.0
