compound_code	compound_name	clostridium_mock_score	parabacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	0.495	-6.769	0.013	110.471	-0.514	50.0
C00024	Acetyl-CoA	-0.382	-5.999	0.02	65.259	-0.411	60.0
C00026	2-Oxoglutarate	-5.51	3.807	0.307	59.566	-4.193	90.0
C00124	D-Galactose	3.514	1.415	0.403	14.091	2.504	80.0
C00103	D-Glucose_1-phosphate	-0.515	-4.662	0.056	26.745	-0.594	50.0
C00100	Propanoyl-CoA	-0.807	0.585	0.857	3.25	-1.478	60.0
C00022	Pyruvate	0.006	2.152	0.003	5.449	-6.041	90.0
C00143	5,10-Methylenetetrahydrofolate	0.28	-9.099	0.002	549.582	-0.283	60.0
C00063	CTP	1.222	6.087	0.201	70.311	3.819	90.0
C00141	3-Methyl-2-oxobutanoic_acid	-0.547	7.513	0.008	184.119	-0.558	50.0
C00002	ATP	1.126	5.819	0.194	58.636	3.504	80.0
C00369	Starch	0.515	3.375	0.153	11.804	0.849	70.0
C00286	dGTP	4.152	-1.415	0.15	20.444	-1.617	70.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	0.7	-0.7	1.0	3.249	-1.7	70.0
C02430	L-Methionyl-tRNA	-1.0	-2.322	0.4	7.0	-1.485	60.0
C00458	dCTP	4.152	-2.115	0.244	22.11	-2.43	80.0
C04039	2,3-Dihydroxy-3-methylbutanoate	1.0	-1.0	1.0	4.0	-2.0	80.0
C05336	Selenomethionyl-tRNA(Met)	-1.0	-2.322	0.4	7.0	-1.485	60.0
C05335	L-Selenomethionine	1.0	2.322	0.431	7.0	1.592	70.0
C00101	Tetrahydrofolate	-0.222	8.322	0.004	321.182	-0.227	60.0
C00668	alpha-D-Glucose_6-phosphate	1.845	3.388	0.545	14.061	2.937	80.0
C00091	Succinyl-CoA	6.833	-5.796	0.487	169.57	-6.369	90.0
C00197	3-Phospho-D-glycerate	2.184	-2.682	0.708	10.962	-2.956	90.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	0.7	-0.7	1.0	3.249	-1.7	70.0
C00097	L-Cysteine	1.585	-1.303	0.822	5.467	-2.169	80.0
C00036	Oxaloacetate	1.613	6.534	0.247	95.727	4.563	90.0
C00011	CO2	6.845	4.179	0.611	133.075	6.344	90.0
C00073	L-Methionine	1.0	1.35	0.741	4.549	1.753	70.0
C00044	GTP	-1.027	-4.649	0.081	27.127	-1.14	60.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-0.1	2.713	0.163	7.629	-0.318	60.0
C00118	D-Glyceraldehyde_3-phosphate	1.369	3.847	0.356	16.973	2.595	80.0
C00074	Phosphoenolpyruvate	-2.222	-7.904	0.019	244.185	-2.25	80.0
C00075	UTP	1.441	5.682	0.254	54.055	3.777	90.0
C05345	beta-D-Fructose_6-phosphate	-0.812	6.678	0.017	104.151	-0.837	50.0
C00631	2-Phospho-D-glycerate	-0.138	-4.635	0.044	25.947	-0.201	70.0
C01172	beta-D-Glucose_6-phosphate	-0.596	2.459	0.275	7.01	-0.946	50.0
C00046	RNA	-1.1	-5.528	0.046	48.285	-1.166	60.0
C00718	Amylose	-0.585	-3.644	0.12	14.001	-0.748	50.0
C00008	ADP	-0.222	-2.17	0.259	5.667	-0.554	50.0
