compound_code	compound_name	parabacteroides_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-6.769	-4.981	0.29	140.643	-5.348	80.0
C00024	Acetyl-CoA	-5.999	2.362	0.08	69.096	-2.474	70.0
C00026	2-Oxoglutarate	3.807	6.324	0.602	94.112	5.824	80.0
C06481	L-Seryl-tRNA(Sec)	-3.907	-2.0	0.267	19.001	-2.341	70.0
C00022	Pyruvate	2.152	-1.817	0.793	7.968	-2.659	70.0
C00141	3-Methyl-2-oxobutanoic_acid	7.513	-1.254	0.013	185.043	-1.273	50.0
C00029	UDP-glucose	-0.933	-0.788	0.904	3.636	-1.717	60.0
C00147	Adenine	-0.131	-5.459	0.025	45.082	-0.166	60.0
C02430	L-Methionyl-tRNA	-2.322	-4.907	0.167	35.003	-2.544	70.0
C03939	Acetyl-[acyl-carrier_protein]	-2.147	-8.77	0.01	440.978	-2.162	70.0
C06311	Galactitol_1-phosphate	-1.222	-3.807	0.167	16.329	-1.444	50.0
C18048	N-Succinyl-L-citrulline	-1.0	-3.0	0.25	10.0	-1.322	50.0
C04039	2,3-Dihydroxy-3-methylbutanoate	-1.0	2.0	0.5	6.0	-1.585	60.0
C00438	N-Carbamoyl-L-aspartate	0.585	1.737	0.337	4.833	0.703	60.0
C00231	D-Xylulose_5-phosphate	-0.269	-0.669	0.758	2.795	-1.083	50.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	-0.7	1.524	0.565	4.5	-1.346	50.0
C00011	CO2	4.179	2.385	0.571	23.337	3.735	70.0
C00014	Ammonia	-10.05	-4.751	0.025	1087.039	-4.787	80.0
C05822	3'-CMP	-7.547	-7.401	0.904	356.028	-8.33	90.0
C00019	S-Adenosyl-L-methionine	-0.322	7.539	0.007	187.23	-0.332	50.0
C00153	Nicotinamide	-2.0	-6.443	0.046	91.003	-2.065	70.0
C00152	L-Asparagine	0.485	-1.688	0.434	4.622	-1.005	50.0
C01131	L-Rhamnulose_1-phosphate	1.0	1.585	0.631	5.0	1.657	60.0
C05345	beta-D-Fructose_6-phosphate	6.678	5.103	0.764	136.763	6.707	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-2.0	-1.0	0.5	6.0	-1.585	60.0
