compound_code	compound_name	lactobacillus_mock_score	clostridium_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	5.296	0.495	0.093	40.697	1.927	80.0
C00024	Acetyl-CoA	-9.954	-0.382	0.001	993.168	-0.384	60.0
C00364	dTMP	-2.585	-1.0	0.333	8.0	-1.415	60.0
C00026	2-Oxoglutarate	4.063	-5.51	0.367	62.284	-4.514	90.0
C00124	D-Galactose	7.931	3.514	0.443	255.468	6.823	90.0
C00103	D-Glucose_1-phosphate	-6.768	-0.515	0.013	110.415	-0.534	60.0
C00100	Propanoyl-CoA	-12.326	-0.807	0.0	5136.221	-0.807	50.0
C00008	ADP	-7.693	-0.222	0.006	208.096	-0.23	70.0
C00143	5,10-Methylenetetrahydrofolate	-3.111	0.28	0.141	9.854	-0.47	60.0
C00063	CTP	7.516	1.222	0.163	185.371	4.914	90.0
C00141	3-Methyl-2-oxobutanoic_acid	3.048	-0.547	0.177	9.732	-0.782	50.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	2.747	3.793	0.724	20.575	3.897	80.0
C00002	ATP	-7.095	1.126	0.016	138.895	-1.149	50.0
C00369	Starch	7.134	0.515	0.072	141.887	3.357	80.0
C00068	Thiamin_diphosphate	-5.011	-0.222	0.036	33.411	-0.273	70.0
C00286	dGTP	-9.187	4.152	0.031	600.635	-4.195	80.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-3.421	-3.779	0.78	24.438	-4.253	90.0
C02430	L-Methionyl-tRNA	1.0	-1.0	1.0	4.0	-2.0	60.0
C00458	dCTP	-8.477	4.152	0.05	374.09	-4.222	90.0
C00857	Deamino-NAD+	-3.7	2.807	0.538	19.994	-3.429	80.0
C00365	dUMP	-5.749	-1.945	0.072	57.63	-2.045	70.0
C05336	Selenomethionyl-tRNA(Met)	-5.781	-1.0	0.036	56.986	-1.052	50.0
C05335	L-Selenomethionine	5.781	1.0	0.173	56.986	3.301	80.0
C00101	Tetrahydrofolate	3.67	-0.222	0.092	13.895	-0.348	70.0
C00459	dTTP	-6.778	4.313	0.181	129.621	-4.553	90.0
C00003	NAD+	3.104	-2.322	0.582	13.598	-2.983	70.0
C00669	gamma-L-Glutamyl-L-cysteine	-6.322	-3.322	0.125	90.004	-3.492	80.0
C00668	alpha-D-Glucose_6-phosphate	7.425	1.845	0.248	175.442	5.446	90.0
C00091	Succinyl-CoA	-7.755	6.833	0.528	330.026	-7.444	90.0
C00197	3-Phospho-D-glycerate	-9.546	2.184	0.006	752.081	-2.193	70.0
C00058	Formate	11.951	0.415	0.035	3960.552	7.104	90.0
C00235	Dimethylallyl_diphosphate	2.147	-1.379	0.587	7.03	-2.046	70.0
C00097	L-Cysteine	-6.83	1.585	0.026	116.772	-1.623	60.0
C00036	Oxaloacetate	-3.291	1.613	0.313	12.847	-2.005	70.0
C00011	CO2	-4.687	6.845	0.224	140.72	-4.979	90.0
C15972	Enzyme_N6-(lipoyl)lysine	-5.615	1.0	0.041	51.01	-1.058	50.0
C00073	L-Methionine	-2.977	1.0	0.254	9.873	-1.327	50.0
C00718	Amylose	-6.555	-0.585	0.016	95.527	-0.608	60.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-8.941	-0.1	0.002	492.556	-0.103	70.0
C00118	D-Glyceraldehyde_3-phosphate	-10.989	1.369	0.001	2035.027	-1.371	60.0
C00074	Phosphoenolpyruvate	-9.688	-2.222	0.006	829.522	-2.23	70.0
C00075	UTP	6.114	1.441	0.236	71.977	4.084	80.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	5.459	-0.737	0.038	45.654	-0.791	50.0
C00109	2-Oxobutanoate	9.981	0.322	0.032	1011.853	5.029	90.0
C05345	beta-D-Fructose_6-phosphate	7.462	-0.812	0.01	178.069	-0.826	50.0
C00446	alpha-D-Galactose_1-phosphate	-6.966	-3.293	0.078	134.82	-3.402	80.0
C00631	2-Phospho-D-glycerate	-6.698	-0.138	0.011	104.925	-0.153	70.0
C00441	L-Aspartate_4-semialdehyde	-3.134	6.75	0.082	116.413	-3.247	80.0
C01172	beta-D-Glucose_6-phosphate	-5.899	-0.596	0.025	61.184	-0.632	50.0
C00527	Glutaryl-CoA	-4.087	-0.415	0.078	18.328	-0.524	60.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	5.17	-0.637	0.043	37.557	-0.698	50.0
C00046	RNA	-6.767	-1.1	0.02	111.054	-1.128	50.0
C00044	GTP	-6.974	-1.027	0.016	127.752	-1.05	50.0
C00022	Pyruvate	-6.968	0.006	0.008	126.196	-0.018	70.0
C00129	Isopentenyl_diphosphate	-3.189	-1.322	0.274	11.62	-1.672	60.0
C00460	dUTP	6.259	2.459	0.393	82.084	5.011	90.0
