compound_code	compound_name	lactobacillus_mock_score	parabacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	5.296	-6.769	0.36	148.349	-5.74	80.0
C00024	Acetyl-CoA	-9.954	-5.999	0.064	1055.821	-6.089	90.0
C00148	L-Proline	4.392	1.379	0.314	23.596	2.889	70.0
C00026	2-Oxoglutarate	4.063	3.807	0.937	30.711	4.847	80.0
C06481	L-Seryl-tRNA(Sec)	-6.728	-3.907	0.142	121.007	-4.098	70.0
C00020	AMP	5.038	-0.147	0.034	33.961	-0.195	60.0
C00022	Pyruvate	-6.968	2.152	0.036	129.637	-2.202	60.0
C00143	5,10-Methylenetetrahydrofolate	-3.111	-9.099	0.016	557.008	-3.134	70.0
C00141	3-Methyl-2-oxobutanoic_acid	3.048	7.513	0.406	190.929	6.275	80.0
C00029	UDP-glucose	-8.169	-0.933	0.007	289.725	-0.943	50.0
C00147	Adenine	5.131	-0.131	0.031	36.137	-0.175	60.0
C00144	GMP	3.868	-0.29	0.084	15.824	-0.406	60.0
C06010	(S)-2-Acetolactate	3.186	0.585	0.184	10.601	0.961	60.0
C01103	Orotidine_5'-phosphate	2.115	-4.298	0.22	24.003	-2.402	60.0
C00343	Thioredoxin_disulfide	6.773	-1.807	0.032	112.864	-1.852	50.0
C03838	5'-Phosphoribosylglycinamide	-4.459	-1.0	0.091	23.993	-1.126	50.0
C02430	L-Methionyl-tRNA	1.0	-2.322	0.4	7.0	-1.485	50.0
C03939	Acetyl-[acyl-carrier_protein]	-3.496	-2.147	0.393	15.711	-2.625	60.0
C05729	R-S-Cysteinylglycine	4.392	2.17	0.494	25.496	3.655	70.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-5.877	-10.504	0.04	1510.945	-5.934	80.0
C00100	Propanoyl-CoA	-12.326	0.585	0.0	5135.971	-0.585	60.0
C00438	N-Carbamoyl-L-aspartate	-2.585	0.585	0.25	7.5	-0.907	50.0
C05726	S-Substituted_L-cysteine	-4.392	-2.17	0.214	25.496	-2.45	60.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-6.285	-10.919	0.04	2014.162	-6.342	90.0
C00231	D-Xylulose_5-phosphate	4.682	-0.269	0.047	26.875	-0.335	60.0
C01185	Nicotinate_D-ribonucleotide	5.409	4.459	0.824	64.482	5.732	80.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	-4.883	1.0	0.068	31.507	-1.095	50.0
C00011	CO2	-4.687	4.179	0.703	43.872	-4.947	80.0
C00014	Ammonia	3.83	-10.05	0.013	1074.333	-3.849	70.0
C00015	UDP	4.04	-2.644	0.38	22.7	-3.109	70.0
C05751	trans-Oct-2-enoyl-[acp]	-4.755	-2.585	0.222	33.002	-2.874	60.0
C00019	S-Adenosyl-L-methionine	-0.322	-0.322	1.0	2.5	-1.322	50.0
C05796	Galactan	6.966	1.0	0.144	127.019	4.189	80.0
C00152	L-Asparagine	-2.97	0.485	0.179	9.235	-0.722	60.0
C01172	beta-D-Glucose_6-phosphate	-5.899	2.459	0.092	65.171	-2.586	60.0
C05754	trans-Dec-2-enoyl-[acp]	-4.755	-2.585	0.222	33.002	-2.874	60.0
C02876	Propanoyl_phosphate	5.066	-1.0	0.06	35.498	-1.084	50.0
C05345	beta-D-Fructose_6-phosphate	7.462	6.678	0.895	278.709	7.962	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-5.248	-2.0	0.105	42.002	-2.144	60.0
C00227	Acetyl_phosphate	-6.285	0.107	0.014	79.055	-0.127	60.0
C00259	L-Arabinose	4.954	1.585	0.32	33.996	3.443	70.0
C00221	beta-D-Glucose	-7.714	1.0	0.01	211.964	-1.014	50.0
C00385	Xanthine	-3.327	-1.7	0.324	13.284	-2.105	60.0
C00387	Guanosine	5.129	1.585	0.309	37.993	3.553	70.0
C00229	Acyl-carrier_protein	-2.0	3.459	0.364	14.997	-2.448	60.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-5.877	-10.504	0.04	1510.945	-5.934	80.0
C05841	Nicotinate_D-ribonucleoside	5.304	2.0	0.377	43.506	4.036	80.0
C00655	Xanthosine_5'-phosphate	4.392	-1.0	0.095	22.995	-1.131	50.0
C05759	3-Oxotetradecanoyl-[acp]	6.687	10.921	0.612	2041.905	10.288	90.0
C03125	L-Cysteinyl-tRNA(Cys)	-5.285	-2.322	0.128	43.989	-2.496	60.0
C03127	L-Isoleucyl-tRNA(Ile)	-5.248	-1.585	0.079	41.002	-1.695	50.0
C00508	L-Ribulose	-4.954	-1.585	0.097	33.996	-1.718	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-6.285	-10.923	0.04	2019.537	-6.342	90.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	6.687	10.921	0.612	2041.905	10.288	90.0
C05223	Dodecanoyl-[acyl-carrier_protein]	1.0	1.322	0.756	4.5	1.767	70.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-6.285	-10.923	0.04	2019.537	-6.342	90.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	6.687	10.921	0.612	2041.905	10.288	90.0
C20375	Glutaryl-[acp]_methyl_ester	1.0	1.585	0.631	5.0	1.657	60.0
C00008	ADP	-7.693	-2.17	0.022	211.43	-2.201	60.0
C00002	ATP	-7.095	5.819	0.413	193.166	-6.318	90.0
C00369	Starch	7.134	3.375	0.473	150.833	6.157	80.0
C00253	Nicotinate	-5.401	-5.273	0.915	80.92	-6.21	90.0
C05336	Selenomethionyl-tRNA(Met)	-5.781	-2.322	0.091	59.987	-2.448	60.0
C05335	L-Selenomethionine	5.781	2.322	0.402	59.987	4.591	80.0
C00559	Deoxyadenosine	-3.209	1.585	0.324	12.247	-1.99	50.0
C01931	L-Lysyl-tRNA	-6.17	-3.907	0.208	87.005	-4.18	80.0
C12215	Iminoerythrose_4-phosphate	-1.0	-1.0	1.0	4.0	-2.0	60.0
