compound_code	compound_name	olsenella_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	0.485	-4.981	0.044	32.981	-0.548	50.0
C00024	Acetyl-CoA	-1.902	2.362	0.727	8.878	-2.69	90.0
C00026	2-Oxoglutarate	-0.28	6.324	0.015	81.329	-0.302	60.0
C06481	L-Seryl-tRNA(Sec)	-1.0	-2.0	0.5	6.0	-1.585	70.0
C00103	D-Glucose_1-phosphate	0.55	1.233	0.446	3.815	0.767	80.0
C00022	Pyruvate	-1.846	-1.817	0.98	7.118	-2.803	90.0
C00063	CTP	1.184	4.207	0.281	20.741	2.545	90.0
C00029	UDP-glucose	0.174	-0.788	0.653	2.855	-0.899	50.0
C00064	L-Glutamine	0.08	3.737	0.021	14.391	-1.699	80.0
C00369	Starch	-0.807	7.746	0.008	216.423	-0.819	50.0
C02553	L-Seryl-tRNA(Ser)	-1.0	-2.0	0.5	6.0	-1.585	70.0
C00111	Glycerone_phosphate	-0.436	-0.628	0.875	2.898	-1.343	60.0
C05378	beta-D-Fructose_1,6-bisphosphate	1.585	-5.839	0.052	60.242	-1.659	80.0
C00577	D-Glyceraldehyde	-2.0	-2.0	1.0	8.0	-3.0	90.0
C00620	alpha-D-Ribose_1-phosphate	0.585	2.0	0.292	5.5	0.686	70.0
C00279	D-Erythrose_4-phosphate	1.694	1.637	0.966	6.346	2.616	90.0
C00073	L-Methionine	0.632	3.044	0.208	9.797	1.024	80.0
C00231	D-Xylulose_5-phosphate	-0.451	-0.669	0.86	2.957	-1.346	60.0
C00092	D-Glucose_6-phosphate	-0.322	1.17	0.556	3.5	-0.959	50.0
C12215	Iminoerythrose_4-phosphate	-1.0	-1.0	1.0	4.0	-2.0	90.0
C12214	Aminofructose_6-phosphate	1.0	1.0	1.0	4.0	2.0	80.0
C00097	L-Cysteine	-0.138	0.222	0.943	2.267	-1.097	60.0
C00011	CO2	3.442	2.385	0.693	16.091	3.479	90.0
C00117	D-Ribose_5-phosphate	-0.652	-1.094	0.736	3.706	-1.448	70.0
C00354	D-Fructose_1,6-bisphosphate	-0.585	4.228	0.08	20.239	-0.696	50.0
C00014	Ammonia	-1.402	-4.751	0.098	29.57	-1.537	70.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-1.0	-1.585	0.667	5.0	-1.737	80.0
C00019	S-Adenosyl-L-methionine	-0.322	7.539	0.007	187.23	-0.332	60.0
C00152	L-Asparagine	1.585	-1.688	0.931	6.222	-2.534	90.0
C00352	D-Glucosamine_6-phosphate	0.848	-0.515	0.794	3.229	-1.358	70.0
C00074	Phosphoenolpyruvate	-1.815	-3.833	0.247	17.77	-2.133	90.0
C00075	UTP	1.054	5.518	0.191	47.899	3.194	90.0
C00002	ATP	0.3	5.231	0.057	38.788	1.153	80.0
C00065	L-Serine	0.17	0.348	0.489	2.398	0.228	70.0
C00130	IMP	-0.222	-2.45	0.213	6.631	-0.501	60.0
C00197	3-Phospho-D-glycerate	-0.859	-1.164	0.809	4.055	-1.715	80.0
C05345	beta-D-Fructose_6-phosphate	0.071	5.103	0.014	35.419	-1.021	60.0
C00668	alpha-D-Glucose_6-phosphate	0.587	1.714	0.342	4.783	0.712	70.0
C00085	D-Fructose_6-phosphate	0.228	-6.484	0.013	90.683	-0.247	60.0
C00242	Guanine	0.485	-5.146	0.04	36.808	-0.541	50.0
C00631	2-Phospho-D-glycerate	-0.115	-0.445	0.796	2.444	-0.959	50.0
C00385	Xanthine	0.188	-4.891	0.038	30.811	-0.242	70.0
C01172	beta-D-Glucose_6-phosphate	0.541	-0.429	0.925	2.801	-1.374	70.0
C05382	Sedoheptulose_7-phosphate	-0.547	-0.047	0.707	2.494	-0.819	50.0
C00046	RNA	-0.459	-5.296	0.035	40.662	-0.509	60.0
C00118	D-Glyceraldehyde_3-phosphate	1.696	5.095	0.333	37.418	3.639	90.0
C00044	GTP	-1.047	-4.15	0.116	19.819	-1.206	60.0
C00204	2-Dehydro-3-deoxy-D-gluconate	-0.478	2.907	0.186	8.893	-0.724	50.0
C00049	L-Aspartate	0.061	-3.336	0.103	11.141	-0.203	70.0
C01094	D-Fructose_1-phosphate	1.585	2.0	0.792	7.0	2.472	80.0
C00169	Carbamoyl_phosphate	3.572	2.358	0.66	17.019	3.49	90.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-0.415	-3.222	0.143	10.664	-0.608	50.0
