compound_code	compound_name	parabacteroides_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-6.769	5.296	0.36	148.349	-5.74	80.0
C00024	Acetyl-CoA	-5.999	-9.954	0.064	1055.821	-6.089	90.0
C00148	L-Proline	1.379	4.392	0.314	23.596	2.889	70.0
C00026	2-Oxoglutarate	3.807	4.063	0.937	30.711	4.847	80.0
C06481	L-Seryl-tRNA(Sec)	-3.907	-6.728	0.142	121.007	-4.098	70.0
C00020	AMP	-0.147	5.038	0.034	33.961	-0.195	60.0
C00022	Pyruvate	2.152	-6.968	0.036	129.637	-2.202	60.0
C00143	5,10-Methylenetetrahydrofolate	-9.099	-3.111	0.016	557.008	-3.134	70.0
C00141	3-Methyl-2-oxobutanoic_acid	7.513	3.048	0.406	190.929	6.275	80.0
C00029	UDP-glucose	-0.933	-8.169	0.007	289.725	-0.943	50.0
C00147	Adenine	-0.131	5.131	0.031	36.137	-0.175	60.0
C00144	GMP	-0.29	3.868	0.084	15.824	-0.406	60.0
C06010	(S)-2-Acetolactate	0.585	3.186	0.184	10.601	0.961	60.0
C01103	Orotidine_5'-phosphate	-4.298	2.115	0.22	24.003	-2.402	60.0
C00343	Thioredoxin_disulfide	-1.807	6.773	0.032	112.864	-1.852	50.0
C03838	5'-Phosphoribosylglycinamide	-1.0	-4.459	0.091	23.993	-1.126	50.0
C02430	L-Methionyl-tRNA	-2.322	1.0	0.4	7.0	-1.485	50.0
C03939	Acetyl-[acyl-carrier_protein]	-2.147	-3.496	0.393	15.711	-2.625	60.0
C05729	R-S-Cysteinylglycine	2.17	4.392	0.494	25.496	3.655	70.0
C03232	3-Phosphonooxypyruvate	1.138	4.776	0.238	29.599	2.818	70.0
C00100	Propanoyl-CoA	0.585	-12.326	0.0	5135.971	-0.585	60.0
C00438	N-Carbamoyl-L-aspartate	0.585	-2.585	0.25	7.5	-0.907	50.0
C05726	S-Substituted_L-cysteine	-2.17	-4.392	0.214	25.496	-2.45	60.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-10.919	-6.285	0.04	2014.162	-6.342	90.0
C00231	D-Xylulose_5-phosphate	-0.269	4.682	0.047	26.875	-0.335	60.0
C01185	Nicotinate_D-ribonucleotide	4.459	5.409	0.824	64.482	5.732	80.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	1.0	-4.883	0.068	31.507	-1.095	50.0
C00011	CO2	4.179	-4.687	0.703	43.872	-4.947	80.0
C00014	Ammonia	-10.05	3.83	0.013	1074.333	-3.849	70.0
C00015	UDP	-2.644	4.04	0.38	22.7	-3.109	70.0
C05751	trans-Oct-2-enoyl-[acp]	-2.585	-4.755	0.222	33.002	-2.874	60.0
C00019	S-Adenosyl-L-methionine	-0.322	-0.322	1.0	2.5	-1.322	50.0
C05796	Galactan	1.0	6.966	0.144	127.019	4.189	80.0
C00152	L-Asparagine	0.485	-2.97	0.179	9.235	-0.722	60.0
C00294	Inosine	1.585	3.7	0.428	15.996	2.777	70.0
C05754	trans-Dec-2-enoyl-[acp]	-2.585	-4.755	0.222	33.002	-2.874	60.0
C02876	Propanoyl_phosphate	-1.0	5.066	0.06	35.498	-1.084	50.0
C05345	beta-D-Fructose_6-phosphate	6.678	7.462	0.895	278.709	7.962	90.0
C00227	Acetyl_phosphate	0.107	-6.285	0.014	79.055	-0.127	60.0
C03511	L-Phenylalanyl-tRNA(Phe)	-2.0	-5.248	0.105	42.002	-2.144	60.0
C00221	beta-D-Glucose	1.0	-7.714	0.01	211.964	-1.014	50.0
C00385	Xanthine	-1.7	-3.327	0.324	13.284	-2.105	60.0
C00387	Guanosine	1.585	5.129	0.309	37.993	3.553	70.0
C00229	Acyl-carrier_protein	3.459	-2.0	0.364	14.997	-2.448	60.0
