compound_code	compound_name	clostridium_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	0.495	5.296	0.093	40.697	1.927	80.0
C00024	Acetyl-CoA	-0.382	-9.954	0.0	0.0	0.0	50.0
C00364	dTMP	-1.0	-2.585	0.0	0.0	0.0	50.0
C00365	dUMP	-1.945	-5.749	0.0	0.0	0.0	50.0
C00124	D-Galactose	3.514	7.931	0.443	255.468	6.823	90.0
C00103	D-Glucose_1-phosphate	-0.515	-6.768	0.0	0.0	0.0	50.0
C00100	Propanoyl-CoA	-0.807	-12.326	0.0	0.0	0.0	50.0
C00008	ADP	-0.222	-7.693	0.0	0.0	0.0	50.0
C00143	5,10-Methylenetetrahydrofolate	0.28	-3.111	0.141	9.854	-0.47	50.0
C00063	CTP	1.222	7.516	0.163	185.371	4.914	90.0
C00141	3-Methyl-2-oxobutanoic_acid	-0.547	3.048	0.177	9.732	-0.782	60.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	3.793	2.747	0.724	20.575	3.897	80.0
C00002	ATP	1.126	-7.095	0.016	138.895	-1.149	70.0
C00369	Starch	0.515	7.134	0.072	141.887	3.357	80.0
C00068	Thiamin_diphosphate	-0.222	-5.011	0.0	0.0	0.0	50.0
C00026	2-Oxoglutarate	-5.51	4.063	0.367	62.284	-4.514	90.0
C00286	dGTP	4.152	-9.187	0.031	600.635	-4.195	90.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-3.779	-3.421	0.0	0.0	0.0	50.0
C02430	L-Methionyl-tRNA	-1.0	1.0	1.0	4.0	-2.0	70.0
C00458	dCTP	4.152	-8.477	0.05	374.09	-4.222	90.0
C00857	Deamino-NAD+	2.807	-3.7	0.538	19.994	-3.429	80.0
C05336	Selenomethionyl-tRNA(Met)	-1.0	-5.781	0.0	0.0	0.0	50.0
C05335	L-Selenomethionine	1.0	5.781	0.173	56.986	3.301	80.0
C00101	Tetrahydrofolate	-0.222	3.67	0.092	13.895	-0.348	50.0
C00459	dTTP	4.313	-6.778	0.181	129.621	-4.553	90.0
C00003	NAD+	-2.322	3.104	0.582	13.598	-2.983	80.0
C00669	gamma-L-Glutamyl-L-cysteine	-3.322	-6.322	0.0	0.0	0.0	50.0
C00668	alpha-D-Glucose_6-phosphate	1.845	7.425	0.248	175.442	5.446	90.0
C00091	Succinyl-CoA	6.833	-7.755	0.528	330.026	-7.444	90.0
C00197	3-Phospho-D-glycerate	2.184	-9.546	0.006	752.081	-2.193	80.0
C00058	Formate	0.415	11.951	0.035	3960.552	7.104	90.0
C00235	Dimethylallyl_diphosphate	-1.379	2.147	0.587	7.03	-2.046	80.0
C00097	L-Cysteine	1.585	-6.83	0.026	116.772	-1.623	70.0
C00036	Oxaloacetate	1.613	-3.291	0.313	12.847	-2.005	70.0
C00011	CO2	6.845	-4.687	0.224	140.72	-4.979	90.0
C15972	Enzyme_N6-(lipoyl)lysine	1.0	-5.615	0.041	51.01	-1.058	60.0
C00073	L-Methionine	1.0	-2.977	0.254	9.873	-1.327	70.0
C00718	Amylose	-0.585	-6.555	0.0	0.0	0.0	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-0.1	-8.941	0.0	0.0	0.0	50.0
C00118	D-Glyceraldehyde_3-phosphate	1.369	-10.989	0.001	2035.027	-1.371	70.0
C00074	Phosphoenolpyruvate	-2.222	-9.688	0.0	0.0	0.0	50.0
C00075	UTP	1.441	6.114	0.236	71.977	4.084	80.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	-0.737	5.459	0.038	45.654	-0.791	60.0
C00109	2-Oxobutanoate	0.322	9.981	0.032	1011.853	5.029	90.0
C05345	beta-D-Fructose_6-phosphate	-0.812	7.462	0.01	178.069	-0.826	60.0
C00446	alpha-D-Galactose_1-phosphate	-3.293	-6.966	0.0	0.0	0.0	50.0
C00631	2-Phospho-D-glycerate	-0.138	-6.698	0.0	0.0	0.0	50.0
C00441	L-Aspartate_4-semialdehyde	6.75	-3.134	0.082	116.413	-3.247	80.0
C01172	beta-D-Glucose_6-phosphate	-0.596	-5.899	0.0	0.0	0.0	50.0
C00527	Glutaryl-CoA	-0.415	-4.087	0.0	0.0	0.0	50.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-0.637	5.17	0.043	37.557	-0.698	60.0
C00046	RNA	-1.1	-6.767	0.0	0.0	0.0	50.0
C00044	GTP	-1.027	-6.974	0.0	0.0	0.0	50.0
C00022	Pyruvate	0.006	-6.968	0.008	126.196	-0.018	50.0
C00129	Isopentenyl_diphosphate	-1.322	-3.189	0.0	0.0	0.0	50.0
C00460	dUTP	2.459	6.259	0.393	82.084	5.011	90.0
