compound_code	compound_name	parabacteroides_mock_score	clostridium_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-6.769	0.495	0.013	110.471	-0.514	50.0
C00024	Acetyl-CoA	-5.999	-0.382	0.02	65.259	-0.411	60.0
C00026	2-Oxoglutarate	3.807	-5.51	0.307	59.566	-4.193	90.0
C00124	D-Galactose	1.415	3.514	0.403	14.091	2.504	80.0
C00103	D-Glucose_1-phosphate	-4.662	-0.515	0.056	26.745	-0.594	50.0
C00100	Propanoyl-CoA	0.585	-0.807	0.857	3.25	-1.478	60.0
C00022	Pyruvate	2.152	0.006	0.003	5.449	-6.041	90.0
C00143	5,10-Methylenetetrahydrofolate	-9.099	0.28	0.002	549.582	-0.283	60.0
C00063	CTP	6.087	1.222	0.201	70.311	3.819	90.0
C00141	3-Methyl-2-oxobutanoic_acid	7.513	-0.547	0.008	184.119	-0.558	50.0
C00002	ATP	5.819	1.126	0.194	58.636	3.504	80.0
C00369	Starch	3.375	0.515	0.153	11.804	0.849	70.0
C00286	dGTP	-1.415	4.152	0.15	20.444	-1.617	70.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	-0.7	0.7	1.0	3.249	-1.7	70.0
C02430	L-Methionyl-tRNA	-2.322	-1.0	0.4	7.0	-1.485	60.0
C00458	dCTP	-2.115	4.152	0.244	22.11	-2.43	80.0
C04039	2,3-Dihydroxy-3-methylbutanoate	-1.0	1.0	1.0	4.0	-2.0	80.0
C05335	L-Selenomethionine	2.322	1.0	0.431	7.0	1.592	70.0
C05336	Selenomethionyl-tRNA(Met)	-2.322	-1.0	0.4	7.0	-1.485	60.0
C00008	ADP	-2.17	-0.222	0.259	5.667	-0.554	50.0
C00101	Tetrahydrofolate	8.322	-0.222	0.004	321.182	-0.227	60.0
C00668	alpha-D-Glucose_6-phosphate	3.388	1.845	0.545	14.061	2.937	80.0
C00091	Succinyl-CoA	-5.796	6.833	0.487	169.57	-6.369	90.0
C00197	3-Phospho-D-glycerate	-2.682	2.184	0.708	10.962	-2.956	90.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	-0.7	0.7	1.0	3.249	-1.7	70.0
C00097	L-Cysteine	-1.303	1.585	0.822	5.467	-2.169	80.0
C00036	Oxaloacetate	6.534	1.613	0.247	95.727	4.563	90.0
C00011	CO2	4.179	6.845	0.611	133.075	6.344	90.0
C00073	L-Methionine	1.35	1.0	0.741	4.549	1.753	70.0
C00044	GTP	-4.649	-1.027	0.081	27.127	-1.14	60.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	2.713	-0.1	0.163	7.629	-0.318	60.0
C00118	D-Glyceraldehyde_3-phosphate	3.847	1.369	0.356	16.973	2.595	80.0
C00074	Phosphoenolpyruvate	-7.904	-2.222	0.019	244.185	-2.25	80.0
C00075	UTP	5.682	1.441	0.254	54.055	3.777	90.0
C05345	beta-D-Fructose_6-phosphate	6.678	-0.812	0.017	104.151	-0.837	50.0
C00631	2-Phospho-D-glycerate	-4.635	-0.138	0.044	25.947	-0.201	70.0
C01172	beta-D-Glucose_6-phosphate	2.459	-0.596	0.275	7.01	-0.946	50.0
C00046	RNA	-5.528	-1.1	0.046	48.285	-1.166	60.0
C00718	Amylose	-3.644	-0.585	0.12	14.001	-0.748	50.0
