compound_code	compound_name	bacteroides_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-4.981	5.296	0.804	70.869	-5.832	80.0
C00024	Acetyl-CoA	2.362	-9.954	0.005	997.006	-2.369	50.0
C00026	2-Oxoglutarate	6.324	4.063	0.642	96.829	5.959	80.0
C06481	L-Seryl-tRNA(Sec)	-2.0	-6.728	0.038	110.006	-2.053	50.0
C00352	D-Glucosamine_6-phosphate	-0.515	-6.083	0.021	69.219	-0.545	60.0
C00022	Pyruvate	-1.817	-6.968	0.028	128.716	-1.857	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-1.254	3.048	0.288	10.656	-1.62	50.0
C00029	UDP-glucose	-0.788	-8.169	0.006	289.542	-0.797	60.0
C00147	Adenine	-5.459	5.131	0.797	79.029	-5.976	90.0
C01101	L-Ribulose_5-phosphate	1.0	3.259	0.307	11.573	1.828	70.0
C00149	(S)-Malate	-2.259	4.585	0.199	28.787	-2.521	60.0
C00021	S-Adenosyl-L-homocysteine	-7.801	6.262	0.344	299.76	-6.689	90.0
C02430	L-Methionyl-tRNA	-4.907	1.0	0.067	32.002	-1.093	50.0
C00345	6-Phospho-D-gluconate	-2.907	7.768	0.034	225.473	-2.956	60.0
C00620	alpha-D-Ribose_1-phosphate	2.0	8.039	0.249	267.015	6.054	80.0
C00438	N-Carbamoyl-L-aspartate	1.737	-2.585	0.556	9.334	-2.374	60.0
C01228	Guanosine_3',5'-bis(diphosphate)	-3.459	-5.358	0.268	52.009	-3.802	60.0
C06250	Holo-[carboxylase]	4.248	-5.406	0.448	61.401	-4.782	70.0
C00231	D-Xylulose_5-phosphate	-0.669	4.682	0.062	27.26	-0.756	60.0
C00011	CO2	2.385	-4.687	0.203	30.982	-2.651	60.0
C00014	Ammonia	-4.751	3.83	0.528	41.149	-4.442	70.0
C00019	S-Adenosyl-L-methionine	7.539	-0.322	0.007	187.23	-0.332	60.0
C05796	Galactan	11.107	6.966	0.627	2330.687	10.513	90.0
C00152	L-Asparagine	-1.688	-2.97	0.411	11.057	-2.185	50.0
C00886	L-Alanyl-tRNA	-3.7	-5.248	0.342	50.998	-4.124	70.0
C05345	beta-D-Fructose_6-phosphate	5.103	7.462	0.684	210.682	7.171	90.0
C02051	Lipoylprotein	-10.217	-7.755	0.181	1406.226	-7.996	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-1.0	-5.248	0.053	40.002	-1.074	50.0
C05382	Sedoheptulose_7-phosphate	-0.047	-0.547	0.707	2.494	-0.819	60.0
C00385	Xanthine	-4.891	-3.327	0.338	39.707	-3.747	60.0
C00387	Guanosine	5.866	5.129	0.874	93.316	6.35	80.0
C00229	Acyl-carrier_protein	9.506	-2.0	0.006	731.095	-2.008	50.0
C00118	D-Glyceraldehyde_3-phosphate	5.095	-10.989	0.017	2066.622	-5.119	80.0
C03125	L-Cysteinyl-tRNA(Cys)	-1.0	-5.285	0.051	40.989	-1.072	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-5.248	-5.248	1.0	76.004	-6.248	90.0
C00365	dUMP	-2.222	-5.749	0.087	58.445	-2.342	50.0
C00002	ATP	5.231	-7.095	0.275	174.269	-5.581	80.0
C00369	Starch	7.746	7.134	0.921	355.132	8.353	90.0
C00256	(R)-Lactate	3.322	6.57	0.506	105.01	5.731	80.0
C05336	Selenomethionyl-tRNA(Met)	-4.907	-5.781	0.546	84.989	-5.535	80.0
C05335	L-Selenomethionine	4.907	5.781	0.849	84.989	6.173	80.0
C00099	beta-Alanine	1.0	4.248	0.235	21.001	2.306	70.0
C01931	L-Lysyl-tRNA	-5.615	-6.17	0.681	121.014	-6.364	90.0
C00091	Succinyl-CoA	-5.9	-7.755	0.276	275.731	-6.252	90.0
C00092	D-Glucose_6-phosphate	1.17	-7.303	0.014	160.165	-1.19	50.0
C03939	Acetyl-[acyl-carrier_protein]	-8.77	-3.496	0.026	447.831	-3.533	60.0
C00095	D-Fructose	-5.845	6.7	0.553	161.449	-6.48	90.0
C00097	L-Cysteine	0.222	-6.83	0.01	114.938	-0.237	60.0
C00079	L-Phenylalanine	0.322	3.358	0.096	11.503	0.141	60.0
C00073	L-Methionine	3.044	-2.977	0.955	16.121	-3.944	70.0
C00074	Phosphoenolpyruvate	-3.833	-9.688	0.017	839.108	-3.858	70.0
C00075	UTP	5.518	6.114	0.903	115.085	6.699	80.0
C04006	1D-myo-Inositol_3-phosphate	7.5	6.714	0.895	286.001	8.0	90.0
C00243	Lactose	12.088	6.007	0.497	4417.932	11.1	90.0
C00242	Guanine	-5.146	5.793	0.639	90.853	-5.858	80.0
C00407	L-Isoleucine	3.07	-2.632	0.738	14.597	-3.43	60.0
C00183	L-Valine	0.585	-2.115	0.346	5.832	-1.014	50.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-1.415	5.17	0.074	38.668	-1.518	50.0
C01094	D-Fructose_1-phosphate	2.0	12.178	0.164	4637.864	9.573	90.0
C00169	Carbamoyl_phosphate	2.358	-4.664	0.202	30.478	-2.624	60.0
C00106	Uracil	5.413	4.379	0.809	63.413	5.681	80.0
C00105	UMP	0.784	2.217	0.354	6.371	1.172	70.0
C00103	D-Glucose_1-phosphate	1.233	-6.768	0.022	111.337	-1.264	50.0
C00063	CTP	4.207	7.516	0.56	201.507	6.818	80.0
C00065	L-Serine	0.348	-4.972	0.041	32.658	-0.405	60.0
C00064	L-Glutamine	3.737	-3.226	0.702	22.69	-3.993	70.0
C00864	Pantothenate	-1.0	5.109	0.058	36.511	-1.081	50.0
C00577	D-Glyceraldehyde	-2.0	-12.766	0.001	6969.446	-2.001	50.0
C00279	D-Erythrose_4-phosphate	1.637	12.679	0.129	6560.928	9.726	90.0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	2.585	5.0	0.517	38.0	4.296	70.0
C00668	alpha-D-Glucose_6-phosphate	1.714	7.425	0.231	175.13	5.337	70.0
C00666	LL-2,6-Diaminoheptanedioate	-2.115	-4.743	0.162	31.11	-2.331	50.0
C12215	Iminoerythrose_4-phosphate	-1.0	-1.0	1.0	4.0	-2.0	50.0
C12214	Aminofructose_6-phosphate	1.0	1.0	1.0	4.0	2.0	70.0
C00117	D-Ribose_5-phosphate	-1.094	8.215	0.007	299.275	-1.104	50.0
C00111	Glycerone_phosphate	-0.628	9.234	0.003	603.704	-0.632	60.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-1.585	-1.0	0.667	5.0	-1.737	50.0
