norm_reads_630	norm_reads_mock	pathway
344.315673979	1154.38042606	Carbohydrate_metabolism
0.444784842673	5.16992500144	Xenobiotics_biodegradation_and_metabolism
126.106503763	396.086361152	Nucleotide_metabolism
14.6960127699	28.2219221548	Transcription
144.354924568	603.046140498	Amino_acid_metabolism
27.8731827932	128.005509242	Glycan_biosynthesis_and_metabolism
81.9374126624	318.138623697	Metabolism_of_cofactors_and_vitamins
8.16872434333	29.0589307951	Metabolism_of_terpenoids_and_polyketides
298.080345333	588.918498071	Translation
57.9158790105	169.854590939	Folding,_sorting_and_degradation
67.6528108034	268.7023159	Energy_metabolism
1042.36489146	3891.87308359	Global_and_overview_maps
52.3256009954	139.786328654	Lipid_metabolism
12.1599797245	57.7679594771	Biosynthesis_of_other_secondary_metabolites
7.30647175095	40.2518783277	Signal_transduction
24.068780158	122.262257575	Metabolism_of_other_amino_acids
58.9806274993	266.902418723	Replication_and_repair
53.2103405943	171.826744969	Membrane_transport
