Compound_code	Metabolite_name	Indegree	Outdegree
C05528	3-Sulfopyruvate	1	0
C05527	3-Sulfinylpyruvate	1	1
C00148	L-Proline	7	5
C16242	Cobalt-precorrin_5A	2	2
C16243	Cobalt-precorrin_5B	2	2
C00149	(S)-Malate	2	15
C00944	3-Dehydroquinate	4	4
C02430	L-Methionyl-tRNA	1	1
C14819	Fe3+	1	0
C00433	2,5-Dioxopentanoate	0	2
C00437	N-Acetylornithine	4	5
C00438	N-Carbamoyl-L-aspartate	2	0
C06126	Digalactosylceramide	0	2
C00469	Ethanol	0	12
C01181	4-Trimethylammoniobutanoate	1	0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	0	2
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	2	2
C01185	Nicotinate_D-ribonucleotide	3	2
C06128	GM4	0	1
C00558	D-Tagaturonate	2	2
C15812	[Enzyme]-S-sulfanylcysteine	1	1
C15813	C15813	2	2
C15810	C15810	1	1
C15811	[Enzyme]-cysteine	0	1
C15814	C15814	2	2
C15815	C15815	1	1
C16688	Sucrose_6-phosphate	0	1
C05752	Octanoyl-[acp]	0	3
C00015	UDP	1	3
C00794	D-Sorbitol	2	0
C03921	2-Dehydro-3-deoxy-D-glucarate	1	0
C03920	2-(Methylthio)ethanesulfonate	3	0
C00791	Creatinine	0	1
C00506	L-Cysteate	0	1
C00507	L-Rhamnose	0	1
C00227	Acetyl_phosphate	0	1
C00226	Primary_alcohol	0	3
C00222	3-Oxopropanoate	4	2
C00221	beta-D-Glucose	11	3
C00385	Xanthine	10	6
C00387	Guanosine	0	4
C02504	alpha-Isopropylmalate	4	12
C02505	2-Phenylacetamide	0	3
C00229	Acyl-carrier_protein	0	2
C16396	2,4-Diamino-6-nitrotoluene	0	6
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	7	1
C00546	Methylglyoxal	1	0
C16399	2,4-Diamino-6-hydroxylaminotoluene	6	0
C16217	3-Hydroxyoctadecanoyl-CoA	2	0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	0	4
C05838	cis-2-Hydroxycinnamate	4	0
C00364	dTMP	2	0
C00365	dUMP	2	2
C00362	dGMP	1	0
C00008	ADP	1	4
C00007	Oxygen	2	0
C00006	NADP+	0	3
C00005	NADPH	3	0
C00003	NAD+	2	1
C00002	ATP	0	9
C00369	Starch	2	7
C05703	Methaneselenol	1	0
C00376	Retinal	4	0
C03586	2-Oxo-2,3-dihydrofuran-5-acetate	4	0
C16619	6-Thioguanosine_monophosphate	2	0
C11062	4-Hydroxybutyryl-CoA	0	3
C02612	(R)-2-Methylmalate	0	10
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	1	0
C16614	6-Methylmercaptopurine	0	1
C03742	(S)-4-Hydroxymandelonitrile	2	0
C00645	N-Acetyl-D-mannosamine	1	0
C00099	beta-Alanine	3	4
