compound_code	compound_name	lactobacillus_630_score	escherichia_630_score	ratio	magnitude	interaction_score	percentile
C00259	L-Arabinose	6.267	9.982	0.628	1088.315	9.416	70.0
C00149	(S)-Malate	6.304	2.104	0.334	83.311	4.797	60.0
C02430	L-Methionyl-tRNA	-7.238	10.217	0.127	1341.167	-7.41	80.0
C14818	Fe2+	6.781	8.109	0.836	386.064	8.335	70.0
C06126	Digalactosylceramide	11.394	12.443	0.916	8259.355	12.885	90.0
C00469	Ethanol	12.05	11.009	0.914	6301.261	12.491	90.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-9.796	-6.17	0.0	0.0	0.0	50.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-8.925	-6.883	0.0	0.0	0.0	50.0
C01185	Nicotinate_D-ribonucleotide	9.335	8.391	0.899	981.519	9.785	80.0
C15812	[Enzyme]-S-sulfanylcysteine	-10.207	7.687	0.174	1388.06	-7.919	80.0
C05796	Galactan	10.258	10.363	0.99	2541.483	11.297	90.0
C00794	D-Sorbitol	7.384	-12.275	0.034	5123.17	-7.432	80.0
C02067	Pseudouridine	8.986	5.907	0.657	567.06	8.542	70.0
C00227	Acetyl_phosphate	-9.192	-8.713	0.0	0.0	0.0	50.0
C00226	Primary_alcohol	12.05	11.009	0.914	6301.261	12.491	90.0
C01236	D-Glucono-1,5-lactone_6-phosphate	10.504	4.7	0.447	1478.167	9.369	70.0
C00221	beta-D-Glucose	-9.842	-9.646	0.0	0.0	0.0	50.0
C00385	Xanthine	-5.895	-6.07	0.0	0.0	0.0	50.0
C05223	Dodecanoyl-[acyl-carrier_protein]	-6.508	10.17	0.079	1243.073	-6.618	70.0
C00229	Acyl-carrier_protein	8.224	7.349	0.894	462.03	8.69	70.0
C00508	L-Ribulose	-6.267	-4.087	0.0	0.0	0.0	50.0
C01801	Deoxyribose	11.022	8.845	0.802	2539.314	10.993	90.0
