compound_code	compound_name	cumulative_metabolite_score	consumption_score	production_score	percentile
C16471	5-Methyl-3-oxo-4-hexenoyl-CoA	-8.364	0.0	-8.364	70.0
C02730	2-Succinylbenzoate	8.931	8.931	0.0	80.0
C05528	3-Sulfopyruvate	-7.375	0.0	-7.375	60.0
C16477	5-Fluoromuconolactone	9.101	9.101	0.0	80.0
C16476	4-Fluoromuconolactone	9.101	9.101	0.0	80.0
C05332	Phenethylamine	6.7	6.7	0.0	60.0
C00148	L-Proline	9.04955577904	9.05	0.0	80.0
C16242	Cobalt-precorrin_5A	1.585	1.585	0.0	50.0
C16243	Cobalt-precorrin_5B	-2.807	0.0	-2.807	50.0
C00026	2-Oxoglutarate	9.29119554108	9.416	-5.819	80.0
C00944	3-Dehydroquinate	-1.585	0.0	-1.585	50.0
C05356	5(S)-HPETE	8.253	8.253	0.0	70.0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	11.8069255455	11.807	0.0	90.0
C02430	L-Methionyl-tRNA	10.0045739892	10.217	-7.348	80.0
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-9.57778071706	0.0	-9.578	80.0
C14819	Fe3+	-7.077	0.0	-7.077	60.0
C00433	2,5-Dioxopentanoate	1.0	1.0	0.0	50.0
C00431	5-Aminopentanoate	-9.948	0.0	-9.948	80.0
C00437	N-Acetylornithine	-2.27359881681	1.0	-2.773	50.0
C01451	Salicin	6.8074071609	6.807	0.0	60.0
C00438	N-Carbamoyl-L-aspartate	-6.95987997327	0.0	-6.96	60.0
C00826	L-Arogenate	8.23361801369	8.234	0.0	70.0
C06126	Digalactosylceramide	13.01181338	13.012	0.0	90.0
C02059	Phylloquinone	-8.52	0.0	-8.52	70.0
C03741	(S)-4-Amino-5-oxopentanoate	7.002	7.002	0.0	60.0
C01181	4-Trimethylammoniobutanoate	-1.0	0.0	-1.0	50.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-9.92477694882	0.0	-9.925	80.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-9.19989895043	4.0	-9.239	80.0
C01185	Nicotinate_D-ribonucleotide	9.97372487523	9.974	0.0	80.0
C06790	Trichloroethene	10.165	10.165	0.0	80.0
C06128	GM4	8.711	8.711	0.0	70.0
C00558	D-Tagaturonate	8.6	8.6	0.0	70.0
C15812	[Enzyme]-S-sulfanylcysteine	-9.9642309947	7.687	-10.235	80.0
C06441	L-Xylulose_1-phosphate	-6.989	0.0	-6.989	60.0
C00350	Phosphatidylethanolamine	-0.222	0.0	-0.222	50.0
C15811	[Enzyme]-cysteine	10.8088902147	10.809	0.0	90.0
C05751	trans-Oct-2-enoyl-[acp]	-10.6878773036	3.459	-10.697	90.0
C00146	Phenol	-7.267	0.0	-7.267	60.0
C05796	Galactan	11.3114550327	11.311	0.0	90.0
C16388	(6Z,9Z,12Z,15Z,18Z)-3-Hydroxytetracosapenta-6,9,12,15,18-enoyl-CoA	-8.364	0.0	-8.364	70.0
C14145	(3S)-3-Hydroxyadipyl-CoA	7.6544152491	8.082	-6.119	60.0
C01102	O-Phospho-L-homoserine	-6.901	0.0	-6.901	60.0
C16387	(2E,6Z,9Z,12Z,15Z,18Z)-Tetracosahexa-2,6,9,12,15,18-enoyl-CoA	8.364	8.364	0.0	70.0
C00794	D-Sorbitol	-12.2181691594	7.581	-12.275	90.0
C03921	2-Dehydro-3-deoxy-D-glucarate	-10.393	0.0	-10.393	90.0
C05998	3-Hydroxyisovaleryl-CoA	8.364	8.364	0.0	70.0
C00791	Creatinine	7.989	7.989	0.0	70.0
C00886	L-Alanyl-tRNA	-10.4848154817	0.0	-10.485	90.0
C16219	3-Oxostearoyl-[acp]	11.2877199703	11.301	-4.524	90.0
C00507	L-Rhamnose	8.464	8.464	0.0	70.0
C01233	sn-Glycero-3-phosphoethanolamine	8.43474600387	8.435	0.0	70.0
