Compound_code	Metabolite_name	Indegree	Outdegree
C00944	3-Dehydroquinate	4	4
C02430	L-Methionyl-tRNA	1	1
C00826	L-Arogenate	0	2
C00534	Pyridoxamine	1	1
C06126	Digalactosylceramide	0	1
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	2	2
C01185	Nicotinate_D-ribonucleotide	3	2
C15812	[Enzyme]-S-sulfanylcysteine	0	1
C15813	C15813	1	1
C15814	C15814	1	1
C16688	Sucrose_6-phosphate	0	1
C00794	D-Sorbitol	1	0
C00227	Acetyl_phosphate	6	1
C00226	Primary_alcohol	0	1
C00504	Folate	4	8
C00221	beta-D-Glucose	0	3
C00385	Xanthine	4	2
C00387	Guanosine	0	2
C00380	Cytosine	1	1
C00229	Acyl-carrier_protein	1	0
C05841	Nicotinate_D-ribonucleoside	0	1
C00364	dTMP	4	2
C00365	dUMP	7	4
C00362	dGMP	2	1
C00363	dTDP	2	0
C00360	dAMP	1	1
C00008	ADP	6	2
C05831	3-Methoxyanthranilate	1	0
C05830	8-Methoxykynurenate	1	0
C00003	NAD+	3	3
C00002	ATP	1	13
C00369	Starch	2	6
C05703	Methaneselenol	2	0
C00632	3-Hydroxyanthranilate	0	1
C00647	Pyridoxamine_phosphate	1	1
C00310	D-Xylulose	2	2
C00641	1,2-Diacyl-sn-glycerol	1	1
C01931	L-Lysyl-tRNA	1	0
C00314	Pyridoxine	0	2
C04494	Guanosine_3'-diphosphate_5'-triphosphate	1	0
C00092	D-Glucose_6-phosphate	5	0
C00093	sn-Glycerol_3-phosphate	1	9
C00095	D-Fructose	2	2
C00097	L-Cysteine	7	1
C14099	2-Naphthaldehyde	3	0
C14090	1-Naphthaldehyde	3	0
C00378	Thiamine	1	1
C06196	2'-Deoxyinosine_5'-phosphate	1	0
C06194	2',3'-Cyclic_GMP	0	1
C06193	Guanosine_3'-phosphate	1	0
C06199	Hordenine	1	0
C00166	Phenylpyruvate	8	2
C00160	Glycolate	3	0
C00163	Propanoate	0	1
C02984	L-Aspartyl-tRNA(Asp)	1	0
C02987	L-Glutamyl-tRNA(Glu)	4	0
C19878	D-glycero-alpha-D-manno-Heptose_7-phosphate	1	1
C19879	D-glycero-alpha-D-manno-Heptose_1,7-bisphosphate	1	0
C02047	L-Leucyl-tRNA	1	0
C03082	4-Phospho-L-aspartate	10	6
C04377	5,10-Methylenetetrahydromethanopterin	2	0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	7	8
C03089	5-Methylthio-D-ribose	1	1
C00860	L-Histidinol	4	0
C02962	D-Allose_6-phosphate	0	2
C00864	Pantothenate	0	2
