Compound_code	Metabolite_name	Importance_score	p_value
C05528	3-Sulfopyruvate	0.0	n.s.
C05527	3-Sulfinylpyruvate	0.0	n.s.
C00149	(S)-Malate	7.775	n.s.
C00944	3-Dehydroquinate	0.0	n.s.
C05356	5(S)-HPETE	0.0	n.s.
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	12.258	<0.05
C02430	L-Methionyl-tRNA	4.392	n.s.
C15547	1,4-Dihydroxy-2-naphthoyl-CoA	-8.755	n.s.
C14819	Fe3+	0.0	n.s.
C14818	Fe2+	7.257	n.s.
C00436	N-Carbamoylputrescine	0.0	n.s.
C00827	Lactoyl-CoA	0.0	n.s.
C00826	L-Arogenate	0.0	n.s.
C00741	Diacetyl	-11.584	<0.05
C00534	Pyridoxamine	0.0	n.s.
C06126	Digalactosylceramide	9.755	n.s.
C01181	4-Trimethylammoniobutanoate	0.0	n.s.
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-9.899	n.s.
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-9.165	n.s.
C01185	Nicotinate_D-ribonucleotide	8.875	n.s.
C06128	GM4	9.443	n.s.
C15812	[Enzyme]-S-sulfanylcysteine	-9.576	n.s.
C15813	C15813	0.0	n.s.
C15811	[Enzyme]-cysteine	10.201	n.s.
C15814	C15814	0.0	n.s.
C03160	2-Succinylbenzoyl-CoA	2.585	n.s.
C16688	Sucrose_6-phosphate	-9.226	n.s.
C05752	Octanoyl-[acp]	-7.229	n.s.
C00794	D-Sorbitol	10.812	<0.05
C02067	Pseudouridine	8.989	n.s.
C00798	Formyl-CoA	0.0	n.s.
C00227	Acetyl_phosphate	-9.455	<0.05
C00226	Primary_alcohol	12.204	<0.05
C01236	D-Glucono-1,5-lactone_6-phosphate	8.683	n.s.
C00221	beta-D-Glucose	-11.216	<0.05
C00385	Xanthine	-7.547	n.s.
C00387	Guanosine	9.013	n.s.
C02504	alpha-Isopropylmalate	0.0	n.s.
C02505	2-Phenylacetamide	8.539	n.s.
C00229	Acyl-carrier_protein	-8.562	n.s.
C00380	Cytosine	0.0	n.s.
C00508	L-Ribulose	-8.492	n.s.
C00366	Urate	0.0	<0.05
C01801	Deoxyribose	11.244	<0.05
C00364	dTMP	-5.687	n.s.
C00365	dUMP	-8.694	n.s.
C00362	dGMP	-6.508	n.s.
C00363	dTDP	10.311	n.s.
C00360	dAMP	0.0	n.s.
C00008	ADP	-10.123	<0.05
C05831	3-Methoxyanthranilate	0.0	n.s.
C00006	NADP+	10.32	n.s.
C00005	NADPH	-10.706	n.s.
C00003	NAD+	6.206	n.s.
C00002	ATP	-9.826	n.s.
C00369	Starch	9.495	n.s.
C05703	Methaneselenol	-11.05	<0.05
C04088	Octadecanoyl-[acyl-carrier_protein]	-8.735	n.s.
C00632	3-Hydroxyanthranilate	0.0	n.s.
C03586	2-Oxo-2,3-dihydrofuran-5-acetate	-8.823	n.s.
C16619	6-Thioguanosine_monophosphate	-9.401	n.s.
C16618	6-Thioxanthine_5'-monophosphate	8.852	n.s.
C02612	(R)-2-Methylmalate	0.0	<0.05
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-8.963	n.s.
C16614	6-Methylmercaptopurine	8.963	n.s.
C00645	N-Acetyl-D-mannosamine	-9.283	n.s.
C00644	D-Mannitol_1-phosphate	-8.055	n.s.
C00647	Pyridoxamine_phosphate	0.0	n.s.
C00310	D-Xylulose	0.0	n.s.
C00641	1,2-Diacyl-sn-glycerol	7.965	n.s.
C01931	L-Lysyl-tRNA	-9.217	n.s.
C00314	Pyridoxine	12.079	<0.05
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-6.516	n.s.
C00092	D-Glucose_6-phosphate	-11.109	<0.05
C00093	sn-Glycerol_3-phosphate	6.316	n.s.
C00095	D-Fructose	9.37	n.s.
C00096	GDP-mannose	11.291	<0.05
C00097	L-Cysteine	-9.925	<0.05
C14099	2-Naphthaldehyde	-12.204	<0.05
C06311	Galactitol_1-phosphate	0.0	<0.05
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-8.836	n.s.
C14090	1-Naphthaldehyde	-12.204	<0.05
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	-9.29	n.s.
C02282	Glutaminyl-tRNA	9.171	n.s.
C06196	2'-Deoxyinosine_5'-phosphate	-10.595	n.s.
C03232	3-Phosphonooxypyruvate	8.184	n.s.
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	0.0	n.s.
C05172	Selenophosphoric_acid	0.0	n.s.
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	7.864	n.s.
C11949	3-Isopropylbut-3-enoyl-CoA	-7.864	n.s.
C06199	Hordenine	0.0	n.s.
C07118	Benzoyl_acetyl-CoA	7.864	n.s.
C14762	13(S)-HODE	9.51	n.s.
C00870	4-Nitrophenol	-9.165	n.s.
C14765	13-OxoODE	-9.51	n.s.
C00166	Phenylpyruvate	0.0	n.s.
C00167	UDP-glucuronate	0.0	n.s.
C00160	Glycolate	-10.354	n.s.
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-6.129	n.s.
C00162	Fatty_acid	0.0	n.s.
C00163	Propanoate	9.897	n.s.
C02984	L-Aspartyl-tRNA(Asp)	-9.317	n.s.
C02987	L-Glutamyl-tRNA(Glu)	-9.416	n.s.
C00438	N-Carbamoyl-L-aspartate	-5.768	n.s.
C02047	L-Leucyl-tRNA	-8.581	n.s.
C03082	4-Phospho-L-aspartate	6.057	n.s.
C04377	5,10-Methylenetetrahydromethanopterin	-10.408	n.s.
C04376	5'-Phosphoribosyl-N-formylglycinamide	7.651	n.s.
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	6.563	n.s.
C03089	5-Methylthio-D-ribose	0.0	n.s.
C00860	L-Histidinol	0.0	n.s.
C02962	D-Allose_6-phosphate	0.0	n.s.
C00864	Pantothenate	8.349	n.s.
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	0.0	n.s.
C01380	Ethylene_glycol	0.0	n.s.
C00906	5,6-Dihydrothymine	0.0	n.s.
C01419	Cys-Gly	7.16	n.s.
C03360	4-Nitrophenyl_phosphate	9.165	n.s.
C01149	4-Trimethylammoniobutanal	0.0	n.s.
C01412	Butanal	10.92	n.s.
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-8.444	n.s.
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	7.687	n.s.
C01143	(R)-5-Diphosphomevalonate	5.82	n.s.
C06040	Diglucosyl-diacylglycerol	-11.291	<0.05
C03402	L-Asparaginyl-tRNA(Asn)	-8.639	n.s.
C17962	Demethylphosphinothricin	8.19	n.s.
C03406	N-(L-Arginino)succinate	-6.19	n.s.
C05512	Deoxyinosine	7.726	n.s.
C07645	Aldophosphamide	12.258	<0.05
C07648	Thioguanine	8.963	n.s.
C05519	L-Allothreonine	0.0	n.s.
C00327	L-Citrulline	7.674	n.s.
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	8.651	n.s.
C05269	3-Oxohexanoyl-CoA	0.0	n.s.
C00695	Cholic_acid	-8.082	n.s.
C18096	D-Allulose_6-phosphate	0.0	n.s.
C00269	CDP-diacylglycerol	-7.707	n.s.
