Compound_code	Metabolite_name	Indegree	Outdegree
C00025	L-Glutamate	0	4
C00024	Acetyl-CoA	3	11
C00026	2-Oxoglutarate	0	1
C00022	Pyruvate	4	0
C03150	Nicotinamide-beta-riboside	0	1
C00147	Adenine	2	0
C00144	GMP	4	0
C05223	Dodecanoyl-[acyl-carrier_protein]	0	3
C16619	6-Thioguanosine_monophosphate	1	0
C03742	(S)-4-Hydroxymandelonitrile	1	0
C02430	L-Methionyl-tRNA	1	0
C00345	6-Phospho-D-gluconate	5	0
C04501	N-Acetyl-alpha-D-glucosamine_1-phosphate	2	3
C00061	FMN	3	1
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	2	0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	0	2
C00234	10-Formyltetrahydrofolate	0	2
C00212	Adenosine	0	2
C00011	CO2	10	0
C00014	Ammonia	4	4
C00016	FAD	1	1
C05755	Decanoyl-[acp]	0	3
C05796	Galactan	0	2
C00152	L-Asparagine	1	3
C05753	3-Oxodecanoyl-[acp]	3	0
C00791	Creatinine	0	1
C02876	Propanoyl_phosphate	1	1
C00798	Formyl-CoA	1	1
C00227	Acetyl_phosphate	7	1
C03511	L-Phenylalanyl-tRNA(Phe)	1	0
C00221	beta-D-Glucose	4	0
C00385	Xanthine	1	0
C00387	Guanosine	0	1
C00655	Xanthosine_5'-phosphate	0	4
C00300	Creatine	1	0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	0	2
C03127	L-Isoleucyl-tRNA(Ile)	1	0
C01172	beta-D-Glucose_6-phosphate	1	0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	0	2
C05838	cis-2-Hydroxycinnamate	2	0
C00365	dUMP	2	0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	2	0
C20375	Glutaryl-[acp]_methyl_ester	0	2
C00006	NADP+	2	0
C00003	NAD+	0	2
C00002	ATP	0	2
C15972	Enzyme_N6-(lipoyl)lysine	4	0
C06188	Salicin_6-phosphate	0	1
C16618	6-Thioxanthine_5'-monophosphate	0	1
C00256	(R)-Lactate	0	1
C00257	D-Gluconic_acid	0	5
C00255	Riboflavin	0	2
C04652	UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine	0	2
C00258	D-Glycerate	1	4
C05335	L-Selenomethionine	0	1
C00395	Penicillin	0	2
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	2	2
C00313	Oxalyl-CoA	1	1
C01931	L-Lysyl-tRNA	1	0
C00091	Succinyl-CoA	1	0
C00760	Cellulose	0	2
C02051	Lipoylprotein	1	0
C05759	3-Oxotetradecanoyl-[acp]	3	0
C00079	L-Phenylalanine	0	1
C01798	D-Glucoside	0	1
C00073	L-Methionine	0	1
C00074	Phosphoenolpyruvate	5	1
C00075	UTP	0	6
C00039	DNA	7	1
C00086	Urea	0	10
C00243	Lactose	0	2
C00242	Guanine	1	0
C00244	Nitrate	4	4
C00407	L-Isoleucine	0	1
C03063	2-Oxohept-3-enedioate	0	2
C02988	L-Histidyl-tRNA(His)	1	0
C00561	Mandelonitrile	2	0
C01094	D-Fructose_1-phosphate	0	2
C00169	Carbamoyl_phosphate	3	0
C00106	Uracil	2	2
C06567	Penicilloic_acid	2	0
C00105	UMP	2	2
C00103	D-Glucose_1-phosphate	0	4
C00100	Propanoyl-CoA	1	1
C00101	Tetrahydrofolate	1	0
C00582	Phenylacetyl-CoA	2	0
C00063	CTP	4	2
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	5	0
C00064	L-Glutamine	8	3
C19673	Malonyl-[acp]_methyl_ester	0	2
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	2	0
C00577	D-Glyceraldehyde	1	0
C05764	Hexadecanoyl-[acp]	0	3
C05761	Tetradecanoyl-[acp]	0	3
C00279	D-Erythrose_4-phosphate	1	3
C05762	3-Oxohexadecanoyl-[acp]	3	0
C04932	Lipid_A_disaccharide	2	0
C05600	2-Hydroxyhepta-2,4-dienedioate	0	1
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	0	4
C06041	Glycerophosphoglycoglycerolipid	2	0
C06040	Diglucosyl-diacylglycerol	0	2
C08325	Amygdalin	0	1
C03402	L-Asparaginyl-tRNA(Asn)	1	0
C00666	LL-2,6-Diaminoheptanedioate	4	0
C00294	Inosine	0	1
C00111	Glycerone_phosphate	11	2
C20372	3-Ketoglutaryl-[acp]_methyl_ester	2	0
C00356	(S)-3-Hydroxy-3-methylglutaryl-CoA	4	2
C00354	D-Fructose_1,6-bisphosphate	2	4
C07086	Phenylacetic_acid	0	2
C00118	D-Glyceraldehyde_3-phosphate	11	2
C00149	(S)-Malate	1	5
C02972	Dihydrolipoylprotein	0	1
C05750	3-Oxooctanoyl-[acp]	3	0
C05752	Octanoyl-[acp]	0	3
C00501	CDP-glucose	4	0
C16219	3-Oxostearoyl-[acp]	3	0
C04824	Lipid_X	0	2
C05756	3-Oxododecanoyl-[acp]	3	0
C00262	Hypoxanthine	1	0
C06201	2,4-Dihydroxyhept-2-enedioate	3	0
C00267	alpha-D-Glucose	3	0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	1	0
C08334	Lotaustralin	0	1
C00993	D-Alanyl-D-alanine	0	2
C00185	Cellobiose	0	2
C00460	dUTP	0	2
C03794	N6-(1,2-Dicarboxyethyl)-AMP	2	1
C00122	Fumarate	16	1
C00286	dGTP	0	2
C00124	D-Galactose	4	0
C02412	Glycyl-tRNA(Gly)	1	0
C00842	dTDP-glucose	0	5
C05378	beta-D-Fructose_1,6-bisphosphate	0	8
C00088	Nitrite	4	4
C00844	Prunasin	1	2
C05749	Hexanoyl-[acp]	0	3
C05946	D-4-Hydroxy-2-oxoglutarate	1	1
C05336	Selenomethionyl-tRNA(Met)	1	0
C05746	3-Oxohexanoyl-[acp]	3	0
C05745	Butyryl-[acp]	0	3
C05744	Acetoacetyl-[acp]	3	0
C16156	Undecaprenyl_phosphate_alpha-L-Ara4FN	2	0
C16154	UDP-L-Ara4FN	0	2
C00458	dCTP	0	2
C00459	dTTP	0	2
C01209	Malonyl-[acyl-carrier_protein]	0	20
C02659	Acetone_cyanohydrin	1	0
C00197	3-Phospho-D-glycerate	4	1
C00058	Formate	1	0
C00153	Nicotinamide	1	0
C00036	Oxaloacetate	1	7
C00037	Glycine	0	1
C15973	Enzyme_N6-(dihydrolipoyl)lysine	0	4
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	5	0
C05539	N-Acetyl-L-2-amino-6-oxopimelate	2	2
C00031	D-Glucose	0	2
C00135	L-Histidine	0	1
C00332	Acetoacetyl-CoA	2	4
C00131	dATP	1	1
C00130	IMP	1	1
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	0	2
C03939	Acetyl-[acyl-carrier_protein]	0	3
C01190	beta-D-Glucosyl-(1<->1)-ceramide	2	0
C00447	Sedoheptulose_1,7-bisphosphate	3	1
C00668	alpha-D-Glucose_6-phosphate	2	0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	1	0
C01762	Xanthosine	0	1
C06156	alpha-D-Glucosamine_1-phosphate	1	1
C00441	L-Aspartate_4-semialdehyde	0	5
C01594	Linamarin	0	1
C00043	UDP-N-acetyl-alpha-D-glucosamine	2	1
C00042	Succinate	0	11
C00047	L-Lysine	0	1
C00046	RNA	7	1
C00044	GTP	1	2
C00049	L-Aspartate	2	2
C00048	Glyoxylate	1	1
C05143	Dhurrin	0	1
