Compound_code	Metabolite_name	Importance_score	p_value
C00025	L-Glutamate	0.0	n.s.
C00024	Acetyl-CoA	0.0	n.s.
C00026	2-Oxoglutarate	2.0	<0.05
C00022	Pyruvate	-2.807	<0.05
C03150	Nicotinamide-beta-riboside	0.0	n.s.
C00147	Adenine	0.0	n.s.
C00144	GMP	0.0	n.s.
C05223	Dodecanoyl-[acyl-carrier_protein]	7.562	<0.05
C00385	Xanthine	0.0	n.s.
C03742	(S)-4-Hydroxymandelonitrile	-1.585	<0.05
C02430	L-Methionyl-tRNA	0.0	n.s.
C00345	6-Phospho-D-gluconate	0.0	n.s.
C04501	N-Acetyl-alpha-D-glucosamine_1-phosphate	0.0	n.s.
C00061	FMN	0.0	n.s.
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	0.0	n.s.
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	0.0	n.s.
C00798	Formyl-CoA	0.0	n.s.
C00234	10-Formyltetrahydrofolate	1.585	<0.05
C00011	CO2	0.0	n.s.
C00014	Ammonia	0.0	n.s.
C00016	FAD	0.0	n.s.
C05796	Galactan	0.585	n.s.
C00152	L-Asparagine	4.858	<0.05
C05753	3-Oxodecanoyl-[acp]	-7.562	<0.05
C00791	Creatinine	0.0	n.s.
C02876	Propanoyl_phosphate	0.0	n.s.
C05755	Decanoyl-[acp]	7.562	<0.05
C00227	Acetyl_phosphate	0.0	n.s.
C02051	Lipoylprotein	-2.0	<0.05
C03511	L-Phenylalanyl-tRNA(Phe)	0.0	n.s.
C00221	beta-D-Glucose	-1.585	<0.05
C00212	Adenosine	0.0	n.s.
C00387	Guanosine	0.0	n.s.
C00655	Xanthosine_5'-phosphate	0.0	n.s.
C00300	Creatine	0.0	n.s.
C00262	Hypoxanthine	0.0	n.s.
C03127	L-Isoleucyl-tRNA(Ile)	-1.0	<0.05
C01172	beta-D-Glucose_6-phosphate	-1.0	<0.05
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	1.585	<0.05
C05838	cis-2-Hydroxycinnamate	-1.585	<0.05
C00365	dUMP	0.0	n.s.
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-7.562	<0.05
C20375	Glutaryl-[acp]_methyl_ester	7.562	<0.05
C00006	NADP+	-2.0	<0.05
C00003	NAD+	2.0	<0.05
C00002	ATP	4.0	<0.05
C15972	Enzyme_N6-(lipoyl)lysine	-2.0	<0.05
C06188	Salicin_6-phosphate	1.0	<0.05
C16618	6-Thioxanthine_5'-monophosphate	0.0	n.s.
C00256	(R)-Lactate	0.0	n.s.
C00257	D-Gluconic_acid	0.0	n.s.
C00255	Riboflavin	0.0	n.s.
C04652	UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine	1.0	<0.05
C00258	D-Glycerate	0.0	n.s.
C05335	L-Selenomethionine	0.0	n.s.
C00395	Penicillin	0.0	n.s.
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	0.0	n.s.
C00313	Oxalyl-CoA	0.0	n.s.
C01931	L-Lysyl-tRNA	0.0	n.s.
C00091	Succinyl-CoA	-2.0	<0.05
C00760	Cellulose	1.585	<0.05
C03939	Acetyl-[acyl-carrier_protein]	7.562	<0.05
C05759	3-Oxotetradecanoyl-[acp]	-7.562	<0.05
C00079	L-Phenylalanine	0.0	n.s.
C01798	D-Glucoside	1.585	<0.05
C00073	L-Methionine	0.0	n.s.
C00074	Phosphoenolpyruvate	0.0	n.s.
C00075	UTP	2.585	<0.05
C00039	DNA	0.0	n.s.
C00086	Urea	0.0	n.s.
C00243	Lactose	1.0	<0.05
C00242	Guanine	0.0	n.s.
C00244	Nitrate	0.0	n.s.
C04494	Guanosine_3'-diphosphate_5'-triphosphate	0.0	n.s.
C16619	6-Thioguanosine_monophosphate	0.0	n.s.
C03063	2-Oxohept-3-enedioate	0.0	n.s.
C02988	L-Histidyl-tRNA(His)	0.0	n.s.
C00561	Mandelonitrile	-1.585	<0.05
C01094	D-Fructose_1-phosphate	0.0	n.s.
C00169	Carbamoyl_phosphate	0.0	n.s.
C00106	Uracil	0.0	n.s.
C06567	Penicilloic_acid	0.0	n.s.
C00105	UMP	0.0	n.s.
C00103	D-Glucose_1-phosphate	0.0	n.s.
C00100	Propanoyl-CoA	0.0	n.s.
C00101	Tetrahydrofolate	-1.585	<0.05
C00582	Phenylacetyl-CoA	-3.322	<0.05
C00063	CTP	4.0	<0.05
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-3.459	<0.05
C00064	L-Glutamine	0.0	n.s.
C19673	Malonyl-[acp]_methyl_ester	7.562	<0.05
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	0.0	n.s.
C00577	D-Glyceraldehyde	0.0	n.s.
C05764	Hexadecanoyl-[acp]	7.562	<0.05
C05761	Tetradecanoyl-[acp]	7.562	<0.05
C00279	D-Erythrose_4-phosphate	0.0	n.s.
C05762	3-Oxohexadecanoyl-[acp]	-7.562	<0.05
C04932	Lipid_A_disaccharide	-1.0	<0.05
C05600	2-Hydroxyhepta-2,4-dienedioate	0.0	n.s.
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	0.0	n.s.
C06041	Glycerophosphoglycoglycerolipid	0.0	n.s.
C06040	Diglucosyl-diacylglycerol	0.0	n.s.
C08325	Amygdalin	1.585	<0.05
C03402	L-Asparaginyl-tRNA(Asn)	-6.409	<0.05
C00666	LL-2,6-Diaminoheptanedioate	0.0	n.s.
C00294	Inosine	0.0	n.s.
C00111	Glycerone_phosphate	0.0	n.s.
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-7.562	<0.05
C00356	(S)-3-Hydroxy-3-methylglutaryl-CoA	0.0	n.s.
C00354	D-Fructose_1,6-bisphosphate	0.0	n.s.
C07086	Phenylacetic_acid	3.322	<0.05
C00118	D-Glyceraldehyde_3-phosphate	0.0	n.s.
C00149	(S)-Malate	0.0	n.s.
C02972	Dihydrolipoylprotein	2.0	<0.05
C05750	3-Oxooctanoyl-[acp]	-7.562	<0.05
C05752	Octanoyl-[acp]	7.562	<0.05
C00501	CDP-glucose	0.0	n.s.
C16219	3-Oxostearoyl-[acp]	-7.562	<0.05
C04824	Lipid_X	1.0	<0.05
C05756	3-Oxododecanoyl-[acp]	-7.562	<0.05
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	0.0	n.s.
C06201	2,4-Dihydroxyhept-2-enedioate	0.0	n.s.
C00267	alpha-D-Glucose	-1.222	<0.05
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-1.585	<0.05
C08334	Lotaustralin	1.585	<0.05
C00993	D-Alanyl-D-alanine	0.0	n.s.
C00185	Cellobiose	1.585	<0.05
C00460	dUTP	0.0	n.s.
C03794	N6-(1,2-Dicarboxyethyl)-AMP	0.0	n.s.
C00122	Fumarate	-6.081	<0.05
C00286	dGTP	0.0	n.s.
C00124	D-Galactose	-0.807	<0.05
C00407	L-Isoleucine	1.0	<0.05
C02412	Glycyl-tRNA(Gly)	0.0	n.s.
C00842	dTDP-glucose	0.0	n.s.
C05378	beta-D-Fructose_1,6-bisphosphate	0.0	n.s.
C00088	Nitrite	0.0	n.s.
C00844	Prunasin	0.0	n.s.
C05749	Hexanoyl-[acp]	7.562	<0.05
C05946	D-4-Hydroxy-2-oxoglutarate	0.0	n.s.
C05336	Selenomethionyl-tRNA(Met)	0.0	n.s.
C05746	3-Oxohexanoyl-[acp]	-7.562	<0.05
C05745	Butyryl-[acp]	7.562	<0.05
C05744	Acetoacetyl-[acp]	-7.562	<0.05
C16156	Undecaprenyl_phosphate_alpha-L-Ara4FN	0.0	n.s.
C16154	UDP-L-Ara4FN	0.0	n.s.
C00458	dCTP	0.0	n.s.
C00459	dTTP	0.0	n.s.
C01209	Malonyl-[acyl-carrier_protein]	7.562	<0.05
C02659	Acetone_cyanohydrin	-1.585	<0.05
C00197	3-Phospho-D-glycerate	0.0	n.s.
C00058	Formate	-1.585	<0.05
C00153	Nicotinamide	0.0	n.s.
C00036	Oxaloacetate	-6.749	<0.05
C00037	Glycine	0.0	n.s.
C15973	Enzyme_N6-(dihydrolipoyl)lysine	2.0	<0.05
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	0.0	n.s.
C05539	N-Acetyl-L-2-amino-6-oxopimelate	0.0	n.s.
C00031	D-Glucose	9.884	<0.05
C00135	L-Histidine	0.0	n.s.
C00332	Acetoacetyl-CoA	0.0	n.s.
C00131	dATP	0.0	n.s.
C00130	IMP	0.0	n.s.
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	1.0	<0.05
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-1.0	<0.05
C00447	Sedoheptulose_1,7-bisphosphate	0.0	n.s.
C00668	alpha-D-Glucose_6-phosphate	-9.884	<0.05
C01762	Xanthosine	0.0	n.s.
C06156	alpha-D-Glucosamine_1-phosphate	0.0	n.s.
C00441	L-Aspartate_4-semialdehyde	3.459	<0.05
C01594	Linamarin	1.585	<0.05
C00043	UDP-N-acetyl-alpha-D-glucosamine	0.0	n.s.
C00042	Succinate	6.615	<0.05
C00047	L-Lysine	0.0	n.s.
C00046	RNA	0.0	n.s.
C00044	GTP	-3.087	<0.05
C00049	L-Aspartate	0.0	n.s.
C00048	Glyoxylate	0.0	n.s.
C05143	Dhurrin	1.585	<0.05
