Compound_code	Metabolite_name	Indegree	Outdegree
C00106	Uracil	2	0
C00364	dTMP	0	1
C00123	L-Leucine	0	1
C00344	Phosphatidylglycerol	0	4
C00020	AMP	0	2
C00360	dAMP	0	2
C16519	2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate	3	0
C00144	GMP	0	2
C16633	5-Fluorouridine	1	0
C00105	UMP	0	1
C00362	dGMP	1	1
C00212	Adenosine	2	0
C00021	S-Adenosyl-L-homocysteine	1	1
C02554	L-Valyl-tRNA(Val)	1	0
C00251	Chorismate	3	1
C00239	dCMP	0	1
C16675	7-Aminomethyl-7-carbaguanine	1	1
C00259	L-Arabinose	0	2
C03150	Nicotinamide-beta-riboside	1	0
C00055	CMP	0	1
C00330	Deoxyguanosine	1	1
C00559	Deoxyadenosine	2	0
C00019	S-Adenosyl-L-methionine	1	1
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	1	3
C00885	Isochorismate	0	3
C00475	Cytidine	1	0
C01185	Nicotinate_D-ribonucleotide	0	1
C00455	Nicotinamide_D-ribonucleotide	0	1
C00881	Deoxycytidine	1	0
C00097	L-Cysteine	1	0
C00036	Oxaloacetate	7	3
C05841	Nicotinate_D-ribonucleoside	1	0
C00294	Inosine	2	0
C05980	Cardiolipin	4	0
C07649	5-FU	0	1
C00135	L-Histidine	0	1
C20248	7-Carboxy-7-carbaguanine	0	2
C00155	L-Homocysteine	2	0
C00149	(S)-Malate	3	7
C00299	Uridine	1	2
C00979	O-Acetyl-L-serine	0	1
C01762	Xanthosine	3	0
C01077	O-Acetyl-L-homoserine	1	3
C00130	IMP	0	2
C00214	Thymidine	1	0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	1	0
C00269	CDP-diacylglycerol	0	2
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	0	1
C00246	Butanoic_acid	1	1
C00263	L-Homoserine	1	1
C02527	Butanoylphosphate	1	1
C00508	L-Ribulose	2	0
C00387	Guanosine	2	0
C00041	L-Alanine	0	2
C00655	Xanthosine_5'-phosphate	0	3
C02988	L-Histidyl-tRNA(His)	1	0
C15996	7-Cyano-7-carbaguanine	3	1
C02984	L-Aspartyl-tRNA(Asp)	1	0
C00049	L-Aspartate	0	1
C00133	D-Alanine	2	0
C00183	L-Valine	0	1
C02047	L-Leucyl-tRNA	1	0
