Compound_code	Metabolite_name	Importance_score	p_value
C00106	Uracil	-5.044	<0.05
C00364	dTMP	5.17	<0.05
C00123	L-Leucine	0.0	<0.05
C00344	Phosphatidylglycerol	4.087	<0.05
C00020	AMP	5.17	<0.05
C00360	dAMP	5.17	<0.05
C16519	2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate	0.0	<0.05
C00144	GMP	5.17	<0.05
C01762	Xanthosine	-5.17	<0.05
C16633	5-Fluorouridine	-5.044	<0.05
C00105	UMP	5.17	<0.05
C01185	Nicotinate_D-ribonucleotide	5.17	<0.05
C00362	dGMP	0.0	n.s.
C00021	S-Adenosyl-L-homocysteine	0.0	n.s.
C02554	L-Valyl-tRNA(Val)	-4.907	n.s.
C00155	L-Homocysteine	-4.907	n.s.
C00239	dCMP	5.17	<0.05
C16675	7-Aminomethyl-7-carbaguanine	0.0	n.s.
C00259	L-Arabinose	5.954	<0.05
C03150	Nicotinamide-beta-riboside	-5.17	<0.05
C00055	CMP	5.17	<0.05
C00559	Deoxyadenosine	-5.17	<0.05
C00330	Deoxyguanosine	0.0	n.s.
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	0.0	n.s.
C00885	Isochorismate	0.0	<0.05
C00475	Cytidine	-5.17	<0.05
C00212	Adenosine	-5.17	<0.05
C00455	Nicotinamide_D-ribonucleotide	5.17	<0.05
C00881	Deoxycytidine	-5.17	<0.05
C00097	L-Cysteine	-4.907	n.s.
C00036	Oxaloacetate	0.0	n.s.
C05841	Nicotinate_D-ribonucleoside	-5.17	<0.05
C00294	Inosine	-5.17	<0.05
C05980	Cardiolipin	-4.087	<0.05
C00019	S-Adenosyl-L-methionine	0.0	n.s.
C07649	5-FU	5.044	<0.05
C00135	L-Histidine	4.858	<0.05
C20248	7-Carboxy-7-carbaguanine	5.392	<0.05
C00133	D-Alanine	-4.907	n.s.
C00149	(S)-Malate	0.0	n.s.
C00299	Uridine	-2.0	n.s.
C00979	O-Acetyl-L-serine	4.907	n.s.
C00251	Chorismate	0.0	n.s.
C01077	O-Acetyl-L-homoserine	2.807	<0.05
C00130	IMP	5.17	<0.05
C00214	Thymidine	-5.17	<0.05
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	0.0	<0.05
C00269	CDP-diacylglycerol	4.087	<0.05
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	0.0	<0.05
C00246	Butanoic_acid	0.0	n.s.
C00263	L-Homoserine	0.0	n.s.
C15996	7-Cyano-7-carbaguanine	2.663	<0.05
C00508	L-Ribulose	-5.954	<0.05
C00387	Guanosine	-5.17	<0.05
C00041	L-Alanine	4.907	n.s.
C00655	Xanthosine_5'-phosphate	5.17	<0.05
C02988	L-Histidyl-tRNA(His)	-4.858	<0.05
C02527	Butanoylphosphate	0.0	n.s.
C02984	L-Aspartyl-tRNA(Asp)	-5.248	<0.05
C00049	L-Aspartate	5.248	<0.05
C00183	L-Valine	4.907	n.s.
C02047	L-Leucyl-tRNA	0.0	<0.05
