Compound_code	Metabolite_name	Indegree	Outdegree
C00025	L-Glutamate	9	12
C00024	Acetyl-CoA	1	1
C00026	2-Oxoglutarate	6	6
C00020	AMP	1	2
C00022	Pyruvate	7	3
C00143	5,10-Methylenetetrahydrofolate	8	4
C00141	3-Methyl-2-oxobutanoic_acid	2	3
C00029	UDP-glucose	1	5
C00147	Adenine	3	0
C00149	(S)-Malate	1	5
C00944	3-Dehydroquinate	0	4
C03838	5'-Phosphoribosylglycinamide	0	3
C03722	Quinolinate	2	0
C05356	5(S)-HPETE	0	1
C06311	Galactitol_1-phosphate	6	0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	0	6
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	2	1
C04377	5,10-Methylenetetrahydromethanopterin	2	0
C04742	(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate	1	0
C04376	5'-Phosphoribosyl-N-formylglycinamide	3	0
C05966	15(S)-HPETE	0	1
C05726	S-Substituted_L-cysteine	1	0
C00582	Phenylacetyl-CoA	0	2
C00705	dCDP	1	1
C06251	Lauroyl-KDO2-lipid_IV(A)	0	2
C01345	dITP	1	0
C01344	dIDP	0	1
C01185	Nicotinate_D-ribonucleotide	0	2
C02637	3-Dehydroshikimate	4	0
C00014	Ammonia	13	0
C00015	UDP	1	1
C05822	3'-CMP	1	0
C16238	Lipoyl-AMP	2	2
C05345	beta-D-Fructose_6-phosphate	0	1
C00387	Guanosine	0	1
C02504	alpha-Isopropylmalate	4	2
C00229	Acyl-carrier_protein	1	0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	2	1
C00262	Hypoxanthine	1	0
C01172	beta-D-Glucose_6-phosphate	1	0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	2	0
C01801	Deoxyribose	0	1
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	2	0
C00363	dTDP	0	2
C00361	dGDP	0	4
C00380	Cytosine	2	0
C16519	2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate	0	3
C00002	ATP	3	4
C11544	2(alpha-D-Mannosyl)-D-glycerate	1	0
C06188	Salicin_6-phosphate	0	1
C00253	Nicotinate	2	0
C00251	Chorismate	0	4
C03506	Indoleglycerol_phosphate	0	16
C00255	Riboflavin	1	0
C01083	alpha,alpha-Trehalose	0	2
C01242	S-Aminomethyldihydrolipoylprotein	0	2
C03296	N2-Succinyl-L-arginine	1	0
C00885	Isochorismate	4	0
C00097	L-Cysteine	2	0
C05729	R-S-Cysteinylglycine	0	1
C00078	L-Tryptophan	16	0
C00074	Phosphoenolpyruvate	3	11
C00075	UTP	1	1
C00870	4-Nitrophenol	2	0
C06194	2',3'-Cyclic_GMP	0	1
C06193	Guanosine_3'-phosphate	1	0
