Compound_code	Metabolite_name	Indegree	Outdegree
C05528	3-Sulfopyruvate	2	0
C05527	3-Sulfinylpyruvate	2	2
C00027	Hydrogen_peroxide	1	0
C16242	Cobalt-precorrin_5A	2	2
C16243	Cobalt-precorrin_5B	2	2
C06723	6-Carboxyhex-2-enoyl-CoA	0	2
C00944	3-Dehydroquinate	4	0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	0	1
C02430	L-Methionyl-tRNA	1	1
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	2	2
C14819	Fe3+	1	0
C14818	Fe2+	0	1
C00431	5-Aminopentanoate	2	0
C00437	N-Acetylornithine	4	10
C01451	Salicin	0	1
C00438	N-Carbamoyl-L-aspartate	4	1
C00826	L-Arogenate	0	1
C00534	Pyridoxamine	1	1
C00469	Ethanol	0	8
C01181	4-Trimethylammoniobutanoate	1	0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	2	2
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	0	2
C05979	Propane-1-ol	1	0
C01185	Nicotinate_D-ribonucleotide	2	4
C15812	[Enzyme]-S-sulfanylcysteine	1	1
C15813	C15813	2	2
C15810	C15810	1	1
C15811	[Enzyme]-cysteine	0	1
C15814	C15814	2	2
C15815	C15815	1	2
C16688	Sucrose_6-phosphate	1	1
C05752	Octanoyl-[acp]	3	3
C00794	D-Sorbitol	0	5
C05840	Iminoaspartate	2	2
C00886	L-Alanyl-tRNA	1	0
C16219	3-Oxostearoyl-[acp]	3	3
C00227	Acetyl_phosphate	13	2
C00226	Primary_alcohol	0	2
C00222	3-Oxopropanoate	2	1
C00221	beta-D-Glucose	0	3
C00385	Xanthine	7	5
C05223	Dodecanoyl-[acyl-carrier_protein]	3	3
C02504	alpha-Isopropylmalate	4	12
C00229	Acyl-carrier_protein	1	2
C00499	Allantoate	0	2
C16396	2,4-Diamino-6-nitrotoluene	0	6
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	7	1
C00546	Methylglyoxal	2	0
C16399	2,4-Diamino-6-hydroxylaminotoluene	6	0
C16217	3-Hydroxyoctadecanoyl-CoA	2	0
C01801	Deoxyribose	0	1
C00364	dTMP	1	2
C00365	dUMP	4	3
C00362	dGMP	1	1
C16244	Cobalt-precorrin_7	2	2
C00360	dAMP	1	1
C00008	ADP	6	6
C00007	Oxygen	0	1
C00006	NADP+	2	0
C00003	NAD+	3	2
C00002	ATP	1	13
C00369	Starch	2	4
C05703	Methaneselenol	2	0
C00376	Retinal	2	0
C16619	6-Thioguanosine_monophosphate	2	0
C11062	4-Hydroxybutyryl-CoA	0	3
C02612	(R)-2-Methylmalate	0	10
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	1	0
C16614	6-Methylmercaptopurine	0	1
C00645	N-Acetyl-D-mannosamine	4	0
C00099	beta-Alanine	2	6
C00311	Isocitrate	7	11
C00310	D-Xylulose	2	2
C00641	1,2-Diacyl-sn-glycerol	1	5
C01931	L-Lysyl-tRNA	1	0
C00315	Spermidine	3	4
C00314	Pyridoxine	0	2
C00091	Succinyl-CoA	5	8
C00760	Cellulose	3	2
C00093	sn-Glycerol_3-phosphate	3	10
C00094	Sulfite	11	10
C00095	D-Fructose	4	8
C00096	GDP-mannose	3	1
C00097	L-Cysteine	15	6
C14099	2-Naphthaldehyde	6	0
C06311	Galactitol_1-phosphate	6	0
C00433	2,5-Dioxopentanoate	0	2
C14090	1-Naphthaldehyde	6	0
C14095	2-Hydroxy-3-carboxybenzalpyruvate	0	2
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	0	3
C14096	3-Formylsalicylic_acid	2	0
C00186	(S)-Lactate	1	4
C04732	5-Amino-6-(1-D-ribitylamino)uracil	1	2
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	5	1
C05172	Selenophosphoric_acid	0	1
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	0	1
C11949	3-Isopropylbut-3-enoyl-CoA	1	0
C05775	alpha-Ribazole	1	3
C07118	Benzoyl_acetyl-CoA	0	3
C05773	Cobyrinate	2	0
C05778	Sirohydrochlorin	4	4
C05670	3-Aminopropiononitrile	0	1
C00164	Acetoacetate	8	1
C00166	Phenylpyruvate	13	13
C00167	UDP-glucuronate	6	0
C00160	Glycolate	4	3
C03794	N6-(1,2-Dicarboxyethyl)-AMP	3	3
C00162	Fatty_acid	0	2
C00163	Propanoate	0	1
C02984	L-Aspartyl-tRNA(Asp)	1	0
C02987	L-Glutamyl-tRNA(Glu)	4	0
C00169	Carbamoyl_phosphate	7	4
C02047	L-Leucyl-tRNA	1	0
C03082	4-Phospho-L-aspartate	10	6
C04377	5,10-Methylenetetrahydromethanopterin	2	0
C04376	5'-Phosphoribosyl-N-formylglycinamide	3	3
C20396	Methylphosphonate	0	4
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	7	8
C03089	5-Methylthio-D-ribose	1	1
C00860	L-Histidinol	4	4
C00862	Methanofuran	2	1
C02962	D-Allose_6-phosphate	0	2
C00864	Pantothenate	4	2
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	1	8
C04501	N-Acetyl-alpha-D-glucosamine_1-phosphate	2	3
C01419	Cys-Gly	3	4
C01149	4-Trimethylammoniobutanal	0	1
C14087	3-Methylsalicylaldehyde	3	0
C01144	(S)-3-Hydroxybutanoyl-CoA	10	7
C01146	2-Hydroxy-3-oxopropanoate	4	0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	2	2
C01142	(3S)-3,6-Diaminohexanoate	1	0
C06510	Adenosine-GDP-cobinamide	2	2
C03561	(R)-3-Hydroxybutanoyl-CoA	0	3
C03402	L-Asparaginyl-tRNA(Asn)	1	0
C03406	N-(L-Arginino)succinate	5	0
C05512	Deoxyinosine	3	1
C04181	3-Hydroxy-3-methyl-2-oxobutanoic_acid	7	1
C07645	Aldophosphamide	0	1
C07648	Thioguanine	0	1
C05519	L-Allothreonine	1	1
C01962	Thiocysteine	1	0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	3	1
C02320	R-S-Glutathione	0	1
C00084	Acetaldehyde	11	11
C02463	Precorrin_2	0	3
C05269	3-Oxohexanoyl-CoA	4	0
C18096	D-Allulose_6-phosphate	2	0
C00269	CDP-diacylglycerol	3	4
C09814	Benzonitrile	0	2
C00506	L-Cysteate	0	2
C11538	Cobalt-sirohydrochlorin	2	0
C00263	L-Homoserine	3	16
C00262	Hypoxanthine	6	1
C13629	1,2-Bis(4-hydroxyphenyl)-2-propanol	1	2
C16216	3-Oxostearoyl-CoA	0	2
C00267	alpha-D-Glucose	3	10
C00266	Glycolaldehyde	1	0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	1	1
C16074	Phenylacetonitrile	0	2
C00460	dUTP	0	2
C00286	dGTP	4	14
C00283	Hydrogen_sulfide	9	14
C00282	Hydrogen	1	0
C00320	Thiosulfate	1	2
C00327	L-Citrulline	5	4
C00088	Nitrite	1	1
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	4	4
C02218	Dehydroalanine	1	0
C05947	L-erythro-4-Hydroxyglutamate	2	2
C05946	D-4-Hydroxy-2-oxoglutarate	3	3
C01209	Malonyl-[acyl-carrier_protein]	2	24
C00217	D-Glutamate	3	2
C00214	Thymidine	1	1
C00212	Adenosine	0	6
C00606	3-Sulfino-L-alanine	2	3
C00036	Oxaloacetate	17	8
C00037	Glycine	14	16
C00035	GDP	4	5
C05844	5-L-Glutamyl-taurine	1	0
C00033	Acetate	11	6
C00031	D-Glucose	2	5
C00136	Butanoyl-CoA	6	10
C00135	L-Histidine	4	1
C00134	Putrescine	3	4
C00133	D-Alanine	2	5
C00131	dATP	9	9
C00130	IMP	2	8
C05635	5-Hydroxyindoleacetate	2	0
C05634	5-Hydroxyindoleacetaldehyde	0	2
C06112	L-Glutamyl-tRNA(Gln)	1	1
C00043	UDP-N-acetyl-alpha-D-glucosamine	4	8
C00041	L-Alanine	3	4
C00040	Acyl-CoA	0	7
C00047	L-Lysine	4	3
C00046	RNA	28	8
C00044	GTP	5	16
C00049	L-Aspartate	14	32
C00048	Glyoxylate	5	2
C02642	3-Ureidopropionate	4	0
C00149	(S)-Malate	2	15
C06481	L-Seryl-tRNA(Sec)	1	2
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	1	1
C06482	L-Selenocysteinyl-tRNA(Sec)	2	0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	4	0
C01101	L-Ribulose_5-phosphate	0	4
C01100	L-Histidinol_phosphate	2	6
C01103	Orotidine_5'-phosphate	1	3
C01102	O-Phospho-L-homoserine	1	3
C05125	2-(alpha-Hydroxyethyl)thiamine_diphosphate	15	7
C06416	Precorrin_5	2	0
C06002	(S)-Methylmalonate_semialdehyde	0	1
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	1	8
C06006	(S)-2-Aceto-2-hydroxybutanoate	5	4
C01233	sn-Glycero-3-phosphoethanolamine	0	1
C16565	Aminopropylcadaverine	1	0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	2	4
C16255	[Dihydrolipoyllysine-residue_acetyltransferase]_S-acetyldihydrolipoyllysine	9	0
C00954	Indole-3-acetate	3	0
C00957	Mercaptopyruvate	3	4
C05345	beta-D-Fructose_6-phosphate	29	19
C00818	D-Glucarate	2	0
C00819	D-Glutamine	1	1
C00424	(S)-Lactaldehyde	1	0
C00429	5,6-Dihydrouracil	0	4
C00817	D-Altronate	2	2
C03451	(R)-S-Lactoylglutathione	0	1
C01672	Cadaverine	0	1
C06399	Hydrogenobyrinate	2	0
C00387	Guanosine	0	3
C05841	Nicotinate_D-ribonucleoside	0	1
C15809	Iminoglycine	0	1
C00380	Cytosine	1	1
C03912	(S)-1-Pyrroline-5-carboxylate	4	4
C02512	3-Cyano-L-alanine	0	1
C11539	Cobalt-precorrin_3	0	2
C00253	Nicotinate	3	0
C00250	Pyridoxal	0	2
C00251	Chorismate	4	6
C00256	(R)-Lactate	0	1
C00254	Prephenate	5	9
C00255	Riboflavin	2	2
C05336	Selenomethionyl-tRNA(Met)	1	0
C00392	Mannitol	0	2
C00258	D-Glycerate	2	8
C05335	L-Selenomethionine	1	2
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	1	0
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	0	4
C01081	Thiamin_monophosphate	2	0
C01083	alpha,alpha-Trehalose	0	1
C00559	Deoxyadenosine	1	3
C00491	L-Cystine	0	1
C00492	Raffinose	0	1
C00493	Shikimate	3	5
C00555	4-Aminobutyraldehyde	0	3
C01089	(R)-3-Hydroxybutanoate	0	3
C00498	ADP-glucose	4	3
C00882	Dephospho-CoA	2	2
C00881	Deoxycytidine	0	1
C00078	L-Tryptophan	0	1
C00079	L-Phenylalanine	13	10
C00072	Ascorbate	0	6
C00073	L-Methionine	5	5
C00071	Aldehyde	4	0
C00077	L-Ornithine	9	7
C00074	Phosphoenolpyruvate	14	12
C00075	UTP	0	8
C16186	L-Ascorbate_6-phosphate	6	0
C03127	L-Isoleucyl-tRNA(Ile)	1	0
C00085	D-Fructose_6-phosphate	5	7
C02352	1,4-beta-D-Xylan	0	3
C00083	Malonyl-CoA	41	2
C00082	L-Tyrosine	6	23
C00080	H+	0	1
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	3	3
C05762	3-Oxohexadecanoyl-[acp]	4	2
C00089	Sucrose	0	3
C04646	6-Thioinosine-5'-monophosphate	1	1
C00670	sn-Glycero-3-phosphocholine	0	1
C00671	(S)-3-Methyl-2-oxopentanoic_acid	5	0
C00672	2-Deoxy-D-ribose_1-phosphate	1	1
C00673	2-Deoxy-D-ribose_5-phosphate	2	1
C01251	(R)-2-Hydroxybutane-1,2,4-tricarboxylate	5	0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	5	5
C06055	O-Phospho-4-hydroxy-L-threonine	0	1
C01929	L-Histidinal	3	3
C05936	N4-Acetylaminobutanal	0	2
C00106	Uracil	8	2
C00105	UMP	17	13
C00103	D-Glucose_1-phosphate	8	17
C00100	Propanoyl-CoA	2	1
C00101	Tetrahydrofolate	20	14
C15556	L-3,4-Dihydroxybutan-2-one_4-phosphate	2	2
C00109	2-Oxobutanoate	10	7
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	2	2
C00363	dTDP	2	0
C15980	(S)-2-Methylbutanoyl-CoA	1	3
C05764	Hexadecanoyl-[acp]	3	3
C06899	Chloral_hydrate	0	1
C05761	Tetradecanoyl-[acp]	3	3
C05760	trans-Tetradec-2-enoyl-[acp]	3	3
C05763	trans-Hexadec-2-enoyl-[acp]	3	3
C03175	Shikimate_3-phosphate	4	4
C16698	N-Acetylmuramic_acid_6-phosphate	2	0
C00361	dGDP	5	3
C00170	5'-Methylthioadenosine	3	2
C02670	D-Glucuronolactone	0	2
C02992	L-Threonyl-tRNA(Thr)	1	0
C00179	Agmatine	2	2
C00178	Thymine	1	1
C02995	Maltose_6'-phosphate	2	1
C00447	Sedoheptulose_1,7-bisphosphate	3	1
C03090	5-Phosphoribosylamine	2	5
C04260	O-D-Alanyl-poly(ribitol_phosphate)	2	0
C07086	Phenylacetic_acid	2	0
C01077	O-Acetyl-L-homoserine	0	2
C02972	Dihydrolipoylprotein	0	1
C11434	2-C-Methyl-D-erythritol_4-phosphate	2	4
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	3	3
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	3	3
C00857	Deamino-NAD+	2	2
C00853	Cob(I)alamin	0	1
C01179	3-(4-Hydroxyphenyl)pyruvate	25	7
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	3	3
C01170	UDP-N-acetyl-D-mannosamine	1	1
C04411	(2R,3S)-3-Isopropylmalate	6	10
C01172	beta-D-Glucose_6-phosphate	12	3
C00473	Retinol	0	2
C03892	Phosphatidylglycerophosphate	2	0
C00681	1-Acyl-sn-glycerol_3-phosphate	7	2
C00680	meso-2,6-Diaminoheptanedioate	5	6
C02411	Glutaconyl-1-CoA	1	0
C04257	N-Acetyl-D-mannosamine_6-phosphate	0	1
C00689	alpha,alpha'-Trehalose_6-phosphate	1	4
C05378	beta-D-Fructose_1,6-bisphosphate	12	12
C05270	Hexanoyl-CoA	1	2
C02554	L-Valyl-tRNA(Val)	1	0
C00512	S-Benzoate_coenzyme_A	3	0
C16220	3-Hydroxyoctadecanoyl-[acp]	3	3
C00921	Dihydropteroate	4	2
C04294	5-(2-Hydroxyethyl)-4-methylthiazole	0	2
C00458	dCTP	2	14
C04895	7,8-Dihydroneopterin_3'-triphosphate	2	0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	4	4
C04488	5-Methyl-5,6,7,8-tetrahydromethanopterin	6	0
C00455	Nicotinamide_D-ribonucleotide	0	1
C01697	Galactitol	0	6
C15972	Enzyme_N6-(lipoyl)lysine	4	6
C16618	6-Thioxanthine_5'-monophosphate	1	1
C00330	Deoxyguanosine	0	2
C00332	Acetoacetyl-CoA	14	9
C00334	4-Aminobutanoate	4	2
C00337	(S)-Dihydroorotate	1	3
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	3	3
C04122	D-1-Aminopropan-2-ol_O-phosphate	1	1
C00636	D-Mannose_1-phosphate	1	3
C00637	Indole-3-acetaldehyde	0	2
C00630	2-Methylpropanoyl-CoA	0	3
C00631	2-Phospho-D-glycerate	3	20
