Compound_code	Metabolite_name	Indegree	Outdegree
C00149	(S)-Malate	1	5
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	0	1
C02430	L-Methionyl-tRNA	1	0
C00828	Menaquinone	3	0
C00438	N-Carbamoyl-L-aspartate	4	1
C04501	N-Acetyl-alpha-D-glucosamine_1-phosphate	2	3
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	2	2
C01185	Nicotinate_D-ribonucleotide	0	3
C15812	[Enzyme]-S-sulfanylcysteine	1	0
C15811	[Enzyme]-cysteine	0	1
C16688	Sucrose_6-phosphate	1	1
C00798	Formyl-CoA	1	1
C01233	sn-Glycero-3-phosphoethanolamine	0	1
C00226	Primary_alcohol	0	2
C01236	D-Glucono-1,5-lactone_6-phosphate	5	0
C00221	beta-D-Glucose	3	0
C00385	Xanthine	3	4
C00387	Guanosine	2	1
C00229	Acyl-carrier_protein	0	2
C05841	Nicotinate_D-ribonucleoside	1	0
C01801	Deoxyribose	0	1
C00364	dTMP	0	1
C00365	dUMP	4	0
C00362	dGMP	2	1
C00360	dAMP	1	3
C00008	ADP	5	4
C05831	3-Methoxyanthranilate	1	0
C05830	8-Methoxykynurenate	1	0
C00005	NADPH	2	1
C00002	ATP	1	13
C05703	Methaneselenol	2	0
C00376	Retinal	2	0
C16619	6-Thioguanosine_monophosphate	2	0
C16618	6-Thioxanthine_5'-monophosphate	1	1
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	1	0
C16614	6-Methylmercaptopurine	0	1
C00313	Oxalyl-CoA	1	1
C00641	1,2-Diacyl-sn-glycerol	1	1
C01931	L-Lysyl-tRNA	1	0
C01528	Hydrogen_selenide	3	0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	1	0
C00092	D-Glucose_6-phosphate	2	0
C00093	sn-Glycerol_3-phosphate	2	6
C00095	D-Fructose	1	4
C00097	L-Cysteine	10	3
C14099	2-Naphthaldehyde	6	0
C06311	Galactitol_1-phosphate	2	0
C15547	1,4-Dihydroxy-2-naphthoyl-CoA	3	0
C14090	1-Naphthaldehyde	6	0
C00189	Ethanolamine	1	0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	3	0
C02282	Glutaminyl-tRNA	0	6
C06196	2'-Deoxyinosine_5'-phosphate	1	0
C06194	2',3'-Cyclic_GMP	0	1
C06193	Guanosine_3'-phosphate	1	0
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	0	1
C11949	3-Isopropylbut-3-enoyl-CoA	1	0
C17560	2-Polyprenyl-6-methoxy-1,4-benzoquinone	0	3
C17561	2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone	3	0
C06199	Hordenine	1	0
C07118	Benzoyl_acetyl-CoA	0	3
C14762	13(S)-HODE	0	1
C00979	O-Acetyl-L-serine	0	7
C14765	13-OxoODE	1	0
C02988	L-Histidyl-tRNA(His)	1	0
C00163	Propanoate	0	1
C02984	L-Aspartyl-tRNA(Asp)	1	0
C02987	L-Glutamyl-tRNA(Glu)	4	0
C00169	Carbamoyl_phosphate	4	1
C02047	L-Leucyl-tRNA	1	0
C03082	4-Phospho-L-aspartate	10	6
C04377	5,10-Methylenetetrahydromethanopterin	2	0
C04376	5'-Phosphoribosyl-N-formylglycinamide	0	3
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	7	8
C00864	Pantothenate	0	2
C01419	Cys-Gly	0	2
C03360	4-Nitrophenyl_phosphate	0	2
C01412	Butanal	0	3
C03402	L-Asparaginyl-tRNA(Asn)	1	3
C07645	Aldophosphamide	0	1
C07648	Thioguanine	0	1
C02353	2',3'-Cyclic_AMP	0	1
C00288	HCO3-	0	1
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	0	1
C05269	3-Oxohexanoyl-CoA	4	0
C00695	Cholic_acid	4	0
C00083	Malonyl-CoA	10	0
C02354	2',3'-Cyclic_CMP	0	1
C00269	CDP-diacylglycerol	0	2
C18259	1-Methoxypyrene	2	0
C00263	L-Homoserine	1	4
C00262	Hypoxanthine	3	0
C00267	alpha-D-Glucose	5	3
C00469	Ethanol	0	8
C00460	dUTP	0	4
C00286	dGTP	4	13
C00283	Hydrogen_sulfide	0	5
C00407	L-Isoleucine	0	1
C01962	Thiocysteine	1	0
C05688	L-Selenocysteine	0	2
C02218	Dehydroalanine	1	0
C00672	2-Deoxy-D-ribose_1-phosphate	0	1
C01367	3'-AMP	1	0
C01209	Malonyl-[acyl-carrier_protein]	0	3
C00217	D-Glutamate	3	1
C00214	Thymidine	1	0
C00212	Adenosine	2	2
C13309	2-Phytyl-1,4-naphthoquinone	0	4
C00036	Oxaloacetate	7	8
C00037	Glycine	6	11
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	5	4
C00033	Acetate	4	6
C04051	5-Amino-4-imidazolecarboxyamide	1	0
C00136	Butanoyl-CoA	1	4
C00135	L-Histidine	0	2
C00134	Putrescine	4	0
C00133	D-Alanine	2	4
C00131	dATP	8	8
C00039	DNA	42	6
C00043	UDP-N-acetyl-alpha-D-glucosamine	3	3
C00042	Succinate	8	13
C00041	L-Alanine	2	3
C00040	Acyl-CoA	0	3
C00047	L-Lysine	0	1
C00046	RNA	28	4
C00044	GTP	5	9
C00049	L-Aspartate	8	15
C01103	Orotidine_5'-phosphate	1	3
C02888	Sorbose_1-phosphate	1	0
C05125	2-(alpha-Hydroxyethyl)thiamine_diphosphate	15	7
C05122	Taurocholate	0	2
C06006	(S)-2-Aceto-2-hydroxybutanoate	5	0
C00227	Acetyl_phosphate	15	2
C16255	[Dihydrolipoyllysine-residue_acetyltransferase]_S-acetyldihydrolipoyllysine	9	0
C00957	Mercaptopyruvate	0	1
C05345	beta-D-Fructose_6-phosphate	18	8
C00819	D-Glutamine	1	1
C00810	(R)-Acetoin	2	0
C01368	3'-UMP	1	0
C05466	Glycochenodeoxycholate	0	1
C05465	Taurochenodeoxycholate	0	1
C16698	N-Acetylmuramic_acid_6-phosphate	1	0
C00035	GDP	1	3
C00253	Nicotinate	2	0
C00256	(R)-Lactate	0	1
C00257	D-Gluconic_acid	0	5
C18260	1,6-Dimethoxypyrene	2	0
C18261	1-Hydroxy-6-methoxypyrene	0	2
C05336	Selenomethionyl-tRNA(Met)	1	0
C05335	L-Selenomethionine	0	1
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	1	0
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	2	2
C00559	Deoxyadenosine	2	0
C00491	L-Cystine	0	1
C00492	Raffinose	0	1
C00886	L-Alanyl-tRNA	1	0
C01697	Galactitol	0	2
C00882	Dephospho-CoA	0	2
C00881	Deoxycytidine	1	0
C00079	L-Phenylalanine	0	2
C00073	L-Methionine	0	1
C00071	Aldehyde	2	0
C00077	L-Ornithine	0	4
C00074	Phosphoenolpyruvate	17	15
C00075	UTP	1	13
C00130	IMP	3	8
C00086	Urea	0	5
C00085	D-Fructose_6-phosphate	1	6
C00084	Acetaldehyde	8	6
C02355	2',3'-Cyclic_UMP	0	1
C00082	L-Tyrosine	0	1
C00081	ITP	0	1
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	3	0
C00089	Sucrose	2	7
C04646	6-Thioinosine-5'-monophosphate	1	1
C00670	sn-Glycero-3-phosphocholine	0	1
C01921	Glycocholate	0	2
C00673	2-Deoxy-D-ribose_5-phosphate	2	0
C00106	Uracil	1	1
C00105	UMP	5	4
C00103	D-Glucose_1-phosphate	3	13
C00100	Propanoyl-CoA	1	1
C00101	Tetrahydrofolate	3	6
C00109	2-Oxobutanoate	1	5
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	2	0
C06899	Chloral_hydrate	0	1
C00361	dGDP	2	2
C00006	NADP+	1	2
C02992	L-Threonyl-tRNA(Thr)	1	0
C04260	O-D-Alanyl-poly(ribitol_phosphate)	1	0
C11437	1-Deoxy-D-xylulose_5-phosphate	3	1
C02412	Glycyl-tRNA(Gly)	1	0
C11432	1-Phenanthrol	0	2
C11433	1-Methoxyphenanthrene	2	0
C04419	Carboxybiotin-carboxyl-carrier_protein	0	1
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	3	3
C01172	beta-D-Glucose_6-phosphate	8	8
C12214	Aminofructose_6-phosphate	0	2
C00681	1-Acyl-sn-glycerol_3-phosphate	3	0
C00680	meso-2,6-Diaminoheptanedioate	4	2
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	4	0
C05378	beta-D-Fructose_1,6-bisphosphate	1	0
C00831	Pantetheine	0	1
C02554	L-Valyl-tRNA(Val)	1	0
C00512	S-Benzoate_coenzyme_A	3	0
C00458	dCTP	2	12
C00459	dTTP	0	12
C00356	(S)-3-Hydroxy-3-methylglutaryl-CoA	4	2
C00455	Nicotinamide_D-ribonucleotide	0	1
C15973	Enzyme_N6-(dihydrolipoyl)lysine	0	3
C15972	Enzyme_N6-(lipoyl)lysine	0	6
C00330	Deoxyguanosine	1	1
C00332	Acetoacetyl-CoA	16	11
C00337	(S)-Dihydroorotate	1	3
C00299	Uridine	1	0
C00631	2-Phospho-D-glycerate	3	20
C00632	3-Hydroxyanthranilate	0	1
C04046	3-D-Glucosyl-1,2-diacylglycerol	1	1
C00208	Maltose	0	3
C00206	dADP	5	1
C07490	Trichloroethanol	1	0
C00025	L-Glutamate	11	20
C00024	Acetyl-CoA	20	41
C00148	L-Proline	0	1
C00026	2-Oxoglutarate	4	5
C00020	AMP	4	7
C00022	Pyruvate	20	33
C00143	5,10-Methylenetetrahydrofolate	6	6
C00029	UDP-glucose	1	6
C00147	Adenine	4	2
C00144	GMP	11	3
C05729	R-S-Cysteinylglycine	0	1
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	2	7
C02730	2-Succinylbenzoate	0	3
C02737	Phosphatidylserine	1	1
C05726	S-Substituted_L-cysteine	1	0
C00700	XTP	0	1
C00705	dCDP	2	0
C06250	Holo-[carboxylase]	1	0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	0	3
C01134	Pantetheine_4'-phosphate	1	0
C03511	L-Phenylalanyl-tRNA(Phe)	2	0
C05659	5-Methoxytryptamine	1	0
C03125	L-Cysteinyl-tRNA(Cys)	1	0
C03127	L-Isoleucyl-tRNA(Ile)	1	0
C04257	N-Acetyl-D-mannosamine_6-phosphate	0	1
C10700	4'-Hydroxyacetophenone	2	0
C05576	3,4-Dihydroxyphenylethyleneglycol	2	2
C05577	3,4-Dihydroxymandelaldehyde	2	2
C00242	Guanine	1	6
C00245	Taurine	2	0
C16587	3-Carbamoyl-2-phenylpropionaldehyde	1	0
C02442	N-Methyltyramine	0	1
C01096	Sorbitol_6-phosphate	0	1
C01094	D-Fructose_1-phosphate	2	1
C00068	Thiamin_diphosphate	7	12
C00342	Thioredoxin	3	5
C00343	Thioredoxin_disulfide	4	2
C00344	Phosphatidylglycerol	0	4
C00345	6-Phospho-D-gluconate	5	5
C05684	Selenite	0	1
C00063	CTP	4	10
C00062	L-Arginine	0	1
C00065	L-Serine	8	8
C00064	L-Glutamine	12	12
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3	1
C06215	Levan	0	1
C04079	N-((R)-Pantothenoyl)-L-cysteine	0	1
C02702	L-Prolyl-tRNA(Pro)	1	0
C05396	Lactose_6-phosphate	0	2
C00668	alpha-D-Glucose_6-phosphate	11	12
C00666	LL-2,6-Diaminoheptanedioate	1	4
C00663	beta-D-Glucose_1-phosphate	1	1
C02163	L-Arginyl-tRNA(Arg)	1	0
C00114	Choline	1	0
C00117	D-Ribose_5-phosphate	13	14
C00111	Glycerone_phosphate	9	2
C02380	6-Mercaptopurine	0	1
C00112	CDP	0	2
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	7	2
C00118	D-Glyceraldehyde_3-phosphate	5	28
C03492	D-4'-Phosphopantothenate	2	0
C01346	dUDP	1	0
C00232	Succinate_semialdehyde	2	8
C03160	2-Succinylbenzoyl-CoA	3	3
C14145	(3S)-3-Hydroxyadipyl-CoA	0	4
C00031	D-Glucose	4	3
C05813	2-Octaprenyl-6-methoxy-1,4-benzoquinone	0	2
C00236	3-Phospho-D-glyceroyl_phosphate	12	2
C00188	L-Threonine	0	1
C05814	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone	2	0
C00186	(S)-Lactate	1	4
C05818	2-Demethylmenaquinone	0	3
C00183	L-Valine	0	1
C03794	N6-(1,2-Dicarboxyethyl)-AMP	3	3
C00010	CoA	3	0
C04216	all-trans-Heptaprenyl_diphosphate	2	0
C02839	L-Tyrosyl-tRNA(Tyr)	1	0
C06548	Ethylene_oxide	0	2
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	1	0
C05338	4-Hydroxyphenylacetyl-CoA	0	1
C16348	cis-3-Chloroallyl_aldehyde	4	2
C00842	dTDP-glucose	4	5
C16586	2-Phenyl-1,3-propanediol_monocarbamate	0	1
C00015	UDP	1	2
C06142	1-Butanol	2	0
C02291	L-Cystathionine	0	4
C16551	Alcophosphamide	1	0
C06715	3-Oxopimeloyl-CoA	0	2
C05539	N-Acetyl-L-2-amino-6-oxopimelate	2	2
C14519	1-Hydroxypyrene	0	2
C00446	alpha-D-Galactose_1-phosphate	3	5
C00445	5,10-Methenyltetrahydrofolate	7	5
C01762	Xanthosine	3	1
C00441	L-Aspartate_4-semialdehyde	6	7
C00527	Glutaryl-CoA	2	0
C00448	trans,trans-Farnesyl_diphosphate	0	4
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	2	0
C05796	Galactan	0	1
C05402	Melibiose	1	0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	1	0
C03939	Acetyl-[acyl-carrier_protein]	2	4
C00620	alpha-D-Ribose_1-phosphate	0	4
C00780	Serotonin	0	1
C00239	dCMP	0	1
C00231	D-Xylulose_5-phosphate	20	3
C01345	dITP	0	1
C00234	10-Formyltetrahydrofolate	7	4
C00235	Dimethylallyl_diphosphate	3	0
C01613	Stachyose	0	1
C00159	D-Mannose	0	12
C05984	2-Hydroxybutanoic_acid	0	1
C05689	Se-Methyl-L-selenocysteine	0	1
C00014	Ammonia	12	5
C05980	Cardiolipin	4	0
C05822	3'-CMP	1	0
C05823	3-Mercaptolactate	1	0
C00153	Nicotinamide	1	0
C00152	L-Asparagine	4	9
C00155	L-Homocysteine	6	0
C02876	Propanoyl_phosphate	2	1
C02336	beta-D-Fructose	5	2
C00655	Xanthosine_5'-phosphate	8	9
C02232	3-Oxoadipyl-CoA	4	0
C14089	1-Hydroxymethylnaphthalene	0	6
C02909	(2-Naphthyl)methanol	0	6
C06188	Salicin_6-phosphate	0	1
C02059	Phylloquinone	4	0
C18902	Methylselenic_acid	0	1
C06611	trans-3-Chloro-2-propene-1-ol	2	4
C06612	cis-3-Chloro-2-propene-1-ol	2	4
C06613	trans-3-Chloroallyl_aldehyde	4	2
C00870	4-Nitrophenol	2	0
C16273	3-Hydroxy-5-oxohexanoyl-CoA	0	2
C03373	Aminoimidazole_ribotide	0	3
C01152	N(pi)-Methyl-L-histidine	1	0
C03479	Folinic_acid	0	2
C01144	(S)-3-Hydroxybutanoyl-CoA	3	3
C06113	L-Aspartyl-tRNA(Asn)	3	0
C06112	L-Glutamyl-tRNA(Gln)	7	1
C03972	2,3,4,5-Tetrahydrodipicolinate	8	2
C03974	2-Acyl-sn-glycerol_3-phosphate	1	0
C00279	D-Erythrose_4-phosphate	10	0
C02470	Xanthurenic_acid	0	1
C00275	D-Mannose_6-phosphate	12	4
C13638	1-(4'-Hydroxyphenyl)ethanol	0	2
C00900	2-Acetolactate	2	1
C00475	Cytidine	1	0
C12215	Iminoerythrose_4-phosphate	2	0
C00473	Retinol	0	2
C00294	Inosine	2	1
C00295	Orotate	2	2
C05699	L-Selenocystathionine	0	1
C05698	Selenohomocysteine	1	0
C00352	D-Glucosamine_6-phosphate	5	3
C00350	Phosphatidylethanolamine	1	1
C02528	Chenodeoxycholate	2	0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	0	2
C05596	p-Hydroxyphenylacetylglycine	1	0
C00357	N-Acetyl-D-glucosamine_6-phosphate	2	2
C00993	D-Alanyl-D-alanine	3	2
C05382	Sedoheptulose_7-phosphate	1	7
C00121	D-Ribose	0	1
C00122	Fumarate	17	1
C00123	L-Leucine	0	1
C00124	D-Galactose	2	3
C00127	Glutathione_disulfide	0	1
C00129	Isopentenyl_diphosphate	0	3
C05744	Acetoacetyl-[acp]	3	0
C03150	Nicotinamide-beta-riboside	1	1
C00055	CMP	0	1
C00199	D-Ribulose_5-phosphate	14	6
C00051	Glutathione	1	0
C00052	UDP-alpha-D-galactose	7	1
C00197	3-Phospho-D-glycerate	15	8
C00058	Formate	1	3
C01113	D-Galactose_6-phosphate	2	0
C00011	CO2	6	3
C01118	O-Succinyl-L-homoserine	4	1
C01050	UDP-N-acetylmuramate	7	2
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	2	0
C01212	UDP-N-acetylmuramoyl-L-alanine	2	1
C06156	alpha-D-Glucosamine_1-phosphate	2	2
C03539	S-Ribosyl-L-homocysteine	0	2
C06010	(S)-2-Acetolactate	4	3
