mouse_id	infection	treatment	cfu_vegetative	cfu_spore	toxin_titer
conv_C1M1	630	conventional	0	0	1.99999
conv_C1M2	630	conventional	0	0	1.99999
conv_C1M3	630	conventional	0	0	1.99999
conv_C2M1	630	conventional	0	0	1.99999
conv_C2M2	630	conventional	0	0	1.99999
conv_C2M3	630	conventional	0	0	1.99999
conv_C3M1	630	conventional	0	0	1.99999
conv_C3M2	630	conventional	0	0	1.99999
conv_C3M3	630	conventional	0	0	1.99999
conv_C4M1	mock	conventional	0	0	NA
conv_C4M2	mock	conventional	0	0	NA
conv_C4M3	mock	conventional	0	0	NA
conv_C5M1	mock	conventional	0	0	NA
conv_C5M2	mock	conventional	0	0	NA
conv_C5M3	mock	conventional	0	0	NA
conv_C6M1	mock	conventional	0	0	NA
conv_C6M2	mock	conventional	0	0	NA
conv_C6M3	mock	conventional	0	0	NA
cef_C1M1	630	cefoperazone	60000000	0	1.99999
cef_C1M2	630	cefoperazone	50000000	60000	3
cef_C1M3	630	cefoperazone	80000000	930000	1.99999
cef_C2M1	630	cefoperazone	50000000	0	2.301029996
cef_C2M2	630	cefoperazone	50000000	0	2.301029996
cef_C2M3	630	cefoperazone	100000000	720000	2.301029996
cef_C3M1	630	cefoperazone	10000000	0	1.99999
cef_C3M2	630	cefoperazone	50000000	1000	2.301029996
cef_C3M3	630	cefoperazone	20000000	650000	2.301029996
cef_C4M1	mock	cefoperazone	0	0	NA
cef_C4M2	mock	cefoperazone	0	0	NA
cef_C4M3	mock	cefoperazone	0	0	NA
cef_C5M1	mock	cefoperazone	0	0	NA
cef_C5M2	mock	cefoperazone	0	0	NA
cef_C5M3	mock	cefoperazone	0	0	NA
cef_C6M1	mock	cefoperazone	0	0	NA
cef_C6M2	mock	cefoperazone	0	0	NA
cef_C6M3	mock	cefoperazone	0	0	NA
clinda_C1M1	630	clindamycin	44000000	610000	2.301029996
clinda_C1M2	630	clindamycin	84000000	10000	2.301029996
clinda_C1M3	630	clindamycin	34000000	17000	2.301029996
clinda_C2M1	630	clindamycin	77000000	310000	2.301029996
clinda_C2M2	630	clindamycin	42000000	24000	2
clinda_C2M3	630	clindamycin	47000000	10000	1.99999
clinda_C3M1	630	clindamycin	12000000	127000	1.99999
clinda_C3M2	630	clindamycin	30000000	142000	2.301029996
clinda_C3M3	630	clindamycin	38000000	151000	2.301029996
clinda_C4M1	mock	clindamycin	0	0	NA
clinda_C4M2	mock	clindamycin	0	0	NA
clinda_C4M3	mock	clindamycin	0	0	NA
clinda_C5M1	mock	clindamycin	0	0	NA
clinda_C5M2	mock	clindamycin	0	0	NA
clinda_C5M3	mock	clindamycin	0	0	NA
clinda_C6M1	mock	clindamycin	0	0	NA
clinda_C6M2	mock	clindamycin	0	0	NA
clinda_C6M3	mock	clindamycin	0	0	NA
strep_C1M1	630	streptomycin	120000000	670000	1.99999
strep_C1M2	630	streptomycin	10000000	600000	1.99999
strep_C1M3	630	streptomycin	70000000	220000	1.99999
strep_C2M1	630	streptomycin	300000000	64000	3
strep_C2M2	630	streptomycin	270000000	36000	1.99999
strep_C2M3	630	streptomycin	180000000	50000	2.301029996
strep_C3M1	630	streptomycin	10000000	0	1.99999
strep_C3M2	630	streptomycin	20000000	60000	1.99999
strep_C3M3	630	streptomycin	30000000	7000	1.99999
strep_C4M1	mock	streptomycin	0	0	NA
strep_C4M2	mock	streptomycin	0	0	NA
strep_C4M3	mock	streptomycin	0	0	NA
strep_C5M1	mock	streptomycin	0	0	NA
strep_C5M2	mock	streptomycin	0	0	NA
strep_C5M3	mock	streptomycin	0	0	NA
strep_C6M1	mock	streptomycin	0	0	NA
strep_C6M2	mock	streptomycin	0	0	NA
strep_C6M3	mock	streptomycin	0	0	NA
gf_C1M1	630	germfree	50000000	980000	3
gf_C1M2	630	germfree	80000000	570000	3
gf_C1M3	630	germfree	70000000	1160000	3
gf_C2M1	630	germfree	80000000	1250000	3
gf_C2M2	630	germfree	190000000	660000	3
gf_C2M3	630	germfree	180000000	2110000	3
gf_C3M1	630	germfree	120000000	2030000	3
gf_C3M2	630	germfree	100000000	1460000	3
gf_C3M3	630	germfree	80000000	2880000	3
