ko	pathways
K00124	Glyoxylate_and_dicarboxylate_metabolism:Carbohydrate_metabolism|Methane_metabolism:Energy_metabolism:Energy_metabolism|Metabolic_pathways|Microbial_metabolism_in_diverse_environments|Carbon_metabolism
K00127	Glyoxylate_and_dicarboxylate_metabolism:Carbohydrate_metabolism|Methane_metabolism:Energy_metabolism:Energy_metabolism|Metabolic_pathways|Microbial_metabolism_in_diverse_environments|Carbon_metabolism
K00181	Wnt_signaling_pathway:Signal_transduction
K00182	Wnt_signaling_pathway:Signal_transduction|Hedgehog_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction
K00195	Methane_metabolism:Energy_metabolism:Energy_metabolism|Microbial_metabolism_in_diverse_environments|Carbon_metabolism
K00196	Nitrotoluene_degradation:Xenobiotics_biodegradation_and_metabolism|Methane_metabolism:Energy_metabolism:Energy_metabolism|Carbon_fixation_pathways_in_prokaryotes:Energy_metabolism|Microbial_metabolism_in_diverse_environments|Carbon_metabolism
K00204	Methane_metabolism:Energy_metabolism:Energy_metabolism|Metabolic_pathways|Microbial_metabolism_in_diverse_environments|Carbon_metabolism
K00205	Methane_metabolism:Energy_metabolism:Energy_metabolism|Metabolic_pathways|Microbial_metabolism_in_diverse_environments|Carbon_metabolism
K00236	Citrate_cycle_(TCA_cycle):Carbohydrate_metabolism|Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways|Biosynthesis_of_secondary_metabolites|Carbon_metabolism
K00237	Citrate_cycle_(TCA_cycle):Carbohydrate_metabolism|Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways|Biosynthesis_of_secondary_metabolites|Carbon_metabolism
K00241	Citrate_cycle_(TCA_cycle):Carbohydrate_metabolism|Oxidative_phosphorylation:Energy_metabolism|Toluene_degradation:Xenobiotics_biodegradation_and_metabolism|Butanoate_metabolism:Carbohydrate_metabolism|Carbon_fixation_pathways_in_prokaryotes:Energy_metabolism|Metabolic_pathways|Biosynthesis_of_secondary_metabolites|Microbial_metabolism_in_diverse_environments|Carbon_metabolism
K00242	Citrate_cycle_(TCA_cycle):Carbohydrate_metabolism|Oxidative_phosphorylation:Energy_metabolism|Toluene_degradation:Xenobiotics_biodegradation_and_metabolism|Butanoate_metabolism:Carbohydrate_metabolism|Carbon_fixation_pathways_in_prokaryotes:Energy_metabolism|Metabolic_pathways|Biosynthesis_of_secondary_metabolites|Microbial_metabolism_in_diverse_environments|Carbon_metabolism
K00246	Citrate_cycle_(TCA_cycle):Carbohydrate_metabolism|Oxidative_phosphorylation:Energy_metabolism|Toluene_degradation:Xenobiotics_biodegradation_and_metabolism|Butanoate_metabolism:Carbohydrate_metabolism|Carbon_fixation_pathways_in_prokaryotes:Energy_metabolism|Metabolic_pathways|Biosynthesis_of_secondary_metabolites|Microbial_metabolism_in_diverse_environments|Carbon_metabolism|Two-component_system:Signal_transduction
K00247	Citrate_cycle_(TCA_cycle):Carbohydrate_metabolism|Oxidative_phosphorylation:Energy_metabolism|Toluene_degradation:Xenobiotics_biodegradation_and_metabolism|Butanoate_metabolism:Carbohydrate_metabolism|Carbon_fixation_pathways_in_prokaryotes:Energy_metabolism|Metabolic_pathways|Biosynthesis_of_secondary_metabolites|Microbial_metabolism_in_diverse_environments|Carbon_metabolism|Two-component_system:Signal_transduction
K00312	Wnt_signaling_pathway:Signal_transduction|Hedgehog_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction
K00373	Nitrogen_metabolism:Energy_metabolism|Microbial_metabolism_in_diverse_environments|Two-component_system:Signal_transduction
K00385	Sulfur_metabolism:Energy_metabolism|Microbial_metabolism_in_diverse_environments
K00400	Methane_metabolism:Energy_metabolism:Energy_metabolism|Metabolic_pathways|Microbial_metabolism_in_diverse_environments
K00405	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways|Two-component_system:Signal_transduction
K00406	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways|Two-component_system:Signal_transduction
K00407	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways|Two-component_system:Signal_transduction
K00408	Wnt_signaling_pathway:Signal_transduction|Hedgehog_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction
K00410	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways|Two-component_system:Signal_transduction
K00412	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways|Two-component_system:Signal_transduction
K00413	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways|Two-component_system:Signal_transduction
K00414	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways
K00415	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways
K00416	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways
K00417	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways
K00418	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways
K00419	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways
K00420	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways
K00442	Methane_metabolism:Energy_metabolism:Energy_metabolism|Metabolic_pathways|Microbial_metabolism_in_diverse_environments
K00444	Wnt_signaling_pathway:Signal_transduction|Hedgehog_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction
K00445	Wnt_signaling_pathway:Signal_transduction|Hedgehog_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction
K00572	Wnt_signaling_pathway:Signal_transduction|Hedgehog_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction
K00610	Pyrimidine_metabolism:Nucleotide_metabolism|Alanine,_aspartate_and_glutamate_metabolism:Amino_acid_metabolism|Metabolic_pathways
K00714	Wnt_signaling_pathway:Signal_transduction|Hedgehog_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction
K00730	N-Glycan_biosynthesis:Glycan_biosynthesis_and_metabolism|Various_types_of_N-glycan_biosynthesis:Glycan_biosynthesis_and_metabolism|Metabolic_pathways|Protein_processing_in_endoplasmic_reticulum:Folding,_sorting_and_degradation
K01064	Wnt_signaling_pathway:Signal_transduction|Hedgehog_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction
K01173	Apoptosis:Cell_growth_and_death
K01357	Wnt_signaling_pathway:Signal_transduction|Hedgehog_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction
K01384	Wnt_signaling_pathway:Signal_transduction|Hedgehog_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction
K01538	Salivary_secretion:Digestive_system|Pancreatic_secretion:Digestive_system|Carbohydrate_digestion_and_absorption:Digestive_system|Protein_digestion_and_absorption:Digestive_system|Bile_secretion:Digestive_system|Mineral_absorption:Digestive_system
K01540	Salivary_secretion:Digestive_system|Gastric_acid_secretion:Digestive_system|Pancreatic_secretion:Digestive_system|Carbohydrate_digestion_and_absorption:Digestive_system|Protein_digestion_and_absorption:Digestive_system|Bile_secretion:Digestive_system|Mineral_absorption:Digestive_system
K01545	Two-component_system:Signal_transduction
K01558	Wnt_signaling_pathway:Signal_transduction|Hedgehog_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction
K01645	Wnt_signaling_pathway:Signal_transduction
K01691	Wnt_signaling_pathway:Signal_transduction
K01977	Ribosome:Translation
K01979	Ribosome_biogenesis_in_eukaryotes:Translation|Ribosome:Translation
K01980	Ribosome:Translation
K01981	Ribosome_biogenesis_in_eukaryotes:Translation|Ribosome:Translation
K01982	Ribosome_biogenesis_in_eukaryotes:Translation|Ribosome:Translation
K01983	Protein_export:Folding,_sorting_and_degradation
K01985	Ribosome:Translation
K01986	Ribosome_biogenesis_in_eukaryotes:Translation|Ribosome:Translation
K01995	ABC_transporters:Membrane_transport
K01996	ABC_transporters:Membrane_transport
K01997	ABC_transporters:Membrane_transport
K01998	ABC_transporters:Membrane_transport
K01999	ABC_transporters:Membrane_transport
K02001	ABC_transporters:Membrane_transport
K02002	ABC_transporters:Membrane_transport
K02006	ABC_transporters:Membrane_transport
K02007	ABC_transporters:Membrane_transport
K02008	ABC_transporters:Membrane_transport
K02009	ABC_transporters:Membrane_transport
K02011	ABC_transporters:Membrane_transport
K02012	ABC_transporters:Membrane_transport
K02015	ABC_transporters:Membrane_transport
K02016	ABC_transporters:Membrane_transport
K02018	ABC_transporters:Membrane_transport
K02020	ABC_transporters:Membrane_transport
K02037	ABC_transporters:Membrane_transport
K02038	ABC_transporters:Membrane_transport
K02040	ABC_transporters:Membrane_transport|Two-component_system:Signal_transduction
K02042	ABC_transporters:Membrane_transport
K02044	ABC_transporters:Membrane_transport
K02046	Sulfur_metabolism:Energy_metabolism|ABC_transporters:Membrane_transport
K02047	Sulfur_metabolism:Energy_metabolism|ABC_transporters:Membrane_transport
K02048	Sulfur_metabolism:Energy_metabolism|ABC_transporters:Membrane_transport
K02062	ABC_transporters:Membrane_transport
K02063	ABC_transporters:Membrane_transport
K02064	ABC_transporters:Membrane_transport
K02071	ABC_transporters:Membrane_transport
K02072	ABC_transporters:Membrane_transport
K02073	ABC_transporters:Membrane_transport
K02084	p53_signaling_pathway:Cell_growth_and_death|Apoptosis:Cell_growth_and_death
K02085	Wnt_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction|Regulation_of_actin_cytoskeleton:Cell_motility
K02092	Photosynthesis_-_antenna_proteins:Energy_metabolism|Metabolic_pathways
K02093	Photosynthesis_-_antenna_proteins:Energy_metabolism|Metabolic_pathways
K02094	Photosynthesis_-_antenna_proteins:Energy_metabolism|Metabolic_pathways
K02095	Photosynthesis_-_antenna_proteins:Energy_metabolism|Metabolic_pathways
K02096	Photosynthesis_-_antenna_proteins:Energy_metabolism|Metabolic_pathways
K02097	Photosynthesis_-_antenna_proteins:Energy_metabolism|Metabolic_pathways
K02105	Rap1_signaling_pathway:Signal_transduction|Wnt_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction|Focal_adhesion:Cell_communication|Adherens_junction:Cell_communication|Tight_junction:Cell_communication
K02106	Two-component_system:Signal_transduction
K02157	Wnt_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction
K02158	ErbB_signaling_pathway:Signal_transduction|Ras_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Apoptosis:Cell_growth_and_death|VEGF_signaling_pathway:Signal_transduction|Focal_adhesion:Cell_communication
K02159	p53_signaling_pathway:Cell_growth_and_death|Protein_processing_in_endoplasmic_reticulum:Folding,_sorting_and_degradation|Apoptosis:Cell_growth_and_death
