compound_code	compound_name	eubacterium_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C05335	L-Selenomethionine	3.0	3.459	0.867	18.997	4.042	70.0
C00149	(S)-Malate	2.273	2.322	0.979	9.834	3.267	60.0
C02430	L-Methionyl-tRNA	-4.322	3.585	0.6	32.001	-4.263	90.0
C14818	Fe2+	4.322	2.322	0.537	25.001	3.748	70.0
C00438	N-Carbamoyl-L-aspartate	-2.585	-1.585	0.0	0.0	0.0	50.0
C06126	Digalactosylceramide	6.022	6.954	0.866	188.967	7.354	90.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-3.17	-5.209	0.0	0.0	0.0	50.0
C01185	Nicotinate_D-ribonucleotide	-1.0	3.524	0.174	13.503	-1.231	70.0
C00221	beta-D-Glucose	3.916	-7.943	0.061	261.178	-4.002	90.0
C15812	[Enzyme]-S-sulfanylcysteine	-3.907	-5.0	0.0	0.0	0.0	50.0
C15811	[Enzyme]-cysteine	4.954	5.285	0.937	69.985	6.036	90.0
C05796	Galactan	4.858	8.449	0.575	378.464	7.766	90.0
C00794	D-Sorbitol	-6.022	-4.524	0.0	0.0	0.0	50.0
C00227	Acetyl_phosphate	2.218	-6.014	0.072	69.277	-2.318	80.0
C00226	Primary_alcohol	6.687	7.639	0.875	302.364	8.048	90.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	6.022	6.954	0.866	188.967	7.354	90.0
C00385	Xanthine	-2.555	-4.313	0.0	0.0	0.0	50.0
C05223	Dodecanoyl-[acyl-carrier_protein]	1.0	-2.322	0.4	7.0	-1.485	70.0
C02504	alpha-Isopropylmalate	-2.939	0.503	0.185	9.086	-0.748	70.0
C00229	Acyl-carrier_protein	4.807	-4.392	0.75	48.988	-5.199	90.0
C05841	Nicotinate_D-ribonucleoside	4.087	5.585	0.732	64.996	5.572	80.0
C00288	HCO3-	-5.443	4.196	0.421	61.83	-4.703	90.0
C02291	L-Cystathionine	7.807	3.755	0.481	237.446	6.835	90.0
C00365	dUMP	1.0	-4.692	0.077	27.848	-1.108	70.0
C00362	dGMP	-0.222	-3.459	0.0	0.0	0.0	50.0
