compound_code	compound_name	clostridium_mock_score	turicibacter_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	0.243	-1.263	0.493	3.583	-0.821	70.0
C00024	Acetyl-CoA	-3.848	2.299	0.342	19.321	-2.723	90.0
C00026	2-Oxoglutarate	-4.626	-2.585	0.0	0.0	0.0	50.0
C06481	L-Seryl-tRNA(Sec)	-3.7	-3.907	0.0	0.0	0.0	50.0
C00020	AMP	0.415	0.678	0.612	2.933	0.844	70.0
C00352	D-Glucosamine_6-phosphate	0.585	1.848	0.317	5.1	0.691	70.0
C00022	Pyruvate	-3.526	5.066	0.344	45.017	-3.952	90.0
C00143	5,10-Methylenetetrahydrofolate	1.461	0.425	0.291	4.096	0.253	60.0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	-1.585	-1.0	0.0	0.0	0.0	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-2.0	-0.854	0.0	0.0	0.0	50.0
C00029	UDP-glucose	1.766	-2.962	0.436	11.193	-2.289	90.0
C00147	Adenine	-0.101	-0.322	0.0	0.0	0.0	50.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-0.585	-3.7	0.0	0.0	0.0	50.0
C00149	(S)-Malate	1.339	1.0	0.747	4.53	1.758	80.0
C05400	Epimelibiose	0.585	3.7	0.158	14.496	1.197	70.0
C05401	3-beta-D-Galactosyl-sn-glycerol	0.585	3.7	0.158	14.496	1.197	70.0
C05402	Melibiose	0.222	-3.0	0.146	9.166	-0.418	60.0
C02430	L-Methionyl-tRNA	-2.322	-1.0	0.0	0.0	0.0	50.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-1.837	-4.181	0.0	0.0	0.0	50.0
C03232	3-Phosphonooxypyruvate	1.766	1.766	1.0	6.802	2.766	90.0
C00100	Propanoyl-CoA	-1.7	-0.415	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	3.933	0.515	0.131	16.703	1.129	70.0
C06126	Digalactosylceramide	0.585	3.7	0.158	14.496	1.197	70.0
C06250	Holo-[carboxylase]	-0.322	-1.585	0.0	0.0	0.0	50.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-1.0	-4.954	0.0	0.0	0.0	50.0
C01185	Nicotinate_D-ribonucleotide	1.0	2.7	0.37	8.498	1.654	80.0
C01613	Stachyose	0.415	4.322	0.096	21.334	1.035	70.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	3.459	-2.585	0.546	16.997	-3.213	90.0
C00159	D-Mannose	-0.585	2.97	0.191	9.335	-0.838	70.0
C00011	CO2	6.808	2.322	0.341	117.05	5.319	90.0
C00014	Ammonia	1.053	3.191	0.33	11.207	1.887	80.0
C00015	UDP	-1.874	-4.575	0.0	0.0	0.0	50.0
C00065	L-Serine	-0.787	0.981	0.874	3.699	-1.693	80.0
C00153	Nicotinamide	-0.585	-1.0	0.0	0.0	0.0	50.0
C00152	L-Asparagine	0.778	-3.434	0.159	12.523	-0.99	70.0
