compound_code	compound_name	alistipes_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	5.618	3.851	0.685	63.542	5.445	70.0
C09332	Tetrahydrofolyl-[Glu](2)	-6.426	-3.17	0.0	0.0	0.0	50.0
C00148	L-Proline	7.18	2.536	0.353	150.809	5.735	80.0
C00026	2-Oxoglutarate	-6.017	3.981	0.244	80.549	-4.296	90.0
C06481	L-Seryl-tRNA(Sec)	-6.768	-6.615	0.0	0.0	0.0	50.0
C00020	AMP	1.585	3.771	0.42	16.652	2.807	70.0
C00352	D-Glucosamine_6-phosphate	-5.728	6.155	0.744	124.262	-6.53	90.0
C00022	Pyruvate	6.239	-5.362	0.544	116.658	-5.989	90.0
C00143	5,10-Methylenetetrahydrofolate	-5.215	-1.356	0.0	0.0	0.0	50.0
C02972	Dihydrolipoylprotein	-6.15	7.6	0.366	265.024	-6.6	90.0
C00029	UDP-glucose	4.17	-6.268	0.234	95.066	-4.473	90.0
C00147	Adenine	-2.755	2.121	0.644	11.1	-2.839	80.0
C00144	GMP	-6.229	3.241	0.126	84.464	-3.412	80.0
C02876	Propanoyl_phosphate	-7.238	-1.807	0.0	0.0	0.0	50.0
C01101	L-Ribulose_5-phosphate	5.661	2.865	0.506	57.883	4.873	70.0
C01103	Orotidine_5'-phosphate	-3.7	1.222	0.179	15.329	-1.46	70.0
C05223	Dodecanoyl-[acyl-carrier_protein]	6.752	-2.322	0.046	112.784	-2.387	70.0
C03838	5'-Phosphoribosylglycinamide	-6.741	-2.807	0.0	0.0	0.0	50.0
C02430	L-Methionyl-tRNA	-5.044	3.585	0.364	44.991	-4.033	80.0
C03939	Acetyl-[acyl-carrier_protein]	3.051	-2.515	0.69	14.004	-3.272	80.0
C05729	R-S-Cysteinylglycine	8.618	2.322	0.269	397.895	6.744	90.0
C14818	Fe2+	7.15	2.322	0.325	147.025	5.577	70.0
C03232	3-Phosphonooxypyruvate	3.766	2.678	0.711	20.004	3.83	70.0
C00627	Pyridoxine_phosphate	-6.629	-8.055	0.0	0.0	0.0	50.0
C05684	Selenite	6.943	6.966	0.997	248.06	7.95	90.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	-3.459	1.874	0.333	14.662	-2.289	70.0
C00438	N-Carbamoyl-L-aspartate	3.858	-1.585	0.207	17.5	-1.856	70.0
C00101	Tetrahydrofolate	4.512	1.485	0.329	25.616	3.076	70.0
C05122	Taurocholate	6.17	6.907	0.893	192.013	7.422	90.0
C05726	S-Substituted_L-cysteine	-8.618	-2.322	0.0	0.0	0.0	50.0
C00700	XTP	7.484	6.209	0.83	253.0	7.714	90.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-7.484	-3.322	0.0	0.0	0.0	50.0
C00705	dCDP	-2.939	3.369	0.742	18.0	-3.74	80.0
C06250	Holo-[carboxylase]	-6.267	-3.868	0.0	0.0	0.0	50.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-4.907	-5.209	0.0	0.0	0.0	50.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	6.644	-3.17	0.09	109.01	-3.294	80.0
C11736	5-Fluorodeoxyuridine	6.615	3.17	0.479	107.02	5.68	80.0
C01185	Nicotinate_D-ribonucleotide	-6.19	3.524	0.158	84.512	-3.735	80.0
C05688	L-Selenocysteine	6.741	4.17	0.619	124.966	6.272	80.0
C00491	L-Cystine	6.129	3.755	0.613	83.487	5.677	70.0
C00010	CoA	-6.755	4.841	0.265	136.669	-5.181	90.0
C00011	CO2	7.581	3.392	0.447	201.971	6.498	80.0
C00141	3-Methyl-2-oxobutanoic_acid	-4.392	2.3	0.235	25.92	-2.604	80.0
C00014	Ammonia	-4.031	-2.52	0.0	0.0	0.0	50.0
C05980	Cardiolipin	-6.426	-2.807	0.0	0.0	0.0	50.0
C00065	L-Serine	5.185	-2.677	0.176	42.773	-2.911	80.0
C05796	Galactan	6.248	8.449	0.739	425.468	8.298	90.0
C00152	L-Asparagine	6.7	-1.188	0.022	106.247	-1.219	70.0
C00155	L-Homocysteine	-1.379	-3.532	0.0	0.0	0.0	50.0
C02992	L-Threonyl-tRNA(Thr)	-7.721	-3.907	0.0	0.0	0.0	50.0
C00015	UDP	-3.907	-0.585	0.0	0.0	0.0	50.0
C19846	Pimelyl-[acyl-carrier_protein]_methyl_ester	-6.629	-3.7	0.0	0.0	0.0	50.0
C05746	3-Oxohexanoyl-[acp]	6.34	4.585	0.723	105.009	6.247	80.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	6.19	-3.807	0.192	87.005	-4.06	80.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.907	-2.0	0.133	34.002	-2.181	70.0
C00886	L-Alanyl-tRNA	-6.7	-3.907	0.0	0.0	0.0	50.0
C01134	Pantetheine_4'-phosphate	5.415	5.15	0.951	78.172	6.216	80.0
C05754	trans-Dec-2-enoyl-[acp]	-5.7	-3.459	0.0	0.0	0.0	50.0
C00197	3-Phospho-D-glycerate	6.427	-7.88	0.365	321.612	-6.876	90.0
C05345	beta-D-Fructose_6-phosphate	5.811	6.908	0.841	176.234	7.212	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-6.615	-4.728	0.0	0.0	0.0	50.0
C04146	all-trans-Octaprenyl_diphosphate	3.907	4.392	0.89	35.997	5.001	70.0
C02051	Lipoylprotein	-4.585	-7.6	0.0	0.0	0.0	50.0
C00424	(S)-Lactaldehyde	-7.728	-1.0	0.0	0.0	0.0	50.0
C00221	beta-D-Glucose	3.215	-7.943	0.038	255.368	-3.268	80.0
C00385	Xanthine	-4.19	-4.313	0.0	0.0	0.0	50.0
C00387	Guanosine	7.304	5.3	0.726	197.421	7.162	90.0
C00229	Acyl-carrier_protein	7.257	-4.392	0.137	173.954	-4.578	90.0
C00882	Dephospho-CoA	-2.807	-5.044	0.0	0.0	0.0	50.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-6.426	-3.807	0.0	0.0	0.0	50.0
C05841	Nicotinate_D-ribonucleoside	7.304	5.585	0.765	206.025	7.3	90.0
C00655	Xanthosine_5'-phosphate	-2.773	3.298	0.695	16.671	-3.534	80.0
C00118	D-Glyceraldehyde_3-phosphate	4.754	-9.982	0.027	1038.287	-4.792	90.0
C05759	3-Oxotetradecanoyl-[acp]	6.34	4.585	0.723	105.009	6.247	80.0
C03125	L-Cysteinyl-tRNA(Cys)	-6.845	-3.459	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-6.57	-4.087	0.0	0.0	0.0	50.0
C00508	L-Ribulose	-7.112	-4.392	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-8.358	-3.322	0.0	0.0	0.0	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	6.34	4.585	0.723	105.009	6.247	80.0
C00120	Biotin	6.267	3.17	0.506	86.012	5.443	70.0
C00365	dUMP	-5.221	-4.692	0.0	0.0	0.0	50.0
C00362	dGMP	-5.755	-3.459	0.0	0.0	0.0	50.0
C00363	dTDP	-6.672	5.17	0.353	137.972	-5.606	90.0
C00009	Orthophosphate	-6.229	-2.807	0.0	0.0	0.0	50.0
C00008	ADP	-2.336	-6.646	0.0	0.0	0.0	50.0
C00006	NADP+	-6.322	6.011	0.806	144.494	-6.864	90.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	6.629	-3.459	0.111	109.972	-3.611	80.0
C00003	NAD+	-7.5	-1.138	0.0	0.0	0.0	50.0
C00002	ATP	6.959	-6.267	0.619	201.425	-6.962	90.0
C00369	Starch	2.644	4.807	0.55	34.244	4.235	70.0
C05703	Methaneselenol	-6.845	-6.16	0.0	0.0	0.0	50.0
C00035	GDP	3.624	-6.066	0.184	79.325	-3.868	80.0
C00183	L-Valine	-3.437	-1.585	0.0	0.0	0.0	50.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-7.071	-2.954	0.0	0.0	0.0	50.0
C00361	dGDP	-4.481	7.793	0.101	244.114	-4.619	90.0
C16619	6-Thioguanosine_monophosphate	-7.129	-4.524	0.0	0.0	0.0	50.0
C16618	6-Thioxanthine_5'-monophosphate	-2.0	4.585	0.167	28.001	-2.222	70.0
C00256	(R)-Lactate	5.858	4.426	0.756	79.497	5.908	80.0
C01346	dUDP	-3.459	3.087	0.773	19.494	-3.913	80.0
C00255	Riboflavin	-4.807	2.322	0.179	32.993	-2.559	70.0
C05336	Selenomethionyl-tRNA(Met)	-6.741	-3.459	0.0	0.0	0.0	50.0
C00415	Dihydrofolate	-0.637	-1.078	0.0	0.0	0.0	50.0
C00416	Phosphatidate	4.19	-4.163	0.981	36.166	-5.15	90.0
C05335	L-Selenomethionine	5.322	3.459	0.65	50.999	5.051	70.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-7.077	-3.17	0.0	0.0	0.0	50.0
C16614	6-Methylmercaptopurine	7.077	3.17	0.448	144.018	6.011	80.0
C00099	beta-Alanine	5.615	2.459	0.438	54.508	4.577	70.0
C01931	L-Lysyl-tRNA	-6.931	-4.322	0.0	0.0	0.0	50.0
C01528	Hydrogen_selenide	-6.812	-5.746	0.0	0.0	0.0	50.0
C00091	Succinyl-CoA	-6.522	-7.6	0.0	0.0	0.0	50.0
C00092	D-Glucose_6-phosphate	-7.589	-6.582	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	7.347	-1.463	0.017	165.562	-1.487	70.0
C00095	D-Fructose	-7.827	4.824	0.125	255.396	-4.994	90.0
C00097	L-Cysteine	-7.224	-5.926	0.0	0.0	0.0	50.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-6.248	-7.055	0.0	0.0	0.0	50.0
C00078	L-Tryptophan	6.409	3.459	0.54	95.974	5.695	80.0
C00079	L-Phenylalanine	-1.138	2.883	0.298	9.578	-1.515	70.0
C00993	D-Alanyl-D-alanine	-3.0	-8.214	0.0	0.0	0.0	50.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-3.382	-5.141	0.0	0.0	0.0	50.0
C00073	L-Methionine	5.298	-2.087	0.108	43.591	-2.235	70.0
C00231	D-Xylulose_5-phosphate	-5.576	2.907	0.157	55.203	-3.118	80.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	5.883	-5.524	0.78	105.029	-6.356	90.0
C00075	UTP	5.652	3.126	0.553	59.013	5.029	70.0
C06196	2'-Deoxyinosine_5'-phosphate	-7.484	-6.209	0.0	0.0	0.0	50.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-7.071	-2.954	0.0	0.0	0.0	50.0
C00074	Phosphoenolpyruvate	-6.979	-8.696	0.0	0.0	0.0	50.0
C00718	Amylose	-2.55	-4.248	0.0	0.0	0.0	50.0
C00441	L-Aspartate_4-semialdehyde	-4.815	3.611	0.434	40.367	-4.131	80.0
C00123	L-Leucine	-3.322	-1.222	0.0	0.0	0.0	50.0
C03512	L-Tryptophanyl-tRNA(Trp)	-6.409	-3.459	0.0	0.0	0.0	50.0
C04242	5-Fluorodeoxyuridine_monophosphate	-6.615	-3.17	0.0	0.0	0.0	50.0
C00086	Urea	7.102	4.79	0.674	165.043	6.798	90.0
C00085	D-Fructose_6-phosphate	4.926	-3.471	0.365	41.489	-3.92	80.0
C00242	Guanine	-4.585	-4.353	0.0	0.0	0.0	50.0
C00245	Taurine	-6.17	-6.907	0.0	0.0	0.0	50.0
C00082	L-Tyrosine	1.248	1.766	0.707	5.776	2.029	60.0
C00081	ITP	7.484	5.0	0.668	211.023	7.139	90.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	6.248	7.055	0.886	208.978	7.532	90.0
C00160	Glycolate	-6.229	-4.74	0.0	0.0	0.0	50.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	4.585	-2.322	0.208	29.001	-2.595	70.0
C00294	Inosine	7.304	5.146	0.705	193.432	7.09	90.0
C04432	tRNA_containing_6-isopentenyladenosine	-6.19	-2.585	0.0	0.0	0.0	50.0
C04646	6-Thioinosine-5'-monophosphate	3.807	2.585	0.679	19.997	3.763	70.0
C02218	Dehydroalanine	-7.562	-3.907	0.0	0.0	0.0	50.0
C00337	(S)-Dihydroorotate	-6.57	-1.874	0.0	0.0	0.0	50.0
C01921	Glycocholate	6.17	6.907	0.893	192.013	7.422	90.0
C00673	2-Deoxy-D-ribose_5-phosphate	6.858	4.426	0.645	137.498	6.471	80.0
C02988	L-Histidyl-tRNA(His)	-6.508	-3.0	0.0	0.0	0.0	50.0
C03479	Folinic_acid	-6.57	5.0	0.337	127.01	-5.419	90.0
C00163	Propanoate	7.238	6.615	0.914	248.977	7.83	90.0
C02984	L-Aspartyl-tRNA(Asp)	-6.285	-4.459	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-6.426	-4.322	0.0	0.0	0.0	50.0
C00169	Carbamoyl_phosphate	4.147	-3.49	0.634	28.952	-4.199	90.0
C02047	L-Leucyl-tRNA	-6.524	-4.755	0.0	0.0	0.0	50.0
C00106	Uracil	-2.202	-4.878	0.0	0.0	0.0	50.0
C00068	Thiamin_diphosphate	-7.349	-5.203	0.0	0.0	0.0	50.0
C00342	Thioredoxin	-4.916	-5.532	0.0	0.0	0.0	50.0
C00105	UMP	5.356	0.593	0.111	42.464	2.233	60.0
C03082	4-Phospho-L-aspartate	1.379	5.44	0.253	46.012	3.544	70.0
C00103	D-Glucose_1-phosphate	5.218	6.54	0.798	130.274	6.7	80.0
C04377	5,10-Methylenetetrahydromethanopterin	-7.15	-5.087	0.0	0.0	0.0	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	-3.459	2.0	0.364	14.997	-2.448	70.0
C00583	Propane-1,2-diol	7.728	1.0	0.129	214.012	4.791	70.0
C00063	CTP	6.823	5.654	0.829	163.574	7.083	90.0
C05689	Se-Methyl-L-selenocysteine	6.741	4.17	0.619	124.966	6.272	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	4.441	3.147	0.709	30.579	4.438	70.0
C00064	L-Glutamine	-5.595	-2.58	0.0	0.0	0.0	50.0
C00066	tRNA	6.19	2.585	0.418	79.009	5.044	70.0
C16633	5-Fluorouridine	7.748	2.585	0.334	220.971	6.204	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.7	3.781	0.979	26.743	4.71	70.0
C00864	Pantothenate	-6.524	4.087	0.185	109.022	-4.331	90.0
C16634	5-Fluorouridine_monophosphate	-8.362	-2.585	0.0	0.0	0.0	50.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-1.976	-3.27	0.0	0.0	0.0	50.0
C05466	Glycochenodeoxycholate	6.17	6.907	0.893	192.013	7.422	90.0
C01380	Ethylene_glycol	7.728	1.0	0.129	214.012	4.791	70.0
C19673	Malonyl-[acp]_methyl_ester	7.954	3.17	0.399	256.967	6.678	80.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	6.34	4.585	0.723	105.009	6.247	80.0
C00577	D-Glyceraldehyde	-7.366	-11.618	0.0	0.0	0.0	50.0
C05764	Hexadecanoyl-[acp]	7.229	-2.322	0.033	155.019	-2.369	70.0
C01419	Cys-Gly	8.618	2.322	0.269	397.895	6.744	90.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-5.7	-3.459	0.0	0.0	0.0	50.0
C05761	Tetradecanoyl-[acp]	7.229	-2.322	0.033	155.019	-2.369	70.0
C05760	trans-Tetradec-2-enoyl-[acp]	-5.7	-3.459	0.0	0.0	0.0	50.0
C05763	trans-Hexadec-2-enoyl-[acp]	-5.7	-3.459	0.0	0.0	0.0	50.0
C05762	3-Oxohexadecanoyl-[acp]	5.931	4.19	0.706	79.263	5.807	80.0
C00275	D-Mannose_6-phosphate	6.714	-9.446	0.151	802.458	-6.916	90.0
C05465	Taurochenodeoxycholate	6.17	6.907	0.893	192.013	7.422	90.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	5.615	4.087	0.728	66.004	5.586	70.0
C18902	Methylselenic_acid	6.943	6.966	0.997	248.06	7.95	90.0
C00668	alpha-D-Glucose_6-phosphate	-3.912	-6.343	0.0	0.0	0.0	50.0
C03402	L-Asparaginyl-tRNA(Asn)	-7.0	-4.222	0.0	0.0	0.0	50.0
C00253	Nicotinate	-7.304	-4.931	0.0	0.0	0.0	50.0
C03294	N-Formylmethionyl-tRNA	-6.229	-4.459	0.0	0.0	0.0	50.0
C00663	beta-D-Glucose_1-phosphate	-6.109	-3.7	0.0	0.0	0.0	50.0
C02163	L-Arginyl-tRNA(Arg)	-6.109	-2.585	0.0	0.0	0.0	50.0
C00234	10-Formyltetrahydrofolate	-3.229	-1.565	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	-6.12	5.661	0.727	120.149	-6.45	90.0
C00111	Glycerone_phosphate	-3.388	7.797	0.047	232.867	-3.454	80.0
C03090	5-Phosphoribosylamine	5.385	2.678	0.497	48.187	4.583	70.0
C02380	6-Mercaptopurine	7.077	3.17	0.448	144.018	6.011	80.0
C00112	CDP	-4.346	-1.503	0.0	0.0	0.0	50.0
C07648	Thioguanine	7.077	3.17	0.448	144.018	6.011	80.0
C05698	Selenohomocysteine	-1.585	-3.755	0.0	0.0	0.0	50.0
C00354	D-Fructose_1,6-bisphosphate	-2.459	-9.036	0.0	0.0	0.0	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	2.531	-6.983	0.046	132.28	-2.595	70.0
C00243	Lactose	6.248	5.799	0.928	131.68	6.933	90.0
C00149	(S)-Malate	-5.856	2.322	0.086	62.921	-2.441	70.0
C00299	Uridine	-1.399	4.315	0.132	22.541	-1.579	70.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-4.392	4.322	0.953	40.996	-5.287	90.0
C03492	D-4'-Phosphopantothenate	5.17	-2.0	0.111	40.002	-2.152	70.0
C00695	Cholic_acid	-6.17	-6.907	0.0	0.0	0.0	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-3.585	2.0	0.333	16.0	-2.415	70.0
