compound_code	compound_name	eubacterium_mock_score	parabacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-3.0	-10.382	0.0	0.0	0.0	50.0
C00149	(S)-Malate	2.273	-9.121	0.009	561.627	-2.285	80.0
C00944	3-Dehydroquinate	1.585	-6.459	0.034	90.974	-1.633	80.0
C02430	L-Methionyl-tRNA	-4.322	-8.071	0.0	0.0	0.0	50.0
C14819	Fe3+	-4.322	-10.065	0.0	0.0	0.0	50.0
C14818	Fe2+	4.322	10.065	0.429	1091.192	8.872	90.0
C00436	N-Carbamoylputrescine	-2.322	8.785	0.011	446.112	-2.338	80.0
C00437	N-Acetylornithine	-3.293	6.883	0.083	127.831	-3.408	90.0
C00438	N-Carbamoyl-L-aspartate	-2.585	-5.732	0.0	0.0	0.0	50.0
C00826	L-Arogenate	4.585	7.34	0.625	186.017	6.86	70.0
C06126	Digalactosylceramide	6.022	9.18	0.656	645.02	8.725	90.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-3.17	-8.409	0.0	0.0	0.0	50.0
C01185	Nicotinate_D-ribonucleotide	-1.0	-8.313	0.0	0.0	0.0	50.0
C00558	D-Tagaturonate	-6.022	7.562	0.344	253.952	-6.448	90.0
C15812	[Enzyme]-S-sulfanylcysteine	-3.907	-2.322	0.0	0.0	0.0	50.0
C15811	[Enzyme]-cysteine	4.954	2.322	0.469	35.996	4.077	60.0
C05796	Galactan	4.858	10.544	0.461	1522.002	9.454	90.0
C00794	D-Sorbitol	-6.022	-9.18	0.0	0.0	0.0	50.0
C00791	Creatinine	1.415	3.459	0.409	13.663	2.483	60.0
C16219	3-Oxostearoyl-[acp]	4.322	9.263	0.467	634.386	8.209	80.0
C00227	Acetyl_phosphate	2.218	3.081	0.72	13.114	3.239	60.0
C00221	beta-D-Glucose	3.916	7.62	0.514	211.815	6.766	70.0
C00385	Xanthine	-2.555	-8.262	0.0	0.0	0.0	50.0
C00387	Guanosine	4.087	9.618	0.425	802.785	8.414	80.0
C02504	alpha-Isopropylmalate	-2.939	-5.649	0.0	0.0	0.0	50.0
C00229	Acyl-carrier_protein	4.807	10.721	0.448	1715.877	9.587	90.0
C05841	Nicotinate_D-ribonucleoside	4.087	9.618	0.425	802.785	8.414	80.0
C00546	Methylglyoxal	-5.977	-6.313	0.0	0.0	0.0	50.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	5.524	10.551	0.524	1546.277	9.661	90.0
C05838	cis-2-Hydroxycinnamate	-5.524	-10.551	0.0	0.0	0.0	50.0
C00364	dTMP	-1.415	-7.202	0.0	0.0	0.0	50.0
C00365	dUMP	1.0	-7.689	0.01	208.357	-1.014	80.0
C00362	dGMP	-0.222	-6.541	0.0	0.0	0.0	50.0
C00363	dTDP	-3.807	9.961	0.014	1010.686	-3.827	90.0
C00360	dAMP	-7.307	-8.667	0.0	0.0	0.0	50.0
C00008	ADP	4.47	3.719	0.832	35.33	4.877	60.0
C00005	NADPH	-3.585	-1.0	0.0	0.0	0.0	50.0
C00003	NAD+	-3.807	5.771	0.256	68.603	-4.136	90.0
C00002	ATP	6.714	9.324	0.72	745.902	9.069	90.0
C00369	Starch	-4.078	-3.935	0.0	0.0	0.0	50.0
C05703	Methaneselenol	-4.644	-9.062	0.0	0.0	0.0	50.0
C16619	6-Thioguanosine_monophosphate	-4.931	-9.606	0.0	0.0	0.0	50.0
C16618	6-Thioxanthine_5'-monophosphate	-5.322	6.34	0.494	121.01	-5.901	90.0
C02612	(R)-2-Methylmalate	4.7	7.629	0.616	223.943	7.108	70.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-4.858	-9.241	0.0	0.0	0.0	50.0
C16614	6-Methylmercaptopurine	4.858	9.241	0.526	634.088	8.381	80.0
C03742	(S)-4-Hydroxymandelonitrile	-5.524	-10.551	0.0	0.0	0.0	50.0
C00645	N-Acetyl-D-mannosamine	-1.585	-2.0	0.0	0.0	0.0	50.0
C00099	beta-Alanine	1.222	7.451	0.164	177.307	4.862	60.0
