compound_code	compound_name	butyrivibrio_mock_score	eubacterium_mock_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-7.693	-3.0	0.0	0.0	0.0	50.0
C00149	(S)-Malate	4.459	2.273	0.51	26.827	3.773	60.0
C00944	3-Dehydroquinate	-6.954	1.585	0.024	126.983	-1.619	80.0
C02430	L-Methionyl-tRNA	-3.585	-4.322	0.0	0.0	0.0	50.0
C14819	Fe3+	-6.794	-4.322	0.0	0.0	0.0	50.0
C14818	Fe2+	6.794	4.322	0.636	130.969	6.381	70.0
C00436	N-Carbamoylputrescine	-2.807	-2.322	0.0	0.0	0.0	50.0
C00437	N-Acetylornithine	-4.818	-3.293	0.0	0.0	0.0	50.0
C00438	N-Carbamoyl-L-aspartate	-3.03	-2.585	0.0	0.0	0.0	50.0
C00826	L-Arogenate	7.622	4.585	0.602	220.994	7.055	80.0
C06126	Digalactosylceramide	8.028	6.022	0.75	326.0	7.934	90.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	5.672	-3.17	0.177	59.985	-3.405	90.0
C01185	Nicotinate_D-ribonucleotide	5.261	-1.0	0.052	40.346	-1.073	80.0
C00491	L-Cystine	7.459	7.807	0.955	399.892	8.578	90.0
C15812	[Enzyme]-S-sulfanylcysteine	-7.807	-3.907	0.0	0.0	0.0	50.0
C15811	[Enzyme]-cysteine	9.074	4.954	0.546	569.943	8.282	90.0
C05751	trans-Oct-2-enoyl-[acp]	6.15	1.585	0.258	74.013	4.254	60.0
C05796	Galactan	7.901	4.858	0.615	268.022	7.365	80.0
C00794	D-Sorbitol	-7.96	-6.022	0.0	0.0	0.0	50.0
C00793	D-Cysteine	7.022	2.585	0.368	135.967	5.645	70.0
C00791	Creatinine	2.0	1.415	0.708	6.667	2.238	50.0
C00506	L-Cysteate	7.693	3.0	0.39	214.93	6.389	70.0
C00227	Acetyl_phosphate	-6.781	2.218	0.042	114.625	-2.278	80.0
C05756	3-Oxododecanoyl-[acp]	-2.322	4.322	0.25	25.001	-2.644	90.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	8.028	6.022	0.75	326.0	7.934	90.0
C00385	Xanthine	-5.867	-2.555	0.0	0.0	0.0	50.0
C00387	Guanosine	7.676	4.087	0.532	221.501	6.882	80.0
C02504	alpha-Isopropylmalate	5.881	-2.939	0.13	66.602	-3.115	90.0
C00229	Acyl-carrier_protein	6.781	4.807	0.709	137.966	6.612	80.0
C05841	Nicotinate_D-ribonucleoside	7.676	4.087	0.532	221.501	6.882	80.0
C00288	HCO3-	7.371	-5.443	0.263	209.038	-5.78	90.0
C16396	2,4-Diamino-6-nitrotoluene	7.366	1.807	0.245	168.462	5.369	60.0
C00546	Methylglyoxal	-8.202	-5.977	0.0	0.0	0.0	50.0
C16399	2,4-Diamino-6-hydroxylaminotoluene	-7.366	-1.807	0.0	0.0	0.0	50.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	9.95	5.524	0.555	1035.133	9.167	90.0
C01801	Deoxyribose	8.752	1.585	0.181	434.136	6.297	70.0
