compound_code	compound_name	eubacterium_mock_score	lachnospiraceae_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-4.875	1.08	0.072	31.458	-1.18	80.0
C00024	Acetyl-CoA	-4.381	-3.764	0.0	0.0	0.0	50.0
C00026	2-Oxoglutarate	-4.807	-0.652	0.0	0.0	0.0	50.0
C06481	L-Seryl-tRNA(Sec)	-5.807	-1.585	0.0	0.0	0.0	50.0
C00020	AMP	-3.565	-0.678	0.0	0.0	0.0	50.0
C00352	D-Glucosamine_6-phosphate	1.848	1.322	0.715	6.1	2.126	70.0
C00022	Pyruvate	3.299	-2.435	0.549	15.25	-3.067	90.0
C00143	5,10-Methylenetetrahydrofolate	-1.312	0.131	0.441	3.578	-0.658	70.0
C00140	N-Acetyl-D-glucosamine	-1.585	-3.0	0.0	0.0	0.0	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-3.904	-0.907	0.0	0.0	0.0	50.0
C00144	GMP	-2.725	-0.893	0.0	0.0	0.0	50.0
C02291	L-Cystathionine	7.807	3.0	0.384	231.945	6.478	90.0
C01103	Orotidine_5'-phosphate	-6.052	-3.369	0.0	0.0	0.0	50.0
C05528	3-Sulfopyruvate	-3.0	-1.0	0.0	0.0	0.0	50.0
C00944	3-Dehydroquinate	1.585	-1.0	0.667	5.0	-1.737	80.0
C03838	5'-Phosphoribosylglycinamide	-4.755	-1.0	0.0	0.0	0.0	50.0
C05746	3-Oxohexanoyl-[acp]	4.322	2.0	0.463	24.001	3.473	80.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	4.322	2.0	0.463	24.001	3.473	80.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-4.129	-1.322	0.0	0.0	0.0	50.0
C02430	L-Methionyl-tRNA	-4.322	1.0	0.1	22.001	-1.137	80.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-4.038	-0.893	0.0	0.0	0.0	50.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-4.129	-1.322	0.0	0.0	0.0	50.0
C00627	Pyridoxine_phosphate	-4.17	-1.0	0.0	0.0	0.0	50.0
C00100	Propanoyl-CoA	-3.565	-1.322	0.0	0.0	0.0	50.0
C00624	N-Acetyl-L-glutamate	-1.0	-1.0	0.0	0.0	0.0	50.0
C05754	trans-Dec-2-enoyl-[acp]	1.585	1.0	0.631	5.0	1.657	70.0
C00438	N-Carbamoyl-L-aspartate	-2.585	-2.0	0.0	0.0	0.0	50.0
