compound_code	compound_name	lactobacillus_mock_score	clostridium_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	3.851	0.243	0.063	15.613	-0.021	60.0
C00024	Acetyl-CoA	-8.24	-3.848	0.0	0.0	0.0	50.0
C00026	2-Oxoglutarate	3.981	-4.626	0.639	40.483	-4.694	90.0
C06481	L-Seryl-tRNA(Sec)	-6.615	-3.7	0.0	0.0	0.0	50.0
C00020	AMP	3.771	0.415	0.11	14.985	0.722	60.0
C00352	D-Glucosamine_6-phosphate	6.155	0.585	0.095	72.759	2.79	80.0
C00022	Pyruvate	-5.362	-3.526	0.0	0.0	0.0	50.0
C00143	5,10-Methylenetetrahydrofolate	-1.356	1.461	0.93	5.313	-2.304	80.0
C00141	3-Methyl-2-oxobutanoic_acid	2.3	-2.0	0.812	8.925	-2.858	90.0
C00029	UDP-glucose	-6.268	1.766	0.044	80.466	-1.828	80.0
C00147	Adenine	2.121	-0.101	0.247	5.422	-0.419	70.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-6.954	-0.585	0.0	0.0	0.0	50.0
C00149	(S)-Malate	2.322	1.339	0.577	7.53	2.118	70.0
C14089	1-Hydroxymethylnaphthalene	7.639	2.954	0.387	207.077	6.323	90.0
C05400	Epimelibiose	6.954	0.585	0.084	125.483	3.4	80.0
C05401	3-beta-D-Galactosyl-sn-glycerol	6.954	0.585	0.084	125.483	3.4	80.0
C05402	Melibiose	5.7	0.222	0.039	53.151	1.05	70.0
C02430	L-Methionyl-tRNA	3.585	-2.322	0.417	17.001	-2.825	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-5.141	-1.837	0.0	0.0	0.0	50.0
C03232	3-Phosphonooxypyruvate	2.678	1.766	0.659	9.801	2.692	80.0
C00100	Propanoyl-CoA	-10.569	-1.7	0.0	0.0	0.0	50.0
C00438	N-Carbamoyl-L-aspartate	-1.585	0.585	0.5	4.5	-1.17	70.0
C00101	Tetrahydrofolate	1.485	3.933	0.378	18.073	2.771	80.0
C06126	Digalactosylceramide	6.954	0.585	0.084	125.483	3.4	80.0
C02051	Lipoylprotein	-7.6	0.585	0.008	195.512	-0.596	70.0
C06250	Holo-[carboxylase]	-3.868	-0.322	0.0	0.0	0.0	50.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-5.209	-1.0	0.0	0.0	0.0	50.0
C01185	Nicotinate_D-ribonucleotide	3.524	1.0	0.284	13.503	1.938	70.0
C00235	Dimethylallyl_diphosphate	-1.571	-3.609	0.0	0.0	0.0	50.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	6.954	0.585	0.084	125.483	3.4	80.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	-3.459	3.459	1.0	21.993	-4.459	90.0
C15812	[Enzyme]-S-sulfanylcysteine	-5.0	1.585	0.094	35.0	-1.714	80.0
C00011	CO2	3.392	6.808	0.498	122.548	5.932	90.0
C00014	Ammonia	-2.52	1.053	0.362	7.811	-1.498	80.0
C00015	UDP	-0.585	-1.874	0.0	0.0	0.0	50.0
C00065	L-Serine	-2.677	-0.787	0.0	0.0	0.0	50.0
C00153	Nicotinamide	-5.073	-0.585	0.0	0.0	0.0	50.0
C00152	L-Asparagine	-1.188	0.778	0.753	3.993	-1.588	80.0
C00155	L-Homocysteine	-3.532	-0.322	0.0	0.0	0.0	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	3.17	-1.0	0.222	11.0	-1.289	70.0
C00794	D-Sorbitol	-4.524	-0.585	0.0	0.0	0.0	50.0
C02876	Propanoyl_phosphate	-1.807	-1.0	0.0	0.0	0.0	50.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	-2.0	1.0	0.5	6.0	-1.585	80.0
C00886	L-Alanyl-tRNA	-3.907	-3.585	0.0	0.0	0.0	50.0
C00294	Inosine	5.146	0.485	0.094	36.808	1.795	70.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	3.17	-1.874	0.407	12.666	-2.367	80.0
C00197	3-Phospho-D-glycerate	-7.88	4.491	0.095	258.055	-4.623	90.0
C05345	beta-D-Fructose_6-phosphate	6.908	-2.4	0.044	125.37	-2.462	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-4.728	-1.322	0.0	0.0	0.0	50.0
C00227	Acetyl_phosphate	-6.014	0.107	0.017	65.701	-0.131	60.0
C00226	Primary_alcohol	7.639	2.954	0.387	207.077	6.323	90.0
C06037	Digalactosyl-diacylglycerol	6.954	0.585	0.084	125.483	3.4	80.0
C00259	L-Arabinose	4.392	3.17	0.722	29.996	4.436	90.0
C03512	L-Tryptophanyl-tRNA(Trp)	-3.459	-1.0	0.0	0.0	0.0	50.0
C00385	Xanthine	-4.313	-0.153	0.0	0.0	0.0	50.0
C00387	Guanosine	5.3	0.485	0.092	40.796	1.9	70.0
C03539	S-Ribosyl-L-homocysteine	5.585	1.0	0.179	50.001	3.162	80.0
C05841	Nicotinate_D-ribonucleoside	5.585	0.585	0.105	49.501	2.374	70.0
C00655	Xanthosine_5'-phosphate	3.298	-1.524	0.292	12.711	-1.894	80.0
C05759	3-Oxotetradecanoyl-[acp]	4.585	1.0	0.218	26.001	2.504	70.0
C03127	L-Isoleucyl-tRNA(Ile)	-4.087	-3.322	0.0	0.0	0.0	50.0
C00508	L-Ribulose	-4.392	-2.663	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-3.322	-1.0	0.0	0.0	0.0	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	4.585	1.0	0.218	26.001	2.504	70.0
C00365	dUMP	-4.692	-3.567	0.0	0.0	0.0	50.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-3.322	-1.0	0.0	0.0	0.0	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	4.585	1.0	0.218	26.001	2.504	70.0
C00008	ADP	-6.646	-1.415	0.0	0.0	0.0	50.0
C00058	Formate	10.263	2.624	0.256	1234.935	8.303	90.0
C00003	NAD+	-1.138	-2.663	0.0	0.0	0.0	50.0
C00002	ATP	-6.267	4.465	0.287	99.096	-4.829	90.0
C00369	Starch	4.807	2.402	0.5	33.278	4.056	80.0
C15972	Enzyme_N6-(lipoyl)lysine	-5.066	1.585	0.09	36.498	-1.709	80.0
C16618	6-Thioxanthine_5'-monophosphate	4.585	-2.585	0.25	30.001	-2.907	90.0
C05336	Selenomethionyl-tRNA(Met)	-3.459	-2.322	0.0	0.0	0.0	50.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	6.687	0.585	0.087	104.536	3.193	80.0
C05335	L-Selenomethionine	3.459	2.322	0.671	15.997	3.425	80.0
C00645	N-Acetyl-D-mannosamine	-4.629	-1.0	0.0	0.0	0.0	50.0
C00330	Deoxyguanosine	5.585	0.585	0.105	49.501	2.374	70.0
C01083	alpha,alpha-Trehalose	6.508	-1.585	0.033	94.013	-1.632	80.0
C00559	Deoxyadenosine	-4.492	-0.322	0.0	0.0	0.0	50.0
C01931	L-Lysyl-tRNA	-4.322	-2.807	0.0	0.0	0.0	50.0
C00492	Raffinose	-5.7	-0.222	0.0	0.0	0.0	50.0
C00073	L-Methionine	-2.087	2.322	0.85	9.249	-2.974	90.0
C00091	Succinyl-CoA	-7.6	5.94	0.316	255.405	-6.337	90.0
C00092	D-Glucose_6-phosphate	-6.582	-3.075	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	-1.463	-1.525	0.0	0.0	0.0	50.0
C00498	ADP-glucose	-5.219	-3.157	0.0	0.0	0.0	50.0
C00095	D-Fructose	4.824	-0.193	0.04	29.468	-0.25	70.0
C00097	L-Cysteine	-5.926	1.474	0.046	63.578	-1.538	80.0
C14099	2-Naphthaldehyde	-7.639	-2.954	0.0	0.0	0.0	50.0
C00078	L-Tryptophan	3.459	1.0	0.289	12.997	1.91	70.0
C00079	L-Phenylalanine	2.883	0.348	0.121	8.65	0.062	60.0
C14090	1-Naphthaldehyde	-7.639	-2.954	0.0	0.0	0.0	50.0
C00071	Aldehyde	-6.907	-2.459	0.0	0.0	0.0	50.0
C02282	Glutaminyl-tRNA	4.03	-2.632	0.379	22.535	-3.096	90.0
C00074	Phosphoenolpyruvate	-8.696	-4.699	0.0	0.0	0.0	50.0
C00075	UTP	3.126	5.006	0.624	40.863	4.673	90.0
C00620	alpha-D-Ribose_1-phosphate	7.788	3.954	0.508	236.513	6.908	90.0
C00718	Amylose	-4.248	-2.585	0.0	0.0	0.0	50.0
C00123	L-Leucine	-1.222	1.222	1.0	4.665	-2.222	80.0
C02686	Galactosylceramide	-6.066	-0.585	0.0	0.0	0.0	50.0
C00085	D-Fructose_6-phosphate	-3.471	-0.363	0.0	0.0	0.0	50.0
C00084	Acetaldehyde	-6.66	3.229	0.093	110.501	-3.357	90.0
C00083	Malonyl-CoA	-3.693	-0.562	0.0	0.0	0.0	50.0
C00231	D-Xylulose_5-phosphate	2.907	0.3	0.103	8.732	-0.15	60.0
C03373	Aminoimidazole_ribotide	5.459	-2.807	0.159	50.985	-3.02	90.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-2.322	2.0	0.8	9.0	-2.848	90.0
C00407	L-Isoleucine	-2.202	1.485	0.608	7.4	-2.171	80.0
C00089	Sucrose	-6.683	-0.459	0.0	0.0	0.0	50.0
C04646	6-Thioinosine-5'-monophosphate	2.585	2.585	1.0	12.0	3.585	80.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	4.314	-2.83	0.357	27.001	-3.271	90.0
C00672	2-Deoxy-D-ribose_1-phosphate	-4.17	2.0	0.222	22.001	-2.289	80.0
C00673	2-Deoxy-D-ribose_5-phosphate	4.426	-1.322	0.116	23.996	-1.481	70.0
C02988	L-Histidyl-tRNA(His)	-3.0	-2.807	0.0	0.0	0.0	50.0
C00163	Propanoate	6.615	1.0	0.151	100.02	3.918	80.0
C02984	L-Aspartyl-tRNA(Asp)	-4.459	-1.585	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-4.322	-2.0	0.0	0.0	0.0	50.0
C06113	L-Aspartyl-tRNA(Asn)	-4.03	-1.0	0.0	0.0	0.0	50.0
C00169	Carbamoyl_phosphate	-3.49	-1.354	0.0	0.0	0.0	50.0
C02047	L-Leucyl-tRNA	-4.755	-3.17	0.0	0.0	0.0	50.0
C06613	trans-3-Chloroallyl_aldehyde	-5.7	-1.322	0.0	0.0	0.0	50.0
C00106	Uracil	-4.878	-0.29	0.0	0.0	0.0	50.0
C00068	Thiamin_diphosphate	-5.203	-0.222	0.0	0.0	0.0	50.0
C00342	Thioredoxin	-5.532	3.406	0.229	56.87	-3.704	90.0
C00343	Thioredoxin_disulfide	5.946	-3.17	0.146	70.649	-3.367	90.0
C03082	4-Phospho-L-aspartate	5.44	2.07	0.381	47.61	4.179	90.0
C00103	D-Glucose_1-phosphate	6.54	3.36	0.514	103.322	5.73	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-5.087	-2.0	0.0	0.0	0.0	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	2.0	2.0	1.0	8.0	3.0	80.0
C00063	CTP	5.654	4.847	0.857	79.133	6.084	90.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	3.147	-2.585	0.677	14.858	-3.331	90.0
C00064	L-Glutamine	-2.58	-0.17	0.0	0.0	0.0	50.0
C00109	2-Oxobutanoate	8.294	0.963	0.116	315.814	5.196	90.0
C16633	5-Fluorouridine	2.585	2.0	0.774	10.0	2.952	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.781	1.322	0.35	16.247	2.506	80.0
C16634	5-Fluorouridine_monophosphate	-2.585	-2.0	0.0	0.0	0.0	50.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-3.27	-0.628	0.0	0.0	0.0	50.0
C01050	UDP-N-acetylmuramate	-4.692	0.893	0.072	27.705	-0.993	70.0
C00279	D-Erythrose_4-phosphate	11.531	-0.637	0.001	2960.773	-0.638	70.0
C01412	Butanal	6.216	4.807	0.773	102.33	6.306	90.0
C00361	dGDP	7.793	1.585	0.203	224.782	5.515	90.0
C00270	N-Acetylneuraminate	4.907	1.0	0.204	32.002	2.705	80.0
C00900	2-Acetolactate	3.585	3.459	0.965	22.997	4.472	90.0
C00669	gamma-L-Glutamyl-L-cysteine	-5.044	-3.17	0.0	0.0	0.0	50.0
C00668	alpha-D-Glucose_6-phosphate	-6.343	4.02	0.2	97.4	-4.283	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-4.222	-2.17	0.0	0.0	0.0	50.0
C00253	Nicotinate	-4.931	-1.17	0.0	0.0	0.0	50.0
C03406	N-(L-Arginino)succinate	2.585	-4.392	0.286	26.996	-2.948	90.0
C00234	10-Formyltetrahydrofolate	-1.565	-4.492	0.0	0.0	0.0	50.0
C05512	Deoxyinosine	4.492	0.322	0.072	23.752	0.768	60.0
C00117	D-Ribose_5-phosphate	5.661	-2.051	0.082	54.742	-2.165	80.0
C00116	Glycerol	-3.719	1.7	0.247	16.417	-2.018	80.0
C00111	Glycerone_phosphate	7.797	2.357	0.302	227.521	6.104	90.0
C00112	CDP	-1.503	-2.322	0.0	0.0	0.0	50.0
C00354	D-Fructose_1,6-bisphosphate	-9.036	0.181	0.002	526.07	-0.184	70.0
