Compound_code	Metabolite_name	Indegree	Outdegree
C00025	L-Glutamate	5	14
C01909	Dethiobiotin	1	1
C00027	Hydrogen_peroxide	1	0
C00026	2-Oxoglutarate	2	0
C00021	S-Adenosyl-L-homocysteine	1	1
C00024	Acetyl-CoA	7	10
C00143	5,10-Methylenetetrahydrofolate	4	2
C00140	N-Acetyl-D-glucosamine	0	1
C00148	L-Proline	1	2
C00144	GMP	0	2
C04133	N-Acetyl-L-glutamate_5-phosphate	1	4
C01100	L-Histidinol_phosphate	2	2
C00105	UMP	2	0
C00417	cis-Aconitate	8	6
C00944	3-Dehydroquinate	4	0
C05400	Epimelibiose	0	1
C05401	3-beta-D-Galactosyl-sn-glycerol	0	1
C05402	Melibiose	1	1
C02430	L-Methionyl-tRNA	0	1
C02888	Sorbose_1-phosphate	1	0
C00433	2,5-Dioxopentanoate	0	2
C04039	2,3-Dihydroxy-3-methylbutanoate	1	0
C02538	Estrone_3-sulfate	0	1
C01222	GDP-4-dehydro-6-deoxy-D-mannose	3	0
C00624	N-Acetyl-L-glutamate	5	0
C00531	Itaconyl-CoA	2	0
C00022	Pyruvate	13	23
C15972	Enzyme_N6-(lipoyl)lysine	0	3
C00169	Carbamoyl_phosphate	6	3
C06126	Digalactosylceramide	0	1
C06125	Sulfatide	0	1
C03684	6-Pyruvoyltetrahydropterin	2	0
C00705	dCDP	3	1
C01181	4-Trimethylammoniobutanoate	1	0
C01346	dUDP	2	1
C01345	dITP	1	0
C01344	dIDP	0	1
C00234	10-Formyltetrahydrofolate	2	5
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	1	3
C06006	(S)-2-Aceto-2-hydroxybutanoate	5	4
C15812	[Enzyme]-S-sulfanylcysteine	1	0
C00158	Citrate	4	7
C15811	[Enzyme]-cysteine	0	1
C00014	Ammonia	3	4
C00015	UDP	2	2
C05796	Galactan	0	2
C00155	L-Homocysteine	5	5
C02835	Imidazole-4-acetate	1	0
C00468	Estrone	1	0
C00794	D-Sorbitol	1	0
C16255	[Dihydrolipoyllysine-residue_acetyltransferase]_S-acetyldihydrolipoyllysine	6	0
C00954	Indole-3-acetate	2	0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	2	0
C01134	Pantetheine_4'-phosphate	2	0
C00109	2-Oxobutanoate	0	6
C05345	beta-D-Fructose_6-phosphate	14	2
C00818	D-Glucarate	2	0
C06037	Digalactosyl-diacylglycerol	0	1
C03512	L-Tryptophanyl-tRNA(Trp)	1	0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	0	1
C02170	Methylmalonate	1	0
