Compound_code	Metabolite_name	Importance_score	p_value
C05528	3-Sulfopyruvate	-4.644	n.s.
C19589	Aflatoxin_B1_dialdehyde	0.0	n.s.
C05527	3-Sulfinylpyruvate	0.0	n.s.
C02876	Propanoyl_phosphate	0.0	n.s.
C16242	Cobalt-precorrin_5A	0.0	n.s.
C16243	Cobalt-precorrin_5B	0.0	n.s.
C00149	(S)-Malate	0.0	n.s.
C00944	3-Dehydroquinate	-3.322	n.s.
C02430	L-Methionyl-tRNA	-2.807	n.s.
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	0.0	n.s.
C14819	Fe3+	0.0	n.s.
C14818	Fe2+	0.0	n.s.
C00430	5-Aminolevulinate	0.0	n.s.
C07838	D-glycero-beta-D-manno-Heptose_1-phosphate	0.0	n.s.
C00436	N-Carbamoylputrescine	0.0	n.s.
C00437	N-Acetylornithine	-0.926	n.s.
C00438	N-Carbamoyl-L-aspartate	0.0	n.s.
C00439	N-Formimino-L-glutamate	0.0	n.s.
C04494	Guanosine_3'-diphosphate_5'-triphosphate	0.0	n.s.
C00534	Pyridoxamine	0.0	n.s.
C06126	Digalactosylceramide	1.0	n.s.
C01083	alpha,alpha-Trehalose	0.0	n.s.
C01181	4-Trimethylammoniobutanoate	-3.0	n.s.
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	5.248	n.s.
C01185	Nicotinate_D-ribonucleotide	-3.17	n.s.
C00491	L-Cystine	3.585	n.s.
C15812	[Enzyme]-S-sulfanylcysteine	0.0	n.s.
C15813	C15813	0.0	n.s.
C15811	[Enzyme]-cysteine	0.0	n.s.
C15814	C15814	0.0	n.s.
C15815	C15815	0.0	n.s.
C05796	Galactan	0.0	n.s.
C03294	N-Formylmethionyl-tRNA	0.0	n.s.
C05791	D-Urobilinogen	0.0	n.s.
C00794	D-Sorbitol	8.279	<0.05
C03921	2-Dehydro-3-deoxy-D-glucarate	-3.322	n.s.
C00791	Creatinine	0.0	n.s.
C11539	Cobalt-precorrin_3	0.0	n.s.
C00507	L-Rhamnose	0.0	n.s.
C01233	sn-Glycero-3-phosphoethanolamine	3.807	n.s.
C00226	Primary_alcohol	4.977	n.s.
C00224	Adenylyl_sulfate	0.0	n.s.
C01236	D-Glucono-1,5-lactone_6-phosphate	0.0	n.s.
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	1.0	n.s.
C00385	Xanthine	0.879	n.s.
C00387	Guanosine	0.0	n.s.
C00380	Cytosine	4.143	n.s.
C00229	Acyl-carrier_protein	-4.728	n.s.
C00882	Dephospho-CoA	-4.585	n.s.
C16396	2,4-Diamino-6-nitrotoluene	0.0	n.s.
C05759	3-Oxotetradecanoyl-[acp]	0.0	n.s.
C00546	Methylglyoxal	-6.055	n.s.
C16399	2,4-Diamino-6-hydroxylaminotoluene	0.0	n.s.
C16217	3-Hydroxyoctadecanoyl-CoA	0.0	n.s.
C00366	Urate	0.0	n.s.
C05838	cis-2-Hydroxycinnamate	0.0	n.s.
C00364	dTMP	-3.459	n.s.
C00365	dUMP	-4.248	n.s.
C00362	dGMP	0.0	n.s.
C00009	Orthophosphate	-2.0	n.s.
C00008	ADP	2.841	n.s.
C00006	NADP+	0.0	n.s.
C00005	NADPH	0.0	n.s.
C00003	NAD+	-3.369	n.s.
C00002	ATP	3.769	n.s.
C00369	Starch	-4.893	n.s.
C05703	Methaneselenol	-8.767	<0.05
C00376	Retinal	-4.044	n.s.
C06507	Adenosyl_cobyrinate_hexaamide	0.0	n.s.
C05757	(R)-3-Hydroxydodecanoyl-[acp]	0.0	n.s.
C16619	6-Thioguanosine_monophosphate	0.0	n.s.
C16618	6-Thioxanthine_5'-monophosphate	-1.585	n.s.
C03741	(S)-4-Amino-5-oxopentanoate	0.0	n.s.
C16614	6-Methylmercaptopurine	0.0	n.s.
C03742	(S)-4-Hydroxymandelonitrile	0.0	n.s.
C00645	N-Acetyl-D-mannosamine	0.0	n.s.
C00644	D-Mannitol_1-phosphate	6.966	<0.05
C00311	Isocitrate	0.0	n.s.
C00310	D-Xylulose	0.0	n.s.
C01242	S-Aminomethyldihydrolipoylprotein	0.0	n.s.
C01931	L-Lysyl-tRNA	-1.0	n.s.
C00315	Spermidine	0.0	n.s.
C01528	Hydrogen_selenide	-8.183	<0.05
C00091	Succinyl-CoA	5.85	<0.05
C00760	Cellulose	-2.874	n.s.
C00093	sn-Glycerol_3-phosphate	-3.17	n.s.
C00094	Sulfite	0.342	n.s.
C00095	D-Fructose	7.013	<0.05
C00096	GDP-mannose	0.0	n.s.
C00097	L-Cysteine	-3.694	n.s.
C14099	2-Naphthaldehyde	-4.977	n.s.
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	0.0	n.s.
C00433	2,5-Dioxopentanoate	3.0	n.s.
C14090	1-Naphthaldehyde	-4.977	n.s.
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	0.0	n.s.
C00077	L-Ornithine	1.0	n.s.
C06196	2'-Deoxyinosine_5'-phosphate	0.0	n.s.
C04732	5-Amino-6-(1-D-ribitylamino)uracil	0.0	n.s.
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	0.0	n.s.
C05172	Selenophosphoric_acid	0.0	n.s.
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	3.459	n.s.
C11949	3-Isopropylbut-3-enoyl-CoA	-3.459	n.s.
C16238	Lipoyl-AMP	0.0	n.s.
C05774	Cobinamide	0.0	n.s.
C05775	alpha-Ribazole	-4.605	n.s.
C07118	Benzoyl_acetyl-CoA	3.459	n.s.
C05773	Cobyrinate	0.0	n.s.
C05686	Adenylylselenate	-3.7	n.s.
C05778	Sirohydrochlorin	0.0	n.s.
C05762	3-Oxohexadecanoyl-[acp]	0.0	n.s.
C00166	Phenylpyruvate	2.595	n.s.
C00160	Glycolate	0.0	n.s.
C00162	Fatty_acid	3.0	n.s.
C00163	Propanoate	0.0	n.s.
C02984	L-Aspartyl-tRNA(Asp)	-5.285	n.s.
C19891	D-chiro-Inositol	0.0	n.s.
C00168	Hydroxypyruvate	0.0	n.s.
C19879	D-glycero-alpha-D-manno-Heptose_1,7-bisphosphate	0.0	n.s.
C02047	L-Leucyl-tRNA	-6.658	<0.05
C00826	L-Arogenate	0.0	n.s.
C03082	4-Phospho-L-aspartate	-3.17	n.s.
