Compound_code	Metabolite_name	Importance_score	p_value
C05528	3-Sulfopyruvate	-7.375	<0.05
C05527	3-Sulfinylpyruvate	0.0	n.s.
C00027	Hydrogen_peroxide	-8.082	<0.05
C02876	Propanoyl_phosphate	-2.459	n.s.
C16242	Cobalt-precorrin_5A	1.585	n.s.
C16243	Cobalt-precorrin_5B	-2.807	n.s.
C00149	(S)-Malate	0.737	n.s.
C00944	3-Dehydroquinate	-1.585	n.s.
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	3.7	n.s.
C02430	L-Methionyl-tRNA	-3.585	n.s.
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-1.0	n.s.
C14819	Fe3+	-7.077	<0.05
C14818	Fe2+	7.077	<0.05
C00431	5-Aminopentanoate	-9.948	<0.05
C00437	N-Acetylornithine	1.0	n.s.
C01451	Salicin	4.087	n.s.
C00438	N-Carbamoyl-L-aspartate	-3.524	n.s.
C00826	L-Arogenate	1.0	n.s.
C00534	Pyridoxamine	0.0	n.s.
C00469	Ethanol	5.768	n.s.
C01181	4-Trimethylammoniobutanoate	-1.0	n.s.
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-3.459	n.s.
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	4.0	n.s.
C01185	Nicotinate_D-ribonucleotide	4.585	n.s.
C15812	[Enzyme]-S-sulfanylcysteine	-4.524	n.s.
C15813	C15813	0.0	n.s.
C15810	C15810	0.0	n.s.
C15811	[Enzyme]-cysteine	5.248	n.s.
C15814	C15814	0.0	n.s.
C15815	C15815	0.0	n.s.
C16688	Sucrose_6-phosphate	0.0	n.s.
C00493	Shikimate	-0.341	n.s.
C05752	Octanoyl-[acp]	4.459	n.s.
C00794	D-Sorbitol	4.609	n.s.
C05840	Iminoaspartate	-1.0	n.s.
C01089	(R)-3-Hydroxybutanoate	5.285	n.s.
C16219	3-Oxostearoyl-[acp]	-4.524	n.s.
C00227	Acetyl_phosphate	0.429	n.s.
C00226	Primary_alcohol	5.768	n.s.
C00222	3-Oxopropanoate	0.0	n.s.
C00221	beta-D-Glucose	4.954	n.s.
C00385	Xanthine	-3.246	n.s.
C05223	Dodecanoyl-[acyl-carrier_protein]	4.459	n.s.
C02504	alpha-Isopropylmalate	0.503	n.s.
C00229	Acyl-carrier_protein	3.0	n.s.
C00499	Allantoate	3.907	n.s.
C00380	Cytosine	0.0	n.s.
C16396	2,4-Diamino-6-nitrotoluene	7.196	<0.05
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	0.0	n.s.
C00546	Methylglyoxal	-4.954	n.s.
C16399	2,4-Diamino-6-hydroxylaminotoluene	-7.196	<0.05
C16217	3-Hydroxyoctadecanoyl-CoA	-5.17	n.s.
C01801	Deoxyribose	0.0	<0.05
C00364	dTMP	-3.322	n.s.
C00365	dUMP	1.874	n.s.
C00362	dGMP	0.0	n.s.
C16244	Cobalt-precorrin_7	1.0	n.s.
C00360	dAMP	0.0	n.s.
C00008	ADP	-5.585	n.s.
C00007	Oxygen	8.082	<0.05
C00006	NADP+	-4.0	n.s.
C00003	NAD+	-2.222	n.s.
C00002	ATP	5.846	n.s.
