compound_code	compound_name	lactobacillus_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C02730	2-Succinylbenzoate	8.738	8.129	0.93	706.918	9.361	80.0
C00259	L-Arabinose	8.492	-7.768	0.605	578.009	-8.451	70.0
C00149	(S)-Malate	7.775	-9.918	0.226	1186.453	-8.069	70.0
C02430	L-Methionyl-tRNA	4.392	-8.886	0.044	494.095	-4.455	60.0
C14818	Fe2+	7.257	7.531	0.964	337.91	8.347	70.0
C00438	N-Carbamoyl-L-aspartate	-5.768	6.222	0.73	129.139	-6.559	50.0
C06126	Digalactosylceramide	9.755	6.966	0.714	989.086	9.464	80.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-9.899	5.0	0.034	986.764	-5.048	50.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-9.165	-8.626	0.688	969.117	-9.382	90.0
C01185	Nicotinate_D-ribonucleotide	8.875	-7.885	0.503	705.892	-8.473	80.0
C06128	GM4	9.443	6.672	0.707	797.997	9.139	70.0
C05751	trans-Oct-2-enoyl-[acp]	-7.788	7.304	0.715	379.039	-8.082	70.0
C05796	Galactan	10.016	8.757	0.874	1468.053	10.326	90.0
C00794	D-Sorbitol	10.812	-6.966	0.07	1922.798	-7.063	50.0
C00227	Acetyl_phosphate	-9.455	0.158	0.002	702.957	-0.16	60.0
C00226	Primary_alcohol	12.204	5.476	0.449	4762.64	11.061	90.0
C01236	D-Glucono-1,5-lactone_6-phosphate	8.683	-6.304	0.192	490.014	-6.558	50.0
C00221	beta-D-Glucose	-11.216	-10.936	0.824	4337.903	-11.803	90.0
C00385	Xanthine	-7.547	7.882	0.793	422.909	-8.389	70.0
C05223	Dodecanoyl-[acyl-carrier_protein]	-7.229	7.018	0.864	279.626	-7.916	60.0
C00229	Acyl-carrier_protein	-8.562	10.087	0.347	1465.587	-8.992	80.0
C16217	3-Hydroxyoctadecanoyl-CoA	-10.115	-9.99	0.917	2125.893	-10.929	90.0
C01801	Deoxyribose	11.244	6.285	0.559	2503.367	10.45	90.0
C00364	dTMP	-5.687	-4.307	0.384	71.312	-4.776	50.0
C00365	dUMP	-8.694	-6.035	0.158	479.719	-6.247	50.0
C00362	dGMP	-6.508	-6.637	0.914	190.539	-7.445	60.0
C00363	dTDP	10.311	9.476	0.919	1982.472	10.831	90.0
C00009	Orthophosphate	-7.516	-4.17	0.098	201.039	-4.305	60.0
C00008	ADP	-10.123	-7.026	0.117	1245.461	-7.185	60.0
C00006	NADP+	10.32	9.106	0.882	1829.325	10.657	90.0
C00005	NADPH	-10.706	-9.935	0.586	2649.314	-10.6	90.0
C00003	NAD+	6.206	7.048	0.881	206.153	7.504	60.0
C00002	ATP	-9.826	10.369	0.686	2230.107	-10.58	90.0
C00369	Starch	9.495	5.497	0.579	766.733	8.794	70.0
C05703	Methaneselenol	-11.05	-8.842	0.216	2579.111	-9.125	80.0
C00376	Retinal	-12.258	-5.476	0.009	4942.586	-5.489	50.0
C16619	6-Thioguanosine_monophosphate	-9.401	-9.408	0.995	1355.401	-10.398	90.0
C16618	6-Thioxanthine_5'-monophosphate	8.852	-7.459	0.381	638.028	-7.924	70.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-8.963	-9.809	0.556	1396.058	-9.601	90.0
C16614	6-Methylmercaptopurine	8.963	9.809	0.914	1396.058	10.317	90.0
C00645	N-Acetyl-D-mannosamine	-9.283	-3.293	0.016	632.763	-3.316	60.0
C00099	beta-Alanine	7.422	-7.889	0.723	408.534	-8.207	70.0
C01931	L-Lysyl-tRNA	-9.217	-9.162	0.963	1167.949	-10.135	90.0
C00314	Pyridoxine	12.079	4.248	0.352	4345.547	10.578	90.0
C00091	Succinyl-CoA	-11.34	8.527	0.142	2961.148	-8.719	80.0
C00092	D-Glucose_6-phosphate	-11.109	-9.507	0.329	2936.327	-9.918	90.0
C00093	sn-Glycerol_3-phosphate	6.316	8.044	0.785	343.6	8.076	70.0
C00095	D-Fructose	9.37	-8.416	0.516	1003.246	-9.016	80.0
C00096	GDP-mannose	11.291	7.614	0.674	2701.607	10.831	90.0
C00097	L-Cysteine	-9.925	-10.344	0.748	2271.86	-10.731	90.0
C14099	2-Naphthaldehyde	-12.204	-5.476	0.009	4762.64	-5.49	50.0
C15547	1,4-Dihydroxy-2-naphthoyl-CoA	-8.755	-7.16	0.331	575.046	-7.573	60.0
C14090	1-Naphthaldehyde	-12.204	-5.476	0.009	4762.64	-5.49	50.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	-9.29	8.966	0.799	1126.067	-9.813	90.0
C06196	2'-Deoxyinosine_5'-phosphate	-10.595	-8.771	0.282	1983.576	-9.13	80.0
C03232	3-Phosphonooxypyruvate	8.184	7.941	0.97	536.565	9.024	70.0
C00870	4-Nitrophenol	-9.165	-9.122	0.971	1131.217	-10.101	90.0
C02988	L-Histidyl-tRNA(His)	-7.693	-6.426	0.416	292.914	-6.927	50.0
C00163	Propanoate	9.897	-6.644	0.105	1053.451	-6.788	50.0
C02984	L-Aspartyl-tRNA(Asp)	-9.317	-10.01	0.619	1668.94	-10.012	90.0
C02987	L-Glutamyl-tRNA(Glu)	-9.416	-7.439	0.254	856.647	-7.766	60.0
C00169	Carbamoyl_phosphate	-8.67	-5.778	0.135	462.187	-5.96	50.0
C02047	L-Leucyl-tRNA	-8.581	-9.672	0.469	1198.706	-9.136	80.0
C03082	4-Phospho-L-aspartate	6.057	-4.361	0.309	87.128	-4.749	50.0
