compound_code	compound_name	escherichia_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	0.944	8.379	0.113	334.837	5.237	70.0
C00024	Acetyl-CoA	5.82	-12.297	0.011	5088.785	-5.836	90.0
C00148	L-Proline	0.737	7.354	0.1	165.263	4.05	70.0
C00026	2-Oxoglutarate	0.907	7.684	0.118	207.518	4.614	70.0
C06481	L-Seryl-tRNA(Sec)	1.0	-10.333	0.002	1291.861	-1.002	50.0
C00352	D-Glucosamine_6-phosphate	-1.415	-7.931	0.011	246.711	-1.431	60.0
C00022	Pyruvate	-5.431	-6.079	0.638	110.744	-6.143	90.0
C14899	3-Dehydro-L-gulonate_6-phosphate	-1.0	-8.214	0.007	298.934	-1.01	50.0
C00141	3-Methyl-2-oxobutanoic_acid	0.48	6.289	0.076	79.59	2.603	60.0
C00029	UDP-glucose	-0.7	-10.612	0.001	1566.682	-0.701	50.0
C00147	Adenine	0.222	7.808	0.028	225.267	2.679	60.0
C00144	GMP	-0.485	7.799	0.006	224.106	-0.494	50.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-1.585	-9.755	0.003	867.067	-1.59	70.0
C01101	L-Ribulose_5-phosphate	-0.918	7.168	0.013	145.697	-0.937	50.0
C00149	(S)-Malate	-4.503	7.775	0.104	241.707	-4.645	90.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	1.585	6.768	0.234	111.986	4.713	70.0
C00275	D-Mannose_6-phosphate	-1.322	-13.74	0.0	13684.581	-1.322	60.0
C05400	Epimelibiose	1.585	9.755	0.162	867.067	7.138	80.0
C05401	3-beta-D-Galactosyl-sn-glycerol	1.585	9.755	0.162	867.067	7.138	80.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	2.0	9.702	0.206	836.9	7.431	90.0
C02430	L-Methionyl-tRNA	2.0	4.392	0.455	24.995	3.509	60.0
C01762	Xanthosine	-1.222	9.073	0.004	540.906	-1.228	60.0
C00345	6-Phospho-D-gluconate	-1.0	10.07	0.002	1076.91	-1.003	50.0
