compound_code	compound_name	clostridium_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	0.898	6.542	0.137	95.047	3.706	60.0
C00068	Thiamin_diphosphate	-0.585	8.11	0.005	277.782	-0.593	70.0
C00286	dGTP	0.29	3.983	0.073	17.035	0.311	50.0
C05686	Adenylylselenate	-2.585	-7.366	0.0	0.0	0.0	50.0
C00129	Isopentenyl_diphosphate	-2.644	6.919	0.052	127.262	-2.717	90.0
C00063	CTP	0.29	10.745	0.027	1717.42	5.535	70.0
C00003	NAD+	-3.907	7.048	0.113	147.331	-4.062	90.0
C00002	ATP	0.241	10.369	0.023	1323.634	4.943	70.0
C00108	Anthranilate	2.07	-5.912	0.07	64.412	-2.167	80.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	3.0	-6.524	0.087	100.028	-3.12	90.0
C00026	2-Oxoglutarate	0.276	-8.517	0.003	367.541	-0.281	60.0
C00124	D-Galactose	4.318	10.266	0.421	1251.274	9.04	90.0
C00255	Riboflavin	-2.0	-7.276	0.0	0.0	0.0	50.0
C00458	dCTP	0.29	7.26	0.04	154.5	2.626	60.0
C00459	dTTP	0.322	-7.814	0.006	226.284	-0.33	60.0
C00558	D-Tagaturonate	-2.0	-6.15	0.0	0.0	0.0	50.0
C00091	Succinyl-CoA	-0.415	8.527	0.004	370.211	-0.42	60.0
C00197	3-Phospho-D-glycerate	1.045	9.564	0.109	758.985	6.374	90.0
C00191	D-Glucuronate	1.7	8.082	0.21	274.221	5.85	80.0
C00235	Dimethylallyl_diphosphate	-2.722	6.463	0.075	94.816	-2.826	90.0
C00097	L-Cysteine	2.385	-10.344	0.004	1304.957	-2.391	80.0
C00011	CO2	0.341	10.315	0.033	1275.135	5.398	70.0
C15972	Enzyme_N6-(lipoyl)lysine	2.0	-9.281	0.006	626.099	-2.009	80.0
C00111	Glycerone_phosphate	0.072	-6.556	0.011	95.143	-0.088	50.0
C05697	Selenate	2.585	7.366	0.351	170.963	5.907	80.0
C00333	D-Galacturonate	2.0	8.496	0.235	365.036	6.425	90.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-0.363	3.358	0.125	11.539	-0.533	70.0
C00118	D-Glyceraldehyde_3-phosphate	0.638	7.884	0.081	237.778	4.266	60.0
C00075	UTP	0.363	10.374	0.035	1328.33	5.539	80.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	-1.874	6.508	0.04	94.678	-1.931	70.0
C00857	Deamino-NAD+	4.459	8.061	0.553	289.05	7.321	90.0
C00046	RNA	-0.252	-10.127	0.0	0.0	0.0	50.0
C00044	GTP	-0.23	-9.833	0.0	0.0	0.0	50.0
