compound_code	compound_name	bacteroides_mock_score	clostridium_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	6.542	0.898	0.137	95.047	3.706	60.0
C00068	Thiamin_diphosphate	8.11	-0.585	0.005	277.782	-0.593	60.0
C00026	2-Oxoglutarate	-8.517	0.276	0.003	367.541	-0.281	50.0
C05686	Adenylylselenate	-7.366	-2.585	0.036	170.963	-2.637	80.0
C00129	Isopentenyl_diphosphate	6.919	-2.644	0.052	127.262	-2.717	90.0
C00063	CTP	10.745	0.29	0.027	1717.42	5.535	70.0
C00003	NAD+	7.048	-3.907	0.113	147.331	-4.062	90.0
C00002	ATP	10.369	0.241	0.023	1323.634	4.943	70.0
C00108	Anthranilate	-5.912	2.07	0.07	64.412	-2.167	80.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-6.524	3.0	0.087	100.028	-3.12	90.0
C00286	dGTP	3.983	0.29	0.073	17.035	0.311	50.0
C00124	D-Galactose	10.266	4.318	0.421	1251.274	9.04	90.0
C00255	Riboflavin	-7.276	-2.0	0.026	158.987	-2.037	70.0
C00458	dCTP	7.26	0.29	0.04	154.5	2.626	60.0
C00459	dTTP	-7.814	0.322	0.006	226.284	-0.33	50.0
C00558	D-Tagaturonate	-6.15	-2.0	0.056	75.012	-2.079	70.0
C00091	Succinyl-CoA	8.527	-0.415	0.004	370.211	-0.42	50.0
C00197	3-Phospho-D-glycerate	9.564	1.045	0.109	758.985	6.374	90.0
C00191	D-Glucuronate	8.082	1.7	0.21	274.221	5.85	80.0
C00235	Dimethylallyl_diphosphate	6.463	-2.722	0.075	94.816	-2.826	90.0
C00097	L-Cysteine	-10.344	2.385	0.004	1304.957	-2.391	80.0
C00011	CO2	10.315	0.341	0.033	1275.135	5.398	70.0
C15972	Enzyme_N6-(lipoyl)lysine	-9.281	2.0	0.006	626.099	-2.009	70.0
C00111	Glycerone_phosphate	-6.556	0.072	0.011	95.143	-0.088	50.0
C05697	Selenate	7.366	2.585	0.351	170.963	5.907	80.0
C00333	D-Galacturonate	8.496	2.0	0.235	365.036	6.425	90.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	3.358	-0.363	0.125	11.539	-0.533	60.0
C00118	D-Glyceraldehyde_3-phosphate	7.884	0.638	0.081	237.778	4.266	60.0
C00075	UTP	10.374	0.363	0.035	1328.33	5.539	80.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	6.508	-1.874	0.04	94.678	-1.931	60.0
C00857	Deamino-NAD+	8.061	4.459	0.553	289.05	7.321	90.0
C00046	RNA	-10.127	-0.252	0.001	1119.42	-0.254	50.0
C00044	GTP	-9.833	-0.23	0.001	913.242	-0.232	50.0
