compound_code	compound_name	lactobacillus_mock_score	clostridium_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	8.379	0.898	0.107	334.776	5.165	90.0
C00068	Thiamin_diphosphate	-8.647	-0.585	0.004	402.373	-0.59	50.0
C00286	dGTP	-11.582	0.29	0.0	3066.921	-0.291	60.0
C00124	D-Galactose	8.184	4.318	0.528	310.769	7.357	90.0
C00129	Isopentenyl_diphosphate	-4.773	-2.644	0.229	33.592	-2.941	80.0
C00063	CTP	10.118	0.29	0.029	1112.498	4.995	90.0
C00003	NAD+	6.206	-3.907	0.203	88.824	-4.174	90.0
C00002	ATP	-9.826	0.241	0.001	908.837	-0.243	70.0
C00026	2-Oxoglutarate	7.684	0.276	0.036	206.854	2.893	80.0
C00255	Riboflavin	7.57	-2.0	0.021	194.019	-2.03	70.0
C00458	dCTP	-10.452	0.29	0.001	1401.988	-0.291	60.0
C00459	dTTP	-9.854	0.322	0.001	926.693	-0.324	60.0
C00669	gamma-L-Glutamyl-L-cysteine	-9.562	-4.322	0.026	775.874	-4.36	90.0
C00091	Succinyl-CoA	-11.34	-0.415	0.001	2593.603	-0.416	50.0
C00197	3-Phospho-D-glycerate	-10.387	1.045	0.002	1341.119	-1.047	60.0
C00235	Dimethylallyl_diphosphate	4.881	-2.722	0.224	36.064	-3.013	80.0
C00097	L-Cysteine	-9.925	2.385	0.005	977.35	-2.393	70.0
C00011	CO2	-8.147	0.341	0.004	284.726	-0.347	50.0
C15972	Enzyme_N6-(lipoyl)lysine	-9.284	2.0	0.006	627.394	-2.009	70.0
C00111	Glycerone_phosphate	11.31	0.072	0.006	2539.973	4.015	80.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-11.189	-0.363	0.001	2335.951	-0.364	50.0
C00118	D-Glyceraldehyde_3-phosphate	-12.982	0.638	0.0	8091.982	-0.638	50.0
C00075	UTP	8.925	0.363	0.041	487.349	4.309	80.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	8.48	-1.874	0.01	360.72	-1.889	60.0
C00857	Deamino-NAD+	-6.87	4.459	0.188	138.964	-4.708	90.0
C00446	alpha-D-Galactose_1-phosphate	-8.316	-4.087	0.053	335.682	-4.162	80.0
C00527	Glutaryl-CoA	-7.864	-1.0	0.009	234.97	-1.012	60.0
C00046	RNA	-9.733	-0.252	0.001	852.182	-0.254	70.0
C00044	GTP	-10.082	-0.23	0.001	1085.061	-0.232	70.0
