compound_code	compound_name	escherichia_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C05335	L-Selenomethionine	-1.0	-7.077	0.015	137.017	-1.021	50.0
C00149	(S)-Malate	-4.503	-9.918	0.023	990.095	-4.536	90.0
C02430	L-Methionyl-tRNA	2.0	-8.886	0.008	477.1	-2.012	80.0
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-2.0	-5.044	0.121	36.991	-2.165	80.0
C00828	Menaquinone	-2.322	-8.618	0.013	397.895	-2.34	90.0
C00826	L-Arogenate	1.0	8.219	0.122	299.965	5.19	80.0
C06126	Digalactosylceramide	1.585	6.966	0.228	128.019	4.864	70.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	6.392	5.0	0.782	115.982	6.503	90.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-1.0	-8.626	0.005	397.08	-1.007	50.0
C01185	Nicotinate_D-ribonucleotide	1.138	-7.885	0.009	238.587	-1.151	60.0
C05796	Galactan	1.0	8.757	0.114	434.633	5.633	80.0
C00794	D-Sorbitol	-1.0	-6.966	0.016	127.019	-1.023	50.0
C00227	Acetyl_phosphate	-2.292	0.158	0.228	6.013	-0.454	60.0
C00226	Primary_alcohol	1.874	5.476	0.342	48.174	4.043	70.0
C00224	Adenylyl_sulfate	-1.0	-5.802	0.036	57.793	-1.051	60.0
C01236	D-Glucono-1,5-lactone_6-phosphate	-1.0	-6.304	0.025	81.012	-1.036	50.0
C00221	beta-D-Glucose	-1.0	-10.936	0.001	1961.134	-1.001	50.0
C00387	Guanosine	-1.28	6.87	0.021	119.399	-1.31	60.0
C01801	Deoxyribose	1.585	6.285	0.252	80.978	4.352	70.0
C00364	dTMP	1.222	-4.307	0.118	22.127	-1.383	70.0
C00363	dTDP	1.0	9.476	0.106	714.132	6.236	90.0
C00360	dAMP	1.222	-9.25	0.004	611.207	-1.228	60.0
C00008	ADP	-1.0	-7.026	0.015	132.328	-1.022	50.0
