compound_code	compound_name	escherichia_mock_score	clostridium_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	0.944	0.898	0.951	3.787	1.849	90.0
C00286	dGTP	-1.788	0.29	0.354	4.676	-0.727	60.0
C00124	D-Galactose	-1.3	4.318	0.123	22.408	-1.468	80.0
C00063	CTP	1.104	0.29	0.263	3.372	-0.175	60.0
C00003	NAD+	1.0	-3.907	0.133	17.001	-1.181	70.0
C00002	ATP	1.28	0.241	0.188	3.61	-0.557	50.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	1.0	3.0	0.333	10.0	1.737	90.0
C00026	2-Oxoglutarate	0.907	0.276	0.304	3.086	-0.091	60.0
C00255	Riboflavin	1.585	-2.0	0.75	7.0	-2.392	90.0
C00458	dCTP	-2.155	0.29	0.275	5.676	-0.64	50.0
C00459	dTTP	0.678	0.322	0.475	2.85	0.437	80.0
C00558	D-Tagaturonate	1.0	-2.0	0.5	6.0	-1.585	90.0
C00669	gamma-L-Glutamyl-L-cysteine	-1.585	-4.322	0.0	0.0	0.0	70.0
C00197	3-Phospho-D-glycerate	-2.445	1.045	0.379	7.509	-1.509	80.0
C00097	L-Cysteine	0.238	2.385	0.1	6.403	-0.646	50.0
C00011	CO2	7.978	0.341	0.043	253.392	3.437	90.0
C00111	Glycerone_phosphate	0.617	0.072	0.117	2.585	-1.729	90.0
C00118	D-Glyceraldehyde_3-phosphate	0.1	0.638	0.157	2.628	-1.28	70.0
C00075	UTP	1.415	0.363	0.257	3.953	0.02	80.0
C16254	[Dihydrolipoyllysine-residue_succinyltransferase]_S-succinyldihydrolipoyllysine	-1.0	-2.0	0.0	0.0	0.0	70.0
C00046	RNA	3.322	-0.252	0.119	11.191	-0.414	50.0
C00044	GTP	1.17	-0.23	0.521	3.423	-0.835	60.0
