Compound_code	Metabolite_name	Importance_score	p_value
C05528	3-Sulfopyruvate	-7.693	n.s.
C05527	3-Sulfinylpyruvate	0.0	n.s.
C20359	UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate	3.459	n.s.
C00149	(S)-Malate	4.459	n.s.
C00944	3-Dehydroquinate	-6.954	n.s.
C02430	L-Methionyl-tRNA	-3.585	n.s.
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-4.322	n.s.
C14819	Fe3+	-6.794	n.s.
C14818	Fe2+	6.794	n.s.
C00430	5-Aminolevulinate	-3.233	n.s.
C00436	N-Carbamoylputrescine	-2.807	n.s.
C00437	N-Acetylornithine	-4.818	n.s.
C01024	Hydroxymethylbilane	-1.585	n.s.
C00826	L-Arogenate	7.622	n.s.
C00534	Pyridoxamine	0.0	n.s.
C06126	Digalactosylceramide	8.028	n.s.
C01083	alpha,alpha-Trehalose	-8.873	n.s.
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	5.672	n.s.
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	5.248	n.s.
C01185	Nicotinate_D-ribonucleotide	5.261	n.s.
C01187	3-Deoxy-D-manno-octulosonate	0.0	n.s.
C00491	L-Cystine	7.459	n.s.
C15812	[Enzyme]-S-sulfanylcysteine	-7.807	n.s.
C06441	L-Xylulose_1-phosphate	6.524	n.s.
C15810	C15810	0.0	n.s.
C15811	[Enzyme]-cysteine	9.074	n.s.
C15814	C15814	0.0	n.s.
C05751	trans-Oct-2-enoyl-[acp]	6.15	n.s.
C05796	Galactan	7.901	n.s.
C03294	N-Formylmethionyl-tRNA	-8.098	n.s.
C05791	D-Urobilinogen	-4.392	n.s.
C00794	D-Sorbitol	-7.96	n.s.
C00793	D-Cysteine	7.022	n.s.
C00791	Creatinine	2.0	<0.05
C16219	3-Oxostearoyl-[acp]	-2.322	n.s.
C11538	Cobalt-sirohydrochlorin	-4.17	n.s.
C01233	sn-Glycero-3-phosphoethanolamine	8.281	n.s.
C00942	3',5'-Cyclic_GMP	-6.895	n.s.
C00224	Adenylyl_sulfate	2.0	n.s.
C01236	D-Glucono-1,5-lactone_6-phosphate	9.142	n.s.
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	8.028	n.s.
C00385	Xanthine	-5.867	n.s.
C00387	Guanosine	7.676	n.s.
C02504	alpha-Isopropylmalate	5.881	n.s.
C00229	Acyl-carrier_protein	6.781	n.s.
C11173	SN-38	-4.392	n.s.
C16396	2,4-Diamino-6-nitrotoluene	7.366	n.s.
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	0.0	n.s.
C00546	Methylglyoxal	-8.202	n.s.
C16399	2,4-Diamino-6-hydroxylaminotoluene	-7.366	n.s.
C16217	3-Hydroxyoctadecanoyl-CoA	-8.679	n.s.
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	9.95	<0.05
C05838	cis-2-Hydroxycinnamate	-9.95	<0.05
C00364	dTMP	-4.787	n.s.
C00365	dUMP	-6.949	n.s.
C00362	dGMP	-2.7	n.s.
C00360	dAMP	-9.581	<0.05
C00008	ADP	7.258	n.s.
C05831	3-Methoxyanthranilate	-6.476	n.s.
C00006	NADP+	-6.672	n.s.
C00005	NADPH	-5.459	n.s.
C00003	NAD+	-6.163	n.s.
C00002	ATP	8.749	<0.05
C00369	Starch	4.763	n.s.
C05703	Methaneselenol	-7.547	n.s.
C03589	4-Hydroxy-2-oxopentanoate	0.0	n.s.
C04088	Octadecanoyl-[acyl-carrier_protein]	-8.472	n.s.
C06507	Adenosyl_cobyrinate_hexaamide	4.459	n.s.
C00632	3-Hydroxyanthranilate	6.476	n.s.
C16619	6-Thioguanosine_monophosphate	-8.028	n.s.
C16618	6-Thioxanthine_5'-monophosphate	-7.877	n.s.
C02612	(R)-2-Methylmalate	8.063	n.s.
C04652	UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine	0.0	n.s.
C03741	(S)-4-Amino-5-oxopentanoate	0.0	n.s.
C02067	Pseudouridine	7.435	n.s.
C03742	(S)-4-Hydroxymandelonitrile	-9.95	<0.05
C00645	N-Acetyl-D-mannosamine	-5.895	n.s.
C00099	beta-Alanine	-2.0	n.s.
C00311	Isocitrate	-7.232	n.s.
C00310	D-Xylulose	9.028	n.s.
C00641	1,2-Diacyl-sn-glycerol	0.0	n.s.
C01931	L-Lysyl-tRNA	-7.697	n.s.
C00315	Spermidine	-0.322	n.s.
C00314	Pyridoxine	6.17	n.s.
C00763	D-Proline	-1.0	<0.05
C00092	D-Glucose_6-phosphate	-9.622	n.s.
C00093	sn-Glycerol_3-phosphate	-7.965	n.s.
C00094	Sulfite	-4.17	n.s.
C00095	D-Fructose	7.353	n.s.
C00096	GDP-mannose	6.599	n.s.
C00097	L-Cysteine	6.061	n.s.
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-6.566	n.s.
C07335	2-Amino-3-oxo-4-phosphonooxybutyrate	0.0	n.s.
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	7.994	n.s.
C00077	L-Ornithine	7.366	n.s.
C06196	2'-Deoxyinosine_5'-phosphate	-6.022	n.s.
C04732	5-Amino-6-(1-D-ribitylamino)uracil	4.322	n.s.
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	0.0	n.s.
C17401	Cobalt-factor_III	-3.0	<0.05
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	4.7	n.s.
C11949	3-Isopropylbut-3-enoyl-CoA	-4.7	n.s.
C00184	Glycerone	-6.829	n.s.
C06199	Hordenine	-6.476	n.s.
C05774	Cobinamide	8.353	n.s.
C07118	Benzoyl_acetyl-CoA	4.7	n.s.
C05773	Cobyrinate	5.358	n.s.
C05686	Adenylylselenate	-5.17	n.s.
C14762	13(S)-HODE	4.858	n.s.
C02470	Xanthurenic_acid	6.476	n.s.
C05778	Sirohydrochlorin	1.0	n.s.
C00166	Phenylpyruvate	-1.29	n.s.
C00167	UDP-glucuronate	-7.877	n.s.
C00160	Glycolate	-7.955	n.s.
C00180	Benzoate	-6.714	n.s.
C00162	Fatty_acid	-3.322	n.s.
C00163	Propanoate	9.101	n.s.
C02984	L-Aspartyl-tRNA(Asp)	-7.852	n.s.
C02985	L-Fucose_1-phosphate	0.0	n.s.
C00181	D-Xylose	-6.883	n.s.
C19878	D-glycero-alpha-D-manno-Heptose_7-phosphate	-5.129	n.s.
