compound_code	compound_name	parabacteroides_630_score	olsenella_630_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-5.789	0.585	0.027	56.792	-0.624	60.0
C00024	Acetyl-CoA	-3.6	-2.581	0.493	18.109	-3.16	60.0
C00148	L-Proline	2.536	1.585	0.625	8.8	2.459	70.0
C00026	2-Oxoglutarate	3.03	-0.915	0.231	10.054	-1.215	50.0
C06481	L-Seryl-tRNA(Sec)	-5.644	-3.807	0.28	64.002	-4.163	80.0
C00020	AMP	-2.038	0.322	0.304	5.357	-0.705	60.0
C00352	D-Glucosamine_6-phosphate	4.728	-0.553	0.055	27.969	-0.631	60.0
C00022	Pyruvate	3.014	-2.336	0.625	13.127	-3.036	50.0
C00143	5,10-Methylenetetrahydrofolate	-7.296	0.652	0.01	158.722	-0.666	60.0
C00141	3-Methyl-2-oxobutanoic_acid	5.196	-0.3	0.034	37.888	-0.348	60.0
C00029	UDP-glucose	3.853	1.737	0.451	17.783	3.003	70.0
C00147	Adenine	3.812	-0.252	0.085	15.236	-0.369	60.0
C00144	GMP	-3.869	0.637	0.106	16.166	-0.783	60.0
C01100	L-Histidinol_phosphate	5.358	3.369	0.629	51.344	5.013	80.0
C01103	Orotidine_5'-phosphate	-4.298	1.874	0.186	23.336	-2.121	50.0
C05528	3-Sulfopyruvate	-6.476	-3.322	0.112	99.017	-3.476	60.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	5.358	-2.807	0.171	48.011	-3.034	50.0
C00275	D-Mannose_6-phosphate	-4.087	-5.966	0.272	79.504	-4.434	80.0
C00944	3-Dehydroquinate	-3.858	1.585	0.207	17.5	-1.856	50.0
C03838	5'-Phosphoribosylglycinamide	-4.322	-3.0	0.4	28.001	-3.485	60.0
C05830	8-Methoxykynurenate	-4.459	-4.524	0.956	45.0	-5.427	90.0
C00021	S-Adenosyl-L-homocysteine	-4.883	-2.248	0.161	34.258	-2.463	50.0
C02430	L-Methionyl-tRNA	-4.248	-4.807	0.679	46.994	-4.995	90.0
C14819	Fe3+	-5.524	-4.7	0.565	72.006	-5.346	90.0
C14818	Fe2+	5.524	4.7	0.851	72.006	5.937	90.0
C00857	Deamino-NAD+	-2.322	1.0	0.4	7.0	-1.485	50.0
C00436	N-Carbamoylputrescine	4.907	-3.459	0.367	40.999	-3.91	70.0
C00459	dTTP	-4.559	3.682	0.544	36.407	-4.309	80.0
C00780	Serotonin	4.459	4.524	0.986	45.0	5.471	90.0
C00438	N-Carbamoyl-L-aspartate	3.115	0.585	0.188	10.164	0.933	60.0
C00826	L-Arogenate	5.392	3.322	0.616	51.991	5.001	80.0
C02442	N-Methyltyramine	4.459	4.524	0.986	45.0	5.471	90.0
C00101	Tetrahydrofolate	6.508	0.344	0.053	92.282	2.286	70.0
