compound_code	compound_name	lactobacillus_630_score	cd630_streptomycin_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-3.322	-9.347	0.0	0.0	0.0	50.0
C00149	(S)-Malate	5.426	1.415	0.261	45.659	3.574	60.0
C00944	3-Dehydroquinate	1.585	-3.17	0.333	12.001	-2.0	70.0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	11.379	5.285	0.464	2702.291	10.294	90.0
C02430	L-Methionyl-tRNA	-8.155	-4.585	0.0	0.0	0.0	50.0
C14819	Fe3+	-4.7	-8.755	0.0	0.0	0.0	50.0
C14818	Fe2+	7.044	8.755	0.805	563.998	8.826	90.0
C00438	N-Carbamoyl-L-aspartate	-4.209	-5.17	0.0	0.0	0.0	50.0
C00826	L-Arogenate	3.322	2.807	0.845	16.999	3.844	70.0
C01181	4-Trimethylammoniobutanoate	-3.0	-2.807	0.0	0.0	0.0	50.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-9.796	4.17	0.02	906.977	-4.199	70.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-8.011	5.555	0.182	304.973	-5.797	80.0
C01185	Nicotinate_D-ribonucleotide	8.56	6.276	0.733	454.906	8.382	80.0
C15812	[Enzyme]-S-sulfanylcysteine	-8.6	-6.714	0.0	0.0	0.0	50.0
C15811	[Enzyme]-cysteine	9.472	7.033	0.743	841.121	9.287	90.0
C16688	Sucrose_6-phosphate	-10.677	-1.0	0.0	0.0	0.0	50.0
C05752	Octanoyl-[acp]	-7.741	5.755	0.252	267.935	-6.08	90.0
C00794	D-Sorbitol	-5.883	8.912	0.123	540.718	-6.05	90.0
C00506	L-Cysteate	3.322	9.347	0.355	661.22	7.877	80.0
C00227	Acetyl_phosphate	-8.495	-3.236	0.0	0.0	0.0	50.0
C00226	Primary_alcohol	11.713	10.223	0.873	4552.27	11.956	90.0
C00221	beta-D-Glucose	-10.157	5.044	0.029	1174.716	-5.085	80.0
C00385	Xanthine	-6.404	-5.14	0.0	0.0	0.0	50.0
C00387	Guanosine	8.296	6.109	0.736	383.323	8.141	80.0
C02504	alpha-Isopropylmalate	1.17	0.874	0.747	4.083	1.609	60.0
C00229	Acyl-carrier_protein	-3.807	-1.585	0.0	0.0	0.0	50.0
C01801	Deoxyribose	10.267	4.0	0.39	1248.182	8.926	90.0
C00364	dTMP	-7.558	-5.087	0.0	0.0	0.0	50.0
C00365	dUMP	-7.122	3.7	0.093	152.291	-3.829	70.0
C00363	dTDP	9.379	-4.248	0.029	684.826	-4.289	70.0
C00009	Orthophosphate	-8.781	-5.728	0.0	0.0	0.0	50.0
C00008	ADP	-10.357	-6.62	0.0	0.0	0.0	50.0
C00006	NADP+	10.437	-5.807	0.04	1442.263	-5.864	80.0
C00003	NAD+	-4.632	-3.415	0.0	0.0	0.0	50.0
C00002	ATP	-9.427	6.552	0.136	782.182	-6.736	90.0
C00369	Starch	8.586	8.058	0.939	650.778	9.254	90.0
C05703	Methaneselenol	-10.171	-9.048	0.0	0.0	0.0	50.0
C00079	L-Phenylalanine	6.767	-1.972	0.036	112.834	-2.023	70.0
C16619	6-Thioguanosine_monophosphate	-9.289	-6.322	0.0	0.0	0.0	50.0
C16618	6-Thioxanthine_5'-monophosphate	8.765	2.585	0.295	441.039	7.023	70.0
C02612	(R)-2-Methylmalate	3.392	1.585	0.467	13.498	2.657	60.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-8.738	-4.644	0.0	0.0	0.0	50.0
C16614	6-Methylmercaptopurine	8.738	4.644	0.531	451.975	7.908	80.0
C00645	N-Acetyl-D-mannosamine	-8.753	-5.983	0.0	0.0	0.0	50.0
C00644	D-Mannitol_1-phosphate	-4.524	7.109	0.167	161.052	-4.746	80.0
C00311	Isocitrate	1.772	0.488	0.275	4.818	0.408	60.0
C00310	D-Xylulose	-3.7	-2.585	0.0	0.0	0.0	50.0
C00641	1,2-Diacyl-sn-glycerol	8.071	-3.945	0.057	284.315	-4.025	70.0
C01931	L-Lysyl-tRNA	-9.776	-7.257	0.0	0.0	0.0	50.0
C01528	Hydrogen_selenide	-9.874	-10.043	0.0	0.0	0.0	50.0
C00091	Succinyl-CoA	-10.237	7.38	0.138	1373.396	-7.567	90.0
C00092	D-Glucose_6-phosphate	-9.688	-7.999	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	8.003	5.724	0.715	309.389	7.79	80.0
C00095	D-Fructose	9.073	-7.811	0.417	763.14	-8.314	90.0
C00097	L-Cysteine	-7.238	6.465	0.585	239.298	-7.13	90.0
C14099	2-Naphthaldehyde	-11.713	-10.223	0.0	0.0	0.0	50.0
C05729	R-S-Cysteinylglycine	6.129	8.276	0.741	379.96	8.136	80.0
C00433	2,5-Dioxopentanoate	3.0	2.807	0.936	14.998	3.811	60.0
C14090	1-Naphthaldehyde	-11.713	-10.223	0.0	0.0	0.0	50.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	-9.127	4.392	0.038	580.11	-4.445	80.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-8.311	4.845	0.09	346.325	-4.97	80.0
C05172	Selenophosphoric_acid	-3.17	2.322	0.556	14.001	-2.959	70.0
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	7.451	2.807	0.377	181.973	6.099	70.0
C11949	3-Isopropylbut-3-enoyl-CoA	-7.451	-2.807	0.0	0.0	0.0	50.0
C07118	Benzoyl_acetyl-CoA	7.451	2.807	0.377	181.973	6.099	70.0
C00166	Phenylpyruvate	-0.195	6.647	0.011	101.363	-0.211	60.0
C00167	UDP-glucuronate	-3.907	-4.7	0.0	0.0	0.0	50.0
C00160	Glycolate	-7.507	8.208	0.615	477.602	-8.199	90.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-6.352	4.392	0.257	102.68	-4.722	80.0
C00162	Fatty_acid	3.0	2.807	0.936	14.998	3.811	60.0
C00163	Propanoate	9.333	7.913	0.848	885.949	9.553	90.0
C02984	L-Aspartyl-tRNA(Asp)	-9.847	-6.248	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-9.267	-5.17	0.0	0.0	0.0	50.0
C03263	Coproporphyrinogen_III	2.0	5.728	0.349	57.003	4.315	70.0
C02047	L-Leucyl-tRNA	-9.881	-6.615	0.0	0.0	0.0	50.0
C03082	4-Phospho-L-aspartate	-4.278	-4.858	0.0	0.0	0.0	50.0
C04377	5,10-Methylenetetrahydromethanopterin	-10.673	-7.087	0.0	0.0	0.0	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	5.459	6.087	0.897	111.965	6.65	70.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-4.441	-6.84	0.0	0.0	0.0	50.0
C00860	L-Histidinol	-3.0	-3.585	0.0	0.0	0.0	50.0
C02962	D-Allose_6-phosphate	3.907	7.17	0.545	159.009	6.437	70.0
C00864	Pantothenate	7.547	4.322	0.573	207.015	6.889	70.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	3.322	1.17	0.352	12.251	2.109	60.0
C01419	Cys-Gly	6.129	8.276	0.741	379.96	8.136	80.0
C01149	4-Trimethylammoniobutanal	3.0	2.807	0.936	14.998	3.811	60.0
C01412	Butanal	11.441	11.199	0.979	5131.156	12.294	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-9.575	-5.672	0.0	0.0	0.0	50.0
C03406	N-(L-Arginino)succinate	6.807	-5.129	0.313	146.966	-5.521	80.0
C05512	Deoxyinosine	7.394	5.816	0.787	224.533	7.464	80.0
C07645	Aldophosphamide	11.379	5.285	0.464	2702.291	10.294	90.0
C07648	Thioguanine	8.738	4.644	0.531	451.975	7.908	80.0
C00288	HCO3-	8.31	6.721	0.809	422.858	8.418	90.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	8.817	-5.728	0.118	504.008	-5.888	80.0
C05269	3-Oxohexanoyl-CoA	-3.0	-11.029	0.0	0.0	0.0	50.0
C18096	D-Allulose_6-phosphate	-3.907	-7.17	0.0	0.0	0.0	50.0
C00269	CDP-diacylglycerol	-3.858	-2.585	0.0	0.0	0.0	50.0
