compound_code	compound_name	lactobacillus_630_score	clostridium_630_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	8.048	2.766	0.344	271.463	6.544	80.0
C00024	Acetyl-CoA	-10.705	-2.609	0.0	0.0	0.0	50.0
C00148	L-Proline	7.289	-3.787	0.088	170.193	-3.909	80.0
C00026	2-Oxoglutarate	6.449	-4.224	0.214	106.053	-4.504	90.0
C06481	L-Seryl-tRNA(Sec)	-9.658	-4.858	0.0	0.0	0.0	50.0
C00020	AMP	8.394	-0.115	0.003	337.475	-0.12	60.0
C00352	D-Glucosamine_6-phosphate	-9.615	-0.737	0.0	0.0	0.0	50.0
C00022	Pyruvate	-9.441	-4.284	0.0	0.0	0.0	50.0
C00143	5,10-Methylenetetrahydrofolate	-3.81	4.592	0.582	38.143	-4.471	90.0
C00141	3-Methyl-2-oxobutanoic_acid	7.29	1.566	0.215	159.459	5.098	70.0
C00029	UDP-glucose	-10.913	4.689	0.013	1953.943	-4.708	90.0
C00147	Adenine	7.535	0.149	0.02	186.573	1.883	60.0
C00144	GMP	8.609	-1.399	0.007	393.089	-1.409	70.0
C01100	L-Histidinol_phosphate	3.369	0.737	0.219	11.998	1.392	60.0
C05528	3-Sulfopyruvate	-3.322	-4.644	0.0	0.0	0.0	50.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	9.793	-1.585	0.003	890.129	-1.59	70.0
C00275	D-Mannose_6-phosphate	-11.701	3.907	0.005	3344.294	-3.913	80.0
C00944	3-Dehydroquinate	1.585	-3.322	0.3	13.001	-1.964	70.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	6.539	-2.0	0.043	96.99	-2.061	70.0
C05400	Epimelibiose	10.684	1.0	0.094	1647.146	7.268	80.0
C00021	S-Adenosyl-L-homocysteine	8.266	-4.19	0.059	326.084	-4.273	80.0
C05402	Melibiose	8.794	-0.737	0.004	445.539	-0.742	60.0
C02430	L-Methionyl-tRNA	-8.155	-2.807	0.0	0.0	0.0	50.0
C00666	LL-2,6-Diaminoheptanedioate	-7.107	3.716	0.095	150.995	-3.847	80.0
C05729	R-S-Cysteinylglycine	6.129	5.209	0.85	106.975	6.506	80.0
C00458	dCTP	-8.236	3.585	0.04	313.497	-3.641	80.0
C03232	3-Phosphonooxypyruvate	5.916	1.138	0.192	62.581	3.59	70.0
C05684	Selenite	10.79	9.765	0.905	2640.65	11.223	90.0
C00099	beta-Alanine	5.508	4.261	0.774	64.679	5.645	70.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	-0.737	2.858	0.23	8.917	-1.036	70.0
C05726	S-Substituted_L-cysteine	-6.129	-5.209	0.0	0.0	0.0	50.0
C06126	Digalactosylceramide	10.684	1.0	0.094	1647.146	7.268	80.0
C00416	Phosphatidate	-8.123	-5.476	0.0	0.0	0.0	50.0
C00705	dCDP	7.732	4.03	0.521	228.937	6.899	80.0
C03090	5-Phosphoribosylamine	5.406	-4.379	0.491	63.207	-4.955	90.0
C01181	4-Trimethylammoniobutanoate	-3.0	-3.0	0.0	0.0	0.0	50.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-9.796	5.248	0.043	926.978	-5.308	90.0
