compound_code	compound_name	clostridium_630_score	lactobacillus_630_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	2.766	8.048	0.344	271.463	6.544	80.0
C00024	Acetyl-CoA	-2.609	-10.705	0.004	1675.369	-2.614	50.0
C00148	L-Proline	-3.787	7.289	0.088	170.193	-3.909	60.0
C05528	3-Sulfopyruvate	-4.644	-3.322	0.4	35.003	-3.807	60.0
C06481	L-Seryl-tRNA(Sec)	-4.858	-9.658	0.036	836.882	-4.909	80.0
C00020	AMP	-0.115	8.394	0.003	337.475	-0.12	60.0
C00352	D-Glucosamine_6-phosphate	-0.737	-9.615	0.002	785.824	-0.74	60.0
C00022	Pyruvate	-4.284	-9.441	0.028	714.544	-4.324	70.0
C00143	5,10-Methylenetetrahydrofolate	4.592	-3.81	0.582	38.143	-4.471	70.0
C00141	3-Methyl-2-oxobutanoic_acid	1.566	7.29	0.215	159.459	5.098	70.0
C00029	UDP-glucose	4.689	-10.913	0.013	1953.943	-4.708	80.0
C00147	Adenine	0.149	7.535	0.02	186.573	1.883	60.0
C00144	GMP	-1.399	8.609	0.007	393.089	-1.409	50.0
C01100	L-Histidinol_phosphate	0.737	3.369	0.219	11.998	1.392	60.0
C00026	2-Oxoglutarate	-4.224	6.449	0.214	106.053	-4.504	70.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	-1.585	9.793	0.003	890.129	-1.59	50.0
C00275	D-Mannose_6-phosphate	3.907	-11.701	0.005	3344.294	-3.913	60.0
C00944	3-Dehydroquinate	-3.322	1.585	0.3	13.001	-1.964	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.0	6.539	0.043	96.99	-2.061	50.0
C05400	Epimelibiose	1.0	10.684	0.094	1647.146	7.268	80.0
C00344	Phosphatidylglycerol	2.0	7.516	0.266	187.038	5.637	70.0
C05402	Melibiose	-0.737	8.794	0.004	445.539	-0.742	60.0
C02430	L-Methionyl-tRNA	-2.807	-8.155	0.025	292.034	-2.842	50.0
C05729	R-S-Cysteinylglycine	5.209	6.129	0.85	106.975	6.506	80.0
C00433	2,5-Dioxopentanoate	3.0	3.0	1.0	16.0	4.0	70.0
C03232	3-Phosphonooxypyruvate	1.138	5.916	0.192	62.581	3.59	70.0
C05684	Selenite	9.765	10.79	0.905	2640.65	11.223	90.0
C00099	beta-Alanine	4.261	5.508	0.774	64.679	5.645	70.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	2.858	-0.737	0.23	8.917	-1.036	50.0
C05726	S-Substituted_L-cysteine	-5.209	-6.129	0.529	106.975	-5.821	90.0
C06126	Digalactosylceramide	1.0	10.684	0.094	1647.146	7.268	80.0
C00416	Phosphatidate	-5.476	-8.123	0.16	323.291	-5.69	80.0
C00705	dCDP	4.03	7.732	0.521	228.937	6.899	80.0
C03090	5-Phosphoribosylamine	-4.379	5.406	0.491	63.207	-4.955	80.0
C01181	4-Trimethylammoniobutanoate	-3.0	-3.0	1.0	16.0	-4.0	60.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	5.248	-9.796	0.043	926.978	-5.308	80.0
C00232	Succinate_semialdehyde	-6.052	-3.954	0.234	81.847	-4.257	70.0
C06002	(S)-Methylmalonate_semialdehyde	3.0	-1.0	0.25	10.0	-1.322	50.0
C01185	Nicotinate_D-ribonucleotide	-3.17	8.56	0.024	386.413	-3.204	50.0
C02637	3-Dehydroshikimate	2.807	-3.459	0.636	17.995	-3.518	50.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	-2.248	3.322	0.475	14.751	-2.809	50.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	3.0	-8.466	0.023	361.606	-3.032	50.0
C00159	D-Mannose	-1.0	11.233	0.001	2408.966	-1.001	60.0
C00818	D-Glucarate	1.585	-3.0	0.375	11.0	-2.044	50.0
C00014	Ammonia	6.096	7.98	0.764	320.879	7.937	90.0
C05980	Cardiolipin	-2.0	-7.948	0.016	250.937	-2.023	50.0
C00054	Adenosine_3',5'-bisphosphate	-4.728	-8.418	0.077	368.536	-4.836	80.0
C02336	beta-D-Fructose	2.632	8.994	0.293	516.074	7.239	80.0
C05823	3-Mercaptolactate	-6.977	-12.847	0.017	7493.683	-7.001	90.0
