compound_code	compound_name	cumulative_metabolite_score	consumption_score	production_score	percentile
C02730	2-Succinylbenzoate	8.67905631883	8.679	0.0	80.0
C05528	3-Sulfopyruvate	-9.61698874291	0.0	-9.617	90.0
C16470	5-Methylhex-4-enoyl-CoA	5.931	5.931	0.0	60.0
C00148	L-Proline	9.36368066488	9.394	-3.787	80.0
C16242	Cobalt-precorrin_5A	-2.0	0.0	-2.0	50.0
C16243	Cobalt-precorrin_5B	-2.0	0.0	-2.0	50.0
C00026	2-Oxoglutarate	-3.94091021922	6.971	-7.138	50.0
C00944	3-Dehydroquinate	-4.7814122452	2.585	-5.066	50.0
C05356	5(S)-HPETE	5.0	5.0	0.0	60.0
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	4.62079109596	7.257	-7.004	50.0
C02430	L-Methionyl-tRNA	-8.61110602807	0.0	-8.611	80.0
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-2.58508234058	2.0	-3.322	50.0
C14819	Fe3+	-9.04993513587	0.0	-9.05	80.0
C00433	2,5-Dioxopentanoate	4.95411617433	4.954	0.0	50.0
C00431	5-Aminopentanoate	-10.362	0.0	-10.362	90.0
C00436	N-Carbamoylputrescine	3.00159617243	4.907	-4.459	50.0
C00437	N-Acetylornithine	5.00454341357	5.088	-0.926	60.0
C01451	Salicin	4.248	4.248	0.0	50.0
C00438	N-Carbamoyl-L-aspartate	-5.42062321774	3.544	-5.768	60.0
C00826	L-Arogenate	6.10831608954	6.108	0.0	60.0
C02442	N-Methyltyramine	6.08761958113	6.088	0.0	60.0
C06126	Digalactosylceramide	10.7212349383	10.721	0.0	90.0
C01181	4-Trimethylammoniobutanoate	-4.95411617433	0.0	-4.954	60.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-9.71248040692	5.807	-9.806	90.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-7.69311031894	5.673	-8.011	70.0
C01185	Nicotinate_D-ribonucleotide	8.83384979579	8.868	-3.459	80.0
C06128	GM4	8.543	8.543	0.0	80.0
C00491	L-Cystine	8.44698090427	8.447	0.0	80.0
C15812	[Enzyme]-S-sulfanylcysteine	-8.94546014682	0.0	-8.945	80.0
C06441	L-Xylulose_1-phosphate	4.7	4.7	0.0	50.0
C00350	Phosphatidylethanolamine	-3.97	0.0	-3.97	50.0
C15811	[Enzyme]-cysteine	9.73152594991	9.732	0.0	90.0
C05751	trans-Oct-2-enoyl-[acp]	-7.39252334063	0.0	-7.393	70.0
C16688	Sucrose_6-phosphate	-10.6787613357	2.0	-10.682	90.0
C00493	Shikimate	-1.047	0.617	-1.848	50.0
C14145	(3S)-3-Hydroxyadipyl-CoA	10.8515755095	10.852	0.0	90.0
C00794	D-Sorbitol	9.43524133728	9.63	-6.644	90.0
C03921	2-Dehydro-3-deoxy-D-glucarate	-3.322	0.0	-3.322	50.0
C01089	(R)-3-Hydroxybutanoate	4.087	4.087	0.0	50.0
C16219	3-Oxostearoyl-[acp]	10.2493990755	10.31	-5.7	90.0
C05552	Biocytin	-9.669	0.0	-9.669	90.0
C00507	L-Rhamnose	5.392	5.392	0.0	60.0
C00227	Acetyl_phosphate	-8.53259173355	0.387	-8.538	80.0
C00226	Primary_alcohol	12.1711008979	12.171	0.0	90.0
C01236	D-Glucono-1,5-lactone_6-phosphate	9.333	9.333	0.0	80.0
C00221	beta-D-Glucose	-10.1615076991	5.614	-10.222	90.0
C00385	Xanthine	-6.93789092667	3.565	-7.071	70.0
C00387	Guanosine	8.71303189335	8.729	-2.222	80.0
C02504	alpha-Isopropylmalate	2.66288252498	2.663	0.0	50.0
C02505	2-Phenylacetamide	7.34	7.34	0.0	70.0
C00229	Acyl-carrier_protein	9.06035859635	9.193	-5.686	80.0
C00882	Dephospho-CoA	-7.89504834488	3.807	-7.977	80.0
C03539	S-Ribosyl-L-homocysteine	9.42378915023	9.473	-4.585	90.0
C16396	2,4-Diamino-6-nitrotoluene	9.816	9.816	0.0	90.0
C15996	7-Cyano-7-carbaguanine	3.624	3.624	0.0	50.0
C00546	Methylglyoxal	-7.89486758761	0.0	-7.895	80.0
C16399	2,4-Diamino-6-hydroxylaminotoluene	-9.816	0.0	-9.816	90.0
C00508	L-Ribulose	-6.74161016956	0.0	-6.742	70.0
C00366	Urate	-5.358	0.0	-5.358	60.0
C01801	Deoxyribose	10.2982676796	10.298	0.0	90.0
C00364	dTMP	-7.8637711007	2.7	-7.903	70.0
C00365	dUMP	-7.35751073164	4.012	-7.493	70.0
C00362	dGMP	8.31707452878	8.381	-3.858	80.0
C16244	Cobalt-precorrin_7	1.0	1.0	0.0	50.0
C00009	Orthophosphate	-9.06310942302	0.0	-9.063	80.0
C00361	dGDP	11.3096563062	11.362	-6.543	90.0
C00007	Oxygen	8.55409469485	8.7	-5.322	80.0
