compound_code	compound_name	olsenella_630_score	bacteroides_630_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	0.585	-3.427	0.139	12.256	-0.773	70.0
C00024	Acetyl-CoA	-2.581	1.97	0.655	9.901	-2.697	80.0
C00026	2-Oxoglutarate	-0.915	4.904	0.063	31.826	-1.003	70.0
C00021	S-Adenosyl-L-homocysteine	-2.248	-6.148	0.0	0.0	0.0	50.0
C00352	D-Glucosamine_6-phosphate	-0.553	-0.515	0.0	0.0	0.0	50.0
C00022	Pyruvate	-2.336	-1.121	0.0	0.0	0.0	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-0.3	-0.547	0.0	0.0	0.0	50.0
C00147	Adenine	-0.252	-4.409	0.0	0.0	0.0	50.0
C00343	Thioredoxin_disulfide	-3.807	-5.672	0.0	0.0	0.0	50.0
C02430	L-Methionyl-tRNA	-4.807	-4.807	0.0	0.0	0.0	50.0
C06311	Galactitol_1-phosphate	-5.334	-2.322	0.0	0.0	0.0	50.0
C04039	2,3-Dihydroxy-3-methylbutanoate	3.322	1.0	0.301	12.0	1.853	70.0
C00438	N-Carbamoyl-L-aspartate	0.585	0.585	1.0	3.0	1.585	70.0
C06250	Holo-[carboxylase]	-3.907	8.969	0.03	516.117	-3.95	90.0
C00231	D-Xylulose_5-phosphate	-3.54	-0.107	0.0	0.0	0.0	50.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	3.322	0.7	0.211	11.625	1.293	70.0
C00011	CO2	4.674	0.787	0.168	27.253	2.198	70.0
C00014	Ammonia	3.17	-3.116	0.963	17.67	-4.089	90.0
C00015	UDP	1.0	4.7	0.213	27.992	2.574	70.0
C00019	S-Adenosyl-L-methionine	0.807	5.889	0.137	61.01	3.064	70.0
C00153	Nicotinamide	-3.7	-5.375	0.0	0.0	0.0	50.0
C00152	L-Asparagine	3.807	-1.256	0.171	16.385	-1.483	70.0
C00294	Inosine	3.7	4.807	0.77	40.989	4.98	90.0
C05345	beta-D-Fructose_6-phosphate	3.936	3.005	0.763	23.334	4.155	80.0
C03511	L-Phenylalanyl-tRNA(Phe)	-3.322	-0.585	0.0	0.0	0.0	50.0
C00385	Xanthine	2.17	-3.858	0.31	19.0	-2.56	80.0
C00387	Guanosine	3.7	4.807	0.77	40.989	4.98	90.0
C00229	Acyl-carrier_protein	-3.0	9.116	0.014	562.868	-3.021	90.0
C03125	L-Cysteinyl-tRNA(Cys)	-3.0	-1.0	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-3.322	-5.17	0.0	0.0	0.0	50.0
C00365	dUMP	1.648	-1.874	0.855	6.799	-2.539	80.0
C00008	ADP	1.322	5.102	0.259	36.844	3.255	80.0
C00002	ATP	2.054	4.735	0.434	30.783	3.739	80.0
C00369	Starch	-3.426	5.746	0.2	64.416	-3.689	90.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	1.585	-1.807	0.857	6.499	-2.478	80.0
C00256	(R)-Lactate	3.807	2.807	0.737	20.995	3.952	80.0
C05336	Selenomethionyl-tRNA(Met)	-4.807	-4.807	0.0	0.0	0.0	50.0
C05335	L-Selenomethionine	4.0	4.807	0.832	43.993	5.194	90.0
C00310	D-Xylulose	-3.7	-4.322	0.0	0.0	0.0	50.0
C01931	L-Lysyl-tRNA	-3.585	-5.209	0.0	0.0	0.0	50.0
C00886	L-Alanyl-tRNA	-4.087	-2.322	0.0	0.0	0.0	50.0
C00092	D-Glucose_6-phosphate	-4.285	2.17	0.231	23.995	-2.47	80.0
C00498	ADP-glucose	-3.799	-3.841	0.0	0.0	0.0	50.0
C00095	D-Fructose	-1.222	-3.459	0.0	0.0	0.0	50.0
C00097	L-Cysteine	-2.263	0.222	0.243	5.966	-0.536	60.0
C00079	L-Phenylalanine	0.097	0.17	0.571	2.195	0.324	60.0
C00073	L-Methionine	2.248	2.954	0.761	12.499	3.25	80.0
C00074	Phosphoenolpyruvate	-3.165	-1.963	0.0	0.0	0.0	50.0
C00075	UTP	3.479	4.931	0.706	41.656	4.877	90.0
C00620	alpha-D-Ribose_1-phosphate	4.392	1.585	0.361	23.995	3.114	80.0
C00085	D-Fructose_6-phosphate	4.41	-4.857	0.734	50.239	-5.204	90.0
C00242	Guanine	1.803	-4.104	0.203	20.685	-2.07	80.0
C03785	D-Tagatose_1,6-bisphosphate	-3.536	-2.585	0.0	0.0	0.0	50.0
C00407	L-Isoleucine	-0.263	3.0	0.15	9.2	-0.465	60.0
C00183	L-Valine	0.222	0.222	1.0	2.333	1.222	60.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	0.637	-0.637	1.0	3.11	-1.637	70.0
C01097	D-Tagatose_6-phosphate	1.379	2.585	0.533	8.601	2.198	70.0
C01094	D-Fructose_1-phosphate	5.007	0.585	0.117	33.656	1.975	70.0
C00169	Carbamoyl_phosphate	4.829	1.369	0.283	31.006	3.136	80.0
C00106	Uracil	-2.433	5.096	0.158	39.602	-2.644	80.0
C00342	Thioredoxin	3.807	5.358	0.711	55.009	5.289	90.0
C00105	UMP	0.807	0.657	0.814	3.326	1.437	70.0
C00103	D-Glucose_1-phosphate	1.959	-1.888	0.952	7.589	-2.853	90.0
C00063	CTP	3.08	4.165	0.739	26.395	4.287	80.0
C00062	L-Arginine	-4.248	0.363	0.068	20.287	-0.457	60.0
C00064	L-Glutamine	-3.763	2.12	0.32	17.923	-2.521	80.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	3.322	0.7	0.211	11.625	1.293	70.0
C00577	D-Glyceraldehyde	-5.358	-0.585	0.0	0.0	0.0	50.0
C00279	D-Erythrose_4-phosphate	4.077	0.531	0.13	18.322	1.255	70.0
C00361	dGDP	1.585	-6.08	0.044	70.649	-1.648	80.0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	5.0	2.322	0.464	37.0	4.103	80.0
C00668	alpha-D-Glucose_6-phosphate	-2.056	-3.658	0.0	0.0	0.0	50.0
C03402	L-Asparaginyl-tRNA(Asn)	-1.222	-1.585	0.0	0.0	0.0	50.0
C00666	LL-2,6-Diaminoheptanedioate	-4.446	-1.874	0.0	0.0	0.0	50.0
C00179	Agmatine	3.459	-1.0	0.182	12.997	-1.241	70.0
C03406	N-(L-Arginino)succinate	-3.807	-2.585	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	-3.858	-0.447	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	-1.58	-0.011	0.0	0.0	0.0	50.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-4.087	-1.0	0.0	0.0	0.0	50.0
C00112	CDP	-3.322	5.672	0.196	60.985	-3.58	90.0
C00354	D-Fructose_1,6-bisphosphate	-2.907	2.737	0.889	14.167	-3.655	90.0
C00118	D-Glyceraldehyde_3-phosphate	-0.726	2.693	0.256	8.121	-1.055	70.0
C00262	Hypoxanthine	2.585	-3.858	0.414	20.5	-3.085	90.0
C01172	beta-D-Glucose_6-phosphate	-2.268	-0.12	0.0	0.0	0.0	50.0
C00267	alpha-D-Glucose	2.933	-7.521	0.042	191.311	-2.992	90.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-3.585	3.322	0.833	22.001	-4.196	90.0
C00460	dUTP	0.585	2.07	0.283	5.699	0.688	60.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-1.222	-2.585	0.0	0.0	0.0	50.0
C00181	D-Xylose	3.7	4.392	0.842	33.991	4.84	90.0
C00120	Biotin	3.907	5.426	0.72	57.993	5.384	90.0
C00122	Fumarate	-2.907	4.481	0.336	29.832	-3.325	90.0
C00286	dGTP	-1.807	4.644	0.14	28.502	-1.996	80.0
C00327	L-Citrulline	-5.488	2.585	0.134	50.88	-2.766	80.0
C00206	dADP	-1.585	-5.102	0.0	0.0	0.0	50.0
C02412	Glycyl-tRNA(Gly)	-3.087	-8.326	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	3.682	-3.737	0.963	26.169	-4.655	90.0
