compound_code	compound_name	olsenella_630_score	lactobacillus_630_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-3.322	-3.322	1.0	20.001	-4.322	80.0
C00944	3-Dehydroquinate	1.585	1.585	1.0	6.0	2.585	60.0
C05356	5(S)-HPETE	4.0	4.0	1.0	32.0	5.0	70.0
C02430	L-Methionyl-tRNA	-4.807	-8.155	0.098	313.029	-4.942	90.0
C14819	Fe3+	-4.7	-4.7	1.0	51.984	-5.7	90.0
C14818	Fe2+	4.7	7.044	0.667	157.956	6.72	80.0
C00436	N-Carbamoylputrescine	-3.459	-3.459	1.0	21.993	-4.459	80.0
C00438	N-Carbamoyl-L-aspartate	0.585	-4.209	0.081	19.994	-0.698	50.0
C00826	L-Arogenate	3.322	3.322	1.0	20.001	4.322	70.0
C01181	4-Trimethylammoniobutanoate	-3.0	-3.0	1.0	16.0	-4.0	80.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-1.585	-9.796	0.003	891.976	-1.59	50.0
C01185	Nicotinate_D-ribonucleotide	-1.0	8.56	0.005	379.413	-1.008	50.0
C15811	[Enzyme]-cysteine	3.17	9.472	0.335	719.16	7.911	90.0
C16688	Sucrose_6-phosphate	-2.0	-10.677	0.002	1641.183	-2.004	50.0
C16219	3-Oxostearoyl-[acp]	6.209	9.518	0.652	807.145	9.04	90.0
C00227	Acetyl_phosphate	-0.496	-8.495	0.004	362.196	-0.502	50.0
C00226	Primary_alcohol	4.807	11.713	0.41	3385.094	10.44	90.0
C00221	beta-D-Glucose	4.0	-10.157	0.014	1157.725	-4.02	80.0
C00385	Xanthine	2.17	-6.404	0.053	89.183	-2.245	50.0
C00387	Guanosine	3.7	8.296	0.446	327.296	7.19	80.0
C02504	alpha-Isopropylmalate	1.17	1.17	1.0	4.5	2.17	60.0
C00229	Acyl-carrier_protein	-3.0	-3.807	0.572	21.997	-3.652	70.0
C05841	Nicotinate_D-ribonucleoside	3.7	8.572	0.432	393.561	7.408	90.0
C00366	Urate	-4.358	-4.358	1.0	41.013	-5.358	90.0
C02291	L-Cystathionine	3.17	7.748	0.409	223.972	6.518	80.0
C00364	dTMP	-2.585	-7.558	0.032	194.445	-2.63	50.0
C00365	dUMP	1.648	-7.122	0.022	142.429	-1.68	50.0
C00362	dGMP	1.807	8.366	0.216	333.425	6.17	70.0
C00363	dTDP	-3.0	9.379	0.012	673.825	-3.017	60.0
C00009	Orthophosphate	-3.17	-8.781	0.02	448.891	-3.199	60.0
C00008	ADP	1.322	-10.357	0.002	1313.998	-1.325	50.0
C05831	3-Methoxyanthranilate	-4.524	-4.524	1.0	46.014	-5.524	90.0
