compound_code	compound_name	olsenella_630_score	cd630_streptomycin_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-3.322	-9.347	0.015	661.22	-3.344	60.0
C00944	3-Dehydroquinate	1.585	-3.17	0.333	12.001	-2.0	50.0
C02430	L-Methionyl-tRNA	-4.807	-4.585	0.857	51.994	-5.478	90.0
C14819	Fe3+	-4.7	-8.755	0.06	458.026	-4.784	90.0
C14818	Fe2+	4.7	8.755	0.537	458.026	7.942	90.0
C00438	N-Carbamoyl-L-aspartate	0.585	-5.17	0.042	37.502	-0.644	60.0
C00826	L-Arogenate	3.322	2.807	0.845	16.999	3.844	70.0
C01181	4-Trimethylammoniobutanoate	-3.0	-2.807	0.875	14.998	-3.714	70.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-1.585	4.17	0.167	21.001	-1.807	50.0
C01185	Nicotinate_D-ribonucleotide	-1.0	6.276	0.026	79.493	-1.037	50.0
C15811	[Enzyme]-cysteine	3.17	7.033	0.451	139.962	5.979	90.0
C16688	Sucrose_6-phosphate	-2.0	-1.0	0.5	6.0	-1.585	50.0
C00506	L-Cysteate	3.322	9.347	0.355	661.22	7.877	90.0
C00227	Acetyl_phosphate	-0.496	-3.236	0.15	10.832	-0.697	60.0
C00226	Primary_alcohol	4.807	10.223	0.47	1223.163	9.168	90.0
C00221	beta-D-Glucose	4.0	5.044	0.793	48.991	5.28	80.0
C00385	Xanthine	2.17	-5.14	0.128	39.761	-2.343	50.0
C00387	Guanosine	3.7	6.109	0.606	82.019	5.634	80.0
C02504	alpha-Isopropylmalate	1.17	0.874	0.747	4.083	1.609	60.0
C00229	Acyl-carrier_protein	-3.0	-1.585	0.375	11.0	-2.044	50.0
C02291	L-Cystathionine	3.17	5.392	0.588	50.991	4.906	80.0
C00364	dTMP	-2.585	-5.087	0.177	39.989	-2.82	60.0
C00365	dUMP	1.648	3.7	0.445	16.13	2.845	70.0
C00363	dTDP	-3.0	-4.248	0.421	27.001	-3.507	70.0
C00009	Orthophosphate	-3.17	-5.728	0.17	62.003	-3.396	70.0
C00008	ADP	1.322	-6.62	0.025	100.86	-1.358	50.0
