compound_code	compound_name	bacteroides_630_score	olsenella_630_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-3.427	0.585	0.139	12.256	-0.773	50.0
C00024	Acetyl-CoA	1.97	-2.581	0.655	9.901	-2.697	70.0
C00026	2-Oxoglutarate	4.904	-0.915	0.063	31.826	-1.003	50.0
C00021	S-Adenosyl-L-homocysteine	-6.148	-2.248	0.067	75.664	-2.342	60.0
C00352	D-Glucosamine_6-phosphate	-0.515	-0.553	0.974	2.896	-1.496	50.0
C00022	Pyruvate	-1.121	-2.336	0.431	7.224	-1.638	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-0.547	-0.3	0.843	2.692	-1.182	50.0
C00147	Adenine	-4.409	-0.252	0.056	22.435	-0.331	60.0
C00343	Thioredoxin_disulfide	-5.672	-3.807	0.275	64.982	-4.157	90.0
C02430	L-Methionyl-tRNA	-4.807	-4.807	1.0	55.986	-5.807	90.0
C06311	Galactitol_1-phosphate	-2.322	-5.334	0.124	45.336	-2.491	70.0
C04039	2,3-Dihydroxy-3-methylbutanoate	1.0	3.322	0.301	12.0	1.853	70.0
C00438	N-Carbamoyl-L-aspartate	0.585	0.585	1.0	3.0	1.585	70.0
C06250	Holo-[carboxylase]	8.969	-3.907	0.03	516.117	-3.95	90.0
C00231	D-Xylulose_5-phosphate	-0.107	-3.54	0.093	12.709	-0.235	60.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	0.7	3.322	0.211	11.625	1.293	70.0
C00011	CO2	0.787	4.674	0.168	27.253	2.198	70.0
C00014	Ammonia	-3.116	3.17	0.963	17.67	-4.089	90.0
C00015	UDP	4.7	1.0	0.213	27.992	2.574	70.0
C00019	S-Adenosyl-L-methionine	5.889	0.807	0.137	61.01	3.064	70.0
C00153	Nicotinamide	-5.375	-3.7	0.313	54.495	-4.093	90.0
C00152	L-Asparagine	-1.256	3.807	0.171	16.385	-1.483	50.0
C00294	Inosine	4.807	3.7	0.77	40.989	4.98	90.0
C05345	beta-D-Fructose_6-phosphate	3.005	3.936	0.763	23.334	4.155	80.0
C03511	L-Phenylalanyl-tRNA(Phe)	-0.585	-3.322	0.15	11.501	-0.787	50.0
C00385	Xanthine	-3.858	2.17	0.31	19.0	-2.56	70.0
C00387	Guanosine	4.807	3.7	0.77	40.989	4.98	90.0
C00229	Acyl-carrier_protein	9.116	-3.0	0.014	562.868	-3.021	80.0
C03125	L-Cysteinyl-tRNA(Cys)	-1.0	-3.0	0.25	10.0	-1.322	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-5.17	-3.322	0.278	46.002	-3.676	80.0
C00365	dUMP	-1.874	1.648	0.855	6.799	-2.539	70.0
C00008	ADP	5.102	1.322	0.259	36.844	3.255	80.0
C00002	ATP	4.735	2.054	0.434	30.783	3.739	80.0
C00369	Starch	5.746	-3.426	0.2	64.416	-3.689	90.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-1.807	1.585	0.857	6.499	-2.478	70.0
C00256	(R)-Lactate	2.807	3.807	0.737	20.995	3.952	80.0
C05336	Selenomethionyl-tRNA(Met)	-4.807	-4.807	1.0	55.986	-5.807	90.0
C05335	L-Selenomethionine	4.807	4.0	0.832	43.993	5.194	90.0
C00310	D-Xylulose	-4.322	-3.7	0.65	32.997	-4.422	90.0
C01931	L-Lysyl-tRNA	-5.209	-3.585	0.324	48.989	-3.99	90.0
C00886	L-Alanyl-tRNA	-2.322	-4.087	0.294	21.995	-2.694	70.0
C00092	D-Glucose_6-phosphate	2.17	-4.285	0.231	23.995	-2.47	60.0
C00498	ADP-glucose	-3.841	-3.799	0.971	28.249	-4.778	90.0
C00095	D-Fructose	-3.459	-1.222	0.212	13.329	-1.5	50.0
C00097	L-Cysteine	0.222	-2.263	0.243	5.966	-0.536	60.0
C00079	L-Phenylalanine	0.17	0.097	0.571	2.195	0.324	60.0
C00073	L-Methionine	2.954	2.248	0.761	12.499	3.25	80.0
C00074	Phosphoenolpyruvate	-1.963	-3.165	0.435	12.868	-2.484	70.0
C00075	UTP	4.931	3.479	0.706	41.656	4.877	90.0
C00620	alpha-D-Ribose_1-phosphate	1.585	4.392	0.361	23.995	3.114	80.0
C00085	D-Fructose_6-phosphate	-4.857	4.41	0.734	50.239	-5.204	90.0
C00242	Guanine	-4.104	1.803	0.203	20.685	-2.07	60.0
C03785	D-Tagatose_1,6-bisphosphate	-2.585	-3.536	0.517	17.6	-3.186	80.0
C00407	L-Isoleucine	3.0	-0.263	0.15	9.2	-0.465	60.0
C00183	L-Valine	0.222	0.222	1.0	2.333	1.222	60.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-0.637	0.637	1.0	3.11	-1.637	50.0
C01097	D-Tagatose_6-phosphate	2.585	1.379	0.533	8.601	2.198	70.0
C01094	D-Fructose_1-phosphate	0.585	5.007	0.117	33.656	1.975	70.0
C00169	Carbamoyl_phosphate	1.369	4.829	0.283	31.006	3.136	80.0
C00106	Uracil	5.096	-2.433	0.158	39.602	-2.644	70.0
C00342	Thioredoxin	5.358	3.807	0.711	55.009	5.289	90.0
C00105	UMP	0.657	0.807	0.814	3.326	1.437	70.0
C00103	D-Glucose_1-phosphate	-1.888	1.959	0.952	7.589	-2.853	70.0
C00063	CTP	4.165	3.08	0.739	26.395	4.287	80.0
C00062	L-Arginine	0.363	-4.248	0.068	20.287	-0.457	60.0
C00064	L-Glutamine	2.12	-3.763	0.32	17.923	-2.521	70.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	0.7	3.322	0.211	11.625	1.293	70.0
C00577	D-Glyceraldehyde	-0.585	-5.358	0.037	42.513	-0.637	50.0
C00279	D-Erythrose_4-phosphate	0.531	4.077	0.13	18.322	1.255	70.0
C00361	dGDP	-6.08	1.585	0.044	70.649	-1.648	60.0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	2.322	5.0	0.464	37.0	4.103	80.0
C00668	alpha-D-Glucose_6-phosphate	-3.658	-2.056	0.329	16.781	-2.467	60.0
C03402	L-Asparaginyl-tRNA(Asn)	-1.585	-1.222	0.778	5.333	-2.052	60.0
C00666	LL-2,6-Diaminoheptanedioate	-1.874	-4.446	0.168	25.462	-2.098	60.0
C00179	Agmatine	-1.0	3.459	0.182	12.997	-1.241	50.0
C03406	N-(L-Arginino)succinate	-2.585	-3.807	0.429	19.997	-3.1	80.0
C00117	D-Ribose_5-phosphate	-0.447	-3.858	0.094	15.863	-0.577	50.0
C00111	Glycerone_phosphate	-0.011	-1.58	0.337	3.997	-0.43	60.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-1.0	-4.087	0.118	18.995	-1.161	50.0
C00112	CDP	5.672	-3.322	0.196	60.985	-3.58	80.0
C00354	D-Fructose_1,6-bisphosphate	2.737	-2.907	0.889	14.167	-3.655	80.0
C00118	D-Glyceraldehyde_3-phosphate	2.693	-0.726	0.256	8.121	-1.055	50.0
C00262	Hypoxanthine	-3.858	2.585	0.414	20.5	-3.085	80.0
C01172	beta-D-Glucose_6-phosphate	-0.12	-2.268	0.226	5.903	-0.414	60.0
C00267	alpha-D-Glucose	-7.521	2.933	0.042	191.311	-2.992	80.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	3.322	-3.585	0.833	22.001	-4.196	90.0
C00460	dUTP	2.07	0.585	0.283	5.699	0.688	60.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-2.585	-1.222	0.389	8.333	-1.696	60.0
C00181	D-Xylose	4.392	3.7	0.842	33.991	4.84	90.0
C00120	Biotin	5.426	3.907	0.72	57.993	5.384	90.0
C00122	Fumarate	4.481	-2.907	0.336	29.832	-3.325	80.0
C00286	dGTP	4.644	-1.807	0.14	28.502	-1.996	60.0
C00327	L-Citrulline	2.585	-5.488	0.134	50.88	-2.766	70.0
C00206	dADP	-5.102	-1.585	0.087	37.344	-1.706	60.0
C02412	Glycyl-tRNA(Gly)	-8.326	-3.087	0.026	329.402	-3.125	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	-3.737	3.682	0.963	26.169	-4.655	90.0
C02554	L-Valyl-tRNA(Val)	-1.0	-3.585	0.167	14.0	-1.222	50.0
C03150	Nicotinamide-beta-riboside	5.375	3.7	0.688	54.495	5.229	90.0
C00458	dCTP	4.733	-1.441	0.102	29.309	-1.581	50.0
C00459	dTTP	4.829	3.682	0.762	41.258	4.975	90.0
C00197	3-Phospho-D-glycerate	-0.271	3.51	0.106	12.599	-0.416	60.0
C00212	Adenosine	5.375	3.7	0.688	54.495	5.229	90.0
C00036	Oxaloacetate	1.552	-0.694	0.552	4.55	-1.328	50.0
C00037	Glycine	4.231	-0.619	0.082	20.314	-0.732	50.0
C01697	Galactitol	2.322	5.334	0.435	45.336	4.303	80.0
C00035	GDP	5.358	2.087	0.39	45.261	4.14	80.0
C00031	D-Glucose	5.201	4.503	0.866	59.458	5.686	90.0
C00332	Acetoacetyl-CoA	2.536	-0.893	0.32	7.657	-1.294	50.0
C00130	IMP	-1.879	0.737	0.453	5.345	-1.276	50.0
C02984	L-Aspartyl-tRNA(Asp)	-1.0	-3.322	0.2	12.0	-1.263	50.0
C01050	UDP-N-acetylmuramate	3.961	2.147	0.542	20.002	3.439	80.0
C01762	Xanthosine	4.409	3.7	0.839	34.24	4.845	90.0
C00631	2-Phospho-D-glycerate	-0.176	0.047	0.914	2.163	-0.984	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-2.433	-1.17	0.417	7.65	-1.673	60.0
C00042	Succinate	0.979	2.807	0.349	8.969	1.645	70.0
C00041	L-Alanine	0.737	2.322	0.317	6.667	1.081	60.0
C00047	L-Lysine	4.248	3.585	0.844	31.001	4.709	90.0
C00046	RNA	-4.8	-2.954	0.278	35.607	-3.308	80.0
C00044	GTP	-3.672	-2.976	0.617	20.614	-3.67	80.0
C00204	2-Dehydro-3-deoxy-D-gluconate	1.807	-2.322	0.7	8.499	-2.572	70.0
C00049	L-Aspartate	-2.884	1.113	0.293	9.545	-1.484	50.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-3.781	-2.0	0.291	17.747	-2.368	60.0
