compound_code	compound_name	parabacteroides_630_score	lactobacillus_630_score	ratio	magnitude	interaction_score	percentile
C02730	2-Succinylbenzoate	4.807	8.577	0.56	409.88	7.844	80.0
C05528	3-Sulfopyruvate	-6.476	-3.322	0.0	0.0	0.0	50.0
C00149	(S)-Malate	-2.752	5.426	0.157	49.729	-2.962	70.0
C00944	3-Dehydroquinate	-3.858	1.585	0.207	17.5	-1.856	70.0
C02430	L-Methionyl-tRNA	-4.248	-8.155	0.0	0.0	0.0	50.0
C14819	Fe3+	-5.524	-4.7	0.0	0.0	0.0	50.0
C14818	Fe2+	5.524	7.044	0.784	177.978	7.125	80.0
C00436	N-Carbamoylputrescine	4.907	-3.459	0.367	40.999	-3.91	80.0
C00438	N-Carbamoyl-L-aspartate	3.115	-4.209	0.468	27.158	-3.669	80.0
C00826	L-Arogenate	5.392	3.322	0.616	51.991	5.001	70.0
C06126	Digalactosylceramide	5.358	10.684	0.501	1686.159	9.724	90.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-1.585	-9.796	0.0	0.0	0.0	50.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	2.0	-8.011	0.016	261.959	-2.022	70.0
C01185	Nicotinate_D-ribonucleotide	3.632	8.56	0.424	389.811	7.37	80.0
C03160	2-Succinylbenzoyl-CoA	1.0	3.7	0.27	14.996	2.019	60.0
C05796	Galactan	6.098	9.89	0.617	1017.325	9.293	90.0
C00794	D-Sorbitol	-5.358	-5.883	0.0	0.0	0.0	50.0
C16219	3-Oxostearoyl-[acp]	8.852	9.518	0.93	1195.248	10.118	90.0
C00227	Acetyl_phosphate	0.387	-8.495	0.004	362.094	-0.392	60.0
C00221	beta-D-Glucose	-5.716	-10.157	0.0	0.0	0.0	50.0
C00385	Xanthine	2.459	-6.404	0.065	90.181	-2.55	70.0
C00387	Guanosine	-2.222	8.296	0.015	318.966	-2.243	70.0
C00229	Acyl-carrier_protein	4.931	-3.807	0.459	44.502	-4.352	80.0
C00288	HCO3-	-5.209	8.31	0.117	354.354	-5.368	90.0
C16217	3-Hydroxyoctadecanoyl-CoA	-9.033	-9.687	0.0	0.0	0.0	50.0
C02291	L-Cystathionine	6.15	7.748	0.794	285.984	7.827	80.0
C00364	dTMP	2.7	-7.558	0.034	194.943	-2.749	70.0
C00365	dUMP	-4.183	-7.122	0.0	0.0	0.0	50.0
C00362	dGMP	-3.858	8.366	0.044	344.426	-3.92	80.0
C00363	dTDP	5.883	9.379	0.627	724.84	8.829	90.0
C00009	Orthophosphate	-4.858	-8.781	0.0	0.0	0.0	50.0
C00008	ADP	2.585	-10.357	0.005	1317.498	-2.592	70.0
C05831	3-Methoxyanthranilate	-4.459	-4.524	0.0	0.0	0.0	50.0
C05830	8-Methoxykynurenate	-4.459	-4.524	0.0	0.0	0.0	50.0
C00003	NAD+	-2.415	-4.632	0.0	0.0	0.0	50.0
C00002	ATP	5.839	-9.427	0.083	745.593	-5.954	90.0
C00369	Starch	4.508	8.586	0.525	407.029	7.739	80.0
C05703	Methaneselenol	-4.977	-10.171	0.0	0.0	0.0	50.0
C16619	6-Thioguanosine_monophosphate	-5.524	-9.289	0.0	0.0	0.0	50.0
C16618	6-Thioxanthine_5'-monophosphate	3.459	8.765	0.395	446.035	7.46	80.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-5.585	-8.738	0.0	0.0	0.0	50.0
C16614	6-Methylmercaptopurine	5.585	8.738	0.639	474.974	8.246	80.0
C00099	beta-Alanine	-2.585	5.508	0.132	51.507	-2.764	70.0
C00310	D-Xylulose	-6.492	-3.7	0.0	0.0	0.0	50.0
C01931	L-Lysyl-tRNA	-6.022	-9.776	0.0	0.0	0.0	50.0
C01528	Hydrogen_selenide	-4.907	-9.874	0.0	0.0	0.0	50.0
C00091	Succinyl-CoA	-5.857	-10.237	0.0	0.0	0.0	50.0
C00092	D-Glucose_6-phosphate	7.766	-9.688	0.264	1042.527	-8.104	90.0
C00093	sn-Glycerol_3-phosphate	5.129	8.003	0.641	291.526	7.546	80.0
C00095	D-Fructose	-5.322	9.073	0.074	578.576	-5.425	90.0
C00096	GDP-mannose	2.35	9.47	0.248	714.274	7.47	80.0
C00097	L-Cysteine	3.988	-7.238	0.105	166.825	-4.132	80.0
C06311	Galactitol_1-phosphate	-3.222	-5.334	0.0	0.0	0.0	50.0
C15547	1,4-Dihydroxy-2-naphthoyl-CoA	-4.858	-8.622	0.0	0.0	0.0	50.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	5.044	-9.127	0.059	592.106	-5.127	90.0
C06196	2'-Deoxyinosine_5'-phosphate	-6.229	-9.428	0.0	0.0	0.0	50.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-8.537	-8.311	0.0	0.0	0.0	50.0
C06199	Hordenine	-4.459	-4.524	0.0	0.0	0.0	50.0
C14762	13(S)-HODE	4.644	10.811	0.43	1821.536	9.612	90.0
C14765	13-OxoODE	-4.644	-10.811	0.0	0.0	0.0	50.0
C00166	Phenylpyruvate	4.206	-0.195	0.062	19.6	-0.282	60.0
C00167	UDP-glucuronate	-6.229	-3.907	0.0	0.0	0.0	50.0
C02988	L-Histidyl-tRNA(His)	-5.459	-8.401	0.0	0.0	0.0	50.0
C00163	Propanoate	5.322	9.333	0.57	684.933	8.609	90.0
C02987	L-Glutamyl-tRNA(Glu)	-6.728	-9.267	0.0	0.0	0.0	50.0
C03263	Coproporphyrinogen_III	4.7	2.0	0.426	29.992	3.674	60.0
C02047	L-Leucyl-tRNA	-5.17	-9.881	0.0	0.0	0.0	50.0
C03082	4-Phospho-L-aspartate	-4.217	-4.278	0.0	0.0	0.0	50.0
C04377	5,10-Methylenetetrahydromethanopterin	-9.243	-10.673	0.0	0.0	0.0	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	3.0	5.459	0.55	51.987	4.836	70.0
C00860	L-Histidinol	-5.358	-3.0	0.0	0.0	0.0	50.0
C02962	D-Allose_6-phosphate	5.672	3.907	0.689	65.986	5.506	70.0
C00864	Pantothenate	-3.7	7.547	0.069	200.01	-3.797	80.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	-3.82	3.322	0.708	24.124	-4.094	80.0
C01419	Cys-Gly	5.209	6.129	0.85	106.975	6.506	70.0
C03360	4-Nitrophenyl_phosphate	5.248	8.011	0.655	295.961	7.599	80.0
C01412	Butanal	4.644	11.441	0.406	2805.255	10.153	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-5.728	-9.575	0.0	0.0	0.0	50.0
C03406	N-(L-Arginino)succinate	-6.15	6.807	0.634	182.985	-6.859	90.0
C07648	Thioguanine	5.585	8.738	0.639	474.974	8.246	80.0
C01962	Thiocysteine	-6.15	-7.748	0.0	0.0	0.0	50.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-3.585	8.817	0.027	463.005	-3.623	80.0
C18096	D-Allulose_6-phosphate	-5.672	-3.907	0.0	0.0	0.0	50.0
C00269	CDP-diacylglycerol	-2.121	-3.858	0.0	0.0	0.0	50.0
C00506	L-Cysteate	4.248	3.322	0.782	29.001	4.503	60.0
C18259	1-Methoxypyrene	-4.459	-4.524	0.0	0.0	0.0	50.0
C00263	L-Homoserine	-0.329	-2.902	0.0	0.0	0.0	50.0
C00262	Hypoxanthine	2.544	-7.746	0.027	220.505	-2.583	70.0
C00508	L-Ribulose	-5.858	-5.615	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	9.033	9.687	0.932	1348.132	10.296	90.0
C00267	alpha-D-Glucose	2.775	7.542	0.368	193.211	6.152	70.0
C00266	Glycolaldehyde	-5.066	-5.392	0.0	0.0	0.0	50.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-6.768	-7.039	0.0	0.0	0.0	50.0
C00460	dUTP	-1.926	8.028	0.015	264.817	-1.947	70.0
C00286	dGTP	-0.143	-11.027	0.0	0.0	0.0	50.0
C00407	L-Isoleucine	2.536	-6.845	0.05	120.761	-2.607	70.0
C00327	L-Citrulline	6.459	8.639	0.748	486.63	8.507	80.0
C05427	Phytyl_diphosphate	4.392	8.397	0.523	358.088	7.549	80.0
C00063	CTP	6.133	8.839	0.694	528.116	8.517	80.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	5.322	3.17	0.596	49.002	4.867	70.0
C04051	5-Amino-4-imidazolecarboxyamide	-5.426	-10.133	0.0	0.0	0.0	50.0
C01209	Malonyl-[acyl-carrier_protein]	4.319	5.066	0.853	53.457	5.51	70.0
C02492	1,4-beta-D-Mannan	4.954	-9.47	0.044	740.172	-5.016	90.0
C00217	D-Glutamate	-1.503	6.552	0.03	96.666	-1.546	60.0
C00214	Thymidine	-3.17	-8.706	0.0	0.0	0.0	50.0
C00212	Adenosine	-3.524	7.743	0.054	225.731	-3.599	80.0
C05840	Iminoaspartate	3.585	3.585	1.0	24.001	4.585	70.0
C05841	Nicotinate_D-ribonucleoside	3.459	8.572	0.404	391.562	7.304	80.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-3.907	-6.833	0.0	0.0	0.0	50.0
C00031	D-Glucose	5.637	6.687	0.843	152.799	7.009	70.0
C00137	myo-Inositol	-5.358	-9.107	0.0	0.0	0.0	50.0
C00135	L-Histidine	5.17	7.371	0.701	201.538	7.143	80.0
C00134	Putrescine	-3.7	-8.109	0.0	0.0	0.0	50.0
C00133	D-Alanine	3.0	11.283	0.266	2499.847	9.377	90.0
C00131	dATP	-3.655	9.941	0.013	995.564	-3.673	80.0
C00130	IMP	-3.524	-7.201	0.0	0.0	0.0	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	4.624	-6.187	0.338	97.515	-5.045	90.0
C00042	Succinate	6.693	7.17	0.933	247.473	7.852	80.0
C00041	L-Alanine	-1.503	-6.71	0.0	0.0	0.0	50.0
C00047	L-Lysine	4.17	8.375	0.498	349.992	7.445	80.0
C00046	RNA	-5.631	-9.383	0.0	0.0	0.0	50.0
C00044	GTP	-4.486	-9.874	0.0	0.0	0.0	50.0
C00049	L-Aspartate	-2.2	5.445	0.105	48.157	-2.345	70.0
C06481	L-Seryl-tRNA(Sec)	-5.644	-9.658	0.0	0.0	0.0	50.0
C01101	L-Ribulose_5-phosphate	5.322	2.865	0.538	47.287	4.67	70.0
C01100	L-Histidinol_phosphate	5.358	3.369	0.629	51.344	5.013	70.0
C01103	Orotidine_5'-phosphate	-4.298	2.322	0.254	24.671	-2.649	70.0
C02888	Sorbose_1-phosphate	-4.644	-10.811	0.0	0.0	0.0	50.0
C03684	6-Pyruvoyltetrahydropterin	-4.858	-3.807	0.0	0.0	0.0	50.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	-3.82	3.322	0.708	24.124	-4.094	80.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	4.672	-8.466	0.072	379.099	-4.772	90.0
C05345	beta-D-Fructose_6-phosphate	5.425	10.036	0.541	1092.836	9.206	90.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	5.358	10.684	0.501	1686.159	9.724	90.0
C00036	Oxaloacetate	5.54	6.372	0.869	129.352	6.813	70.0
C05223	Dodecanoyl-[acyl-carrier_protein]	5.788	-7.741	0.258	269.184	-6.119	90.0
C00037	Glycine	8.689	9.857	0.882	1340.084	10.206	90.0
C16698	N-Acetylmuramic_acid_6-phosphate	-4.954	-3.322	0.0	0.0	0.0	50.0
C00035	GDP	2.485	-9.944	0.006	990.612	-2.493	70.0
C00253	Nicotinate	-6.261	-8.706	0.0	0.0	0.0	50.0
C00251	Chorismate	-3.17	1.322	0.278	11.501	-1.676	70.0
C18260	1,6-Dimethoxypyrene	-4.459	-4.524	0.0	0.0	0.0	50.0
C00255	Riboflavin	-5.285	6.426	0.453	124.973	-5.824	90.0
C05336	Selenomethionyl-tRNA(Met)	-5.459	-9.209	0.0	0.0	0.0	50.0
C00258	D-Glycerate	-1.322	5.82	0.044	58.993	-1.384	60.0
C00259	L-Arabinose	-3.322	5.615	0.204	59.01	-3.59	80.0
C00559	Deoxyadenosine	2.939	-7.394	0.046	175.865	-3.003	70.0
C00491	L-Cystine	6.15	7.748	0.794	285.984	7.827	80.0
C00886	L-Alanyl-tRNA	-6.229	-9.063	0.0	0.0	0.0	50.0
C00882	Dephospho-CoA	1.585	-7.814	0.013	228.034	-1.604	70.0
C00078	L-Tryptophan	-4.644	8.405	0.074	363.969	-4.747	90.0
C00079	L-Phenylalanine	-1.632	6.767	0.028	112.01	-1.672	70.0
C00073	L-Methionine	-2.655	3.931	0.413	21.551	-3.154	70.0
C00077	L-Ornithine	-4.17	-3.644	0.0	0.0	0.0	50.0
C00074	Phosphoenolpyruvate	-7.257	-7.954	0.0	0.0	0.0	50.0
C00075	UTP	5.052	9.51	0.531	762.288	8.662	90.0
C00085	D-Fructose_6-phosphate	-3.322	8.942	0.02	501.825	-3.351	80.0
C00082	L-Tyrosine	-3.863	5.063	0.435	47.979	-4.384	80.0
C00081	ITP	4.087	-6.741	0.159	123.96	-4.3	80.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	1.585	-5.807	0.054	58.986	-1.66	70.0
C03175	Shikimate_3-phosphate	-3.17	-0.585	0.0	0.0	0.0	50.0
C00089	Sucrose	-3.585	-9.371	0.0	0.0	0.0	50.0
C04646	6-Thioinosine-5'-monophosphate	-3.907	-5.248	0.0	0.0	0.0	50.0
C02218	Dehydroalanine	-4.524	-9.109	0.0	0.0	0.0	50.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	4.231	9.554	0.443	770.471	8.414	80.0
C00673	2-Deoxy-D-ribose_5-phosphate	5.728	-6.755	0.491	161.011	-6.304	90.0
C00106	Uracil	3.17	8.64	0.367	407.933	7.226	80.0
C00104	IDP	5.883	9.635	0.611	854.119	9.027	90.0
C00105	UMP	2.753	5.848	0.471	64.341	4.921	70.0
C00103	D-Glucose_1-phosphate	-4.747	8.525	0.073	395.22	-4.849	90.0
C00100	Propanoyl-CoA	4.044	-11.843	0.004	3690.149	-4.05	80.0
C00101	Tetrahydrofolate	6.508	-5.948	0.678	152.747	-6.695	90.0
C00270	N-Acetylneuraminate	4.392	8.409	0.522	360.903	7.558	80.0
C00109	2-Oxobutanoate	-4.129	8.041	0.066	280.876	-4.222	80.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	3.17	-5.585	0.188	57.002	-3.418	80.0
C05764	Hexadecanoyl-[acp]	5.977	-7.741	0.294	276.919	-6.349	90.0
C05761	Tetradecanoyl-[acp]	5.57	-7.741	0.222	261.435	-5.859	90.0
C05760	trans-Tetradec-2-enoyl-[acp]	-4.907	-6.615	0.0	0.0	0.0	50.0
C05763	trans-Hexadec-2-enoyl-[acp]	-4.907	-6.615	0.0	0.0	0.0	50.0
C05762	3-Oxohexadecanoyl-[acp]	8.438	9.103	0.927	896.7	9.699	90.0
C00361	dGDP	-2.722	11.327	0.003	2575.614	-2.726	70.0
C00006	NADP+	-4.858	10.437	0.021	1415.278	-4.888	90.0
C02992	L-Threonyl-tRNA(Thr)	-5.931	-9.472	0.0	0.0	0.0	50.0
C00179	Agmatine	-5.426	3.459	0.256	53.989	-3.788	80.0
C03090	5-Phosphoribosylamine	3.632	5.406	0.672	54.798	5.202	70.0
C02972	Dihydrolipoylprotein	-9.533	10.237	0.614	1947.655	-10.224	90.0
C01079	Protoporphyrinogen_IX	-4.7	-2.0	0.0	0.0	0.0	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-1.585	6.539	0.032	95.99	-1.631	70.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	1.874	-6.524	0.04	95.693	-1.93	70.0
C00857	Deamino-NAD+	-2.322	-6.748	0.0	0.0	0.0	50.0
C11432	1-Phenanthrol	4.459	4.524	0.986	45.0	5.471	70.0
C11433	1-Methoxyphenanthrene	-4.459	-4.524	0.0	0.0	0.0	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-3.807	8.543	0.038	386.988	-3.86	80.0
C01172	beta-D-Glucose_6-phosphate	2.406	-8.11	0.019	281.582	-2.433	70.0
C00169	Carbamoyl_phosphate	-4.86	-7.453	0.0	0.0	0.0	50.0
C03892	Phosphatidylglycerophosphate	-4.17	-9.05	0.0	0.0	0.0	50.0
C02412	Glycyl-tRNA(Gly)	-6.066	-8.911	0.0	0.0	0.0	50.0
C00680	meso-2,6-Diaminoheptanedioate	-6.666	7.801	0.455	324.562	-7.207	90.0
C02553	L-Seryl-tRNA(Ser)	-5.644	-9.658	0.0	0.0	0.0	50.0
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	2.939	-7.67	0.038	211.326	-2.992	70.0
C05378	beta-D-Fructose_1,6-bisphosphate	4.179	12.624	0.331	6330.632	11.033	90.0
C00448	trans,trans-Farnesyl_diphosphate	-0.585	6.429	0.017	87.663	-0.61	60.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-5.492	-4.087	0.0	0.0	0.0	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-9.033	-8.725	0.0	0.0	0.0	50.0
C00921	Dihydropteroate	-3.459	7.665	0.054	213.949	-3.535	80.0
C00458	dCTP	-4.464	-8.236	0.0	0.0	0.0	50.0
C00459	dTTP	-4.559	-8.68	0.0	0.0	0.0	50.0
C00455	Nicotinamide_D-ribonucleotide	5.087	8.304	0.613	350.037	7.744	80.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	5.087	10.341	0.492	1331.023	9.355	90.0
C15972	Enzyme_N6-(lipoyl)lysine	-5.087	7.134	0.242	174.448	-5.4	90.0
C00330	Deoxyguanosine	-1.222	8.502	0.006	364.874	-1.231	60.0
C00334	4-Aminobutanoate	-5.728	6.082	0.782	120.746	-6.562	90.0
C00337	(S)-Dihydroorotate	1.874	-3.841	0.256	17.996	-2.203	70.0
