compound_code	compound_name	olsenella_630_score	parabacteroides_630_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	0.585	-5.789	0.027	56.792	-0.624	60.0
C00024	Acetyl-CoA	-2.581	-3.6	0.493	18.109	-3.16	60.0
C00148	L-Proline	1.585	2.536	0.625	8.8	2.459	70.0
C05528	3-Sulfopyruvate	-3.322	-6.476	0.112	99.017	-3.476	60.0
C06481	L-Seryl-tRNA(Sec)	-3.807	-5.644	0.28	64.002	-4.163	80.0
C00020	AMP	0.322	-2.038	0.304	5.357	-0.705	60.0
C00352	D-Glucosamine_6-phosphate	-0.553	4.728	0.055	27.969	-0.631	60.0
C00022	Pyruvate	-2.336	3.014	0.625	13.127	-3.036	50.0
C00143	5,10-Methylenetetrahydrofolate	0.652	-7.296	0.01	158.722	-0.666	60.0
C00141	3-Methyl-2-oxobutanoic_acid	-0.3	5.196	0.034	37.888	-0.348	60.0
C00029	UDP-glucose	1.737	3.853	0.451	17.783	3.003	70.0
C00147	Adenine	-0.252	3.812	0.085	15.236	-0.369	60.0
C00144	GMP	0.637	-3.869	0.106	16.166	-0.783	60.0
C01100	L-Histidinol_phosphate	3.369	5.358	0.629	51.344	5.013	80.0
C01103	Orotidine_5'-phosphate	1.874	-4.298	0.186	23.336	-2.121	50.0
C00026	2-Oxoglutarate	-0.915	3.03	0.231	10.054	-1.215	50.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	-2.807	5.358	0.171	48.011	-3.034	50.0
C00275	D-Mannose_6-phosphate	-5.966	-4.087	0.272	79.504	-4.434	80.0
C00944	3-Dehydroquinate	1.585	-3.858	0.207	17.5	-1.856	50.0
C03838	5'-Phosphoribosylglycinamide	-3.0	-4.322	0.4	28.001	-3.485	60.0
C05830	8-Methoxykynurenate	-4.524	-4.459	0.956	45.0	-5.427	90.0
C00021	S-Adenosyl-L-homocysteine	-2.248	-4.883	0.161	34.258	-2.463	50.0
C02430	L-Methionyl-tRNA	-4.807	-4.248	0.679	46.994	-4.995	90.0
C14819	Fe3+	-4.7	-5.524	0.565	72.006	-5.346	90.0
C14818	Fe2+	4.7	5.524	0.851	72.006	5.937	90.0
C11437	1-Deoxy-D-xylulose_5-phosphate	-1.202	0.617	0.667	3.834	-1.354	50.0
C00436	N-Carbamoylputrescine	-3.459	4.907	0.367	40.999	-3.91	70.0
C00459	dTTP	3.682	-4.559	0.544	36.407	-4.309	80.0
C00780	Serotonin	4.524	4.459	0.986	45.0	5.471	90.0
C00438	N-Carbamoyl-L-aspartate	0.585	3.115	0.188	10.164	0.933	60.0
C00826	L-Arogenate	3.322	5.392	0.616	51.991	5.001	80.0
C02442	N-Methyltyramine	4.524	4.459	0.986	45.0	5.471	90.0
C00101	Tetrahydrofolate	0.344	6.508	0.053	92.282	2.286	70.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-6.209	-8.951	0.149	568.879	-6.41	90.0
C03684	6-Pyruvoyltetrahydropterin	-3.807	-4.858	0.483	42.997	-4.375	80.0
C00120	Biotin	3.907	4.524	0.864	38.008	5.037	80.0
C06250	Holo-[carboxylase]	-3.907	-4.524	0.652	38.008	-4.631	80.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-1.585	-1.585	1.0	6.0	-2.585	50.0
C01345	dITP	3.17	4.087	0.776	25.995	4.334	70.0
C01185	Nicotinate_D-ribonucleotide	-1.0	3.632	0.161	14.398	-1.216	50.0
C02637	3-Dehydroshikimate	-3.459	3.104	0.782	19.595	-3.937	70.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	3.322	-3.82	0.708	24.124	-4.094	80.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	-3.585	4.672	0.471	37.493	-4.142	80.0
C00159	D-Mannose	6.331	-5.17	0.447	116.507	-5.703	90.0
C00011	CO2	4.674	5.582	0.837	73.429	5.942	90.0
C05689	Se-Methyl-L-selenocysteine	3.7	4.755	0.778	39.998	4.96	80.0
C00014	Ammonia	3.17	-8.131	0.032	289.334	-3.216	60.0
C00015	UDP	1.0	-2.807	0.286	8.998	-1.363	50.0
C00019	S-Adenosyl-L-methionine	0.807	3.0	0.269	9.75	1.391	70.0
C00153	Nicotinamide	-3.7	-5.392	0.309	54.987	-4.089	70.0
C00152	L-Asparagine	3.807	5.75	0.662	67.814	5.489	90.0
C00155	L-Homocysteine	2.248	-4.954	0.153	35.746	-2.454	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-2.0	-3.807	0.286	17.997	-2.363	50.0
C04039	2,3-Dihydroxy-3-methylbutanoate	3.322	-4.459	0.455	31.994	-3.863	70.0
C06055	O-Phospho-4-hydroxy-L-threonine	-0.585	-2.415	0.281	6.833	-0.943	60.0
C05840	Iminoaspartate	3.585	3.585	1.0	24.001	4.585	80.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.0	4.17	0.959	34.001	5.027	80.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-1.585	-3.7	0.231	15.996	-1.885	50.0
C01134	Pantetheine_4'-phosphate	1.415	-3.059	0.32	11.001	-1.816	50.0
C16219	3-Oxostearoyl-[acp]	6.209	8.852	0.701	536.057	8.555	90.0
C00066	tRNA	3.459	5.728	0.604	64.0	5.272	80.0
C00197	3-Phospho-D-glycerate	3.51	4.569	0.768	35.128	4.754	80.0
C05345	beta-D-Fructose_6-phosphate	3.936	5.425	0.726	58.268	5.402	90.0
C00227	Acetyl_phosphate	-0.496	0.387	0.927	2.718	-1.334	50.0
C02336	beta-D-Fructose	2.0	4.17	0.48	22.001	3.399	70.0
C01762	Xanthosine	3.7	3.459	0.935	23.993	4.487	80.0
C03511	L-Phenylalanyl-tRNA(Phe)	-3.322	-5.426	0.233	52.993	-3.624	70.0
C00221	beta-D-Glucose	4.0	-5.716	0.304	68.564	-4.383	80.0
C00385	Xanthine	2.17	2.459	0.882	9.999	3.141	70.0
C00387	Guanosine	3.7	-2.222	0.359	17.661	-2.665	50.0
C05659	5-Methoxytryptamine	-4.524	-4.459	0.956	45.0	-5.427	90.0
C00229	Acyl-carrier_protein	-3.0	4.931	0.262	38.506	-3.336	60.0
C00882	Dephospho-CoA	-1.585	1.585	1.0	6.0	-2.585	50.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-3.0	-4.322	0.4	28.001	-3.485	60.0
C05841	Nicotinate_D-ribonucleoside	3.7	3.459	0.935	23.993	4.487	80.0
C03287	L-Glutamyl_5-phosphate	-1.322	0.807	0.7	4.25	-1.572	50.0
