compound_code	compound_name	bacteroides_630_score	cd630_streptomycin_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-3.427	-5.822	0.19	67.327	-3.678	70.0
C00024	Acetyl-CoA	1.97	-8.987	0.008	511.325	-1.981	50.0
C00026	2-Oxoglutarate	4.904	-6.91	0.249	150.199	-5.225	80.0
C00021	S-Adenosyl-L-homocysteine	-6.148	-3.322	0.141	80.915	-3.512	70.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	6.358	5.492	0.864	127.03	6.778	90.0
C00352	D-Glucosamine_6-phosphate	-0.515	-2.104	0.332	5.728	-0.929	50.0
C00022	Pyruvate	-1.121	-7.411	0.013	172.365	-1.139	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-0.547	-1.585	0.487	4.461	-1.119	50.0
C00147	Adenine	-4.409	0.466	0.065	22.626	-0.557	60.0
C00149	(S)-Malate	-1.5	1.415	0.943	5.495	-2.373	50.0
C02430	L-Methionyl-tRNA	-4.807	-4.585	0.857	51.994	-5.478	90.0
C03939	Acetyl-[acyl-carrier_protein]	-8.381	4.644	0.075	358.377	-4.748	80.0
C06311	Galactitol_1-phosphate	-2.322	-8.745	0.012	434.05	-2.339	50.0
C04039	2,3-Dihydroxy-3-methylbutanoate	1.0	1.585	0.631	5.0	1.657	70.0
C00438	N-Carbamoyl-L-aspartate	0.585	-5.17	0.042	37.502	-0.644	50.0
C01228	Guanosine_3',5'-bis(diphosphate)	-3.322	-2.585	0.6	16.001	-3.263	60.0
C00705	dCDP	-5.672	4.524	0.451	73.992	-5.061	80.0
C06250	Holo-[carboxylase]	8.969	5.644	0.629	551.121	8.438	90.0
C00231	D-Xylulose_5-phosphate	-0.107	-7.392	0.006	169.04	-0.116	60.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	0.7	1.17	0.598	3.875	1.213	60.0
C00011	CO2	0.787	9.412	0.084	682.956	5.836	80.0
C00014	Ammonia	-3.116	-9.177	0.015	587.501	-3.137	60.0
C00015	UDP	4.7	-5.762	0.479	80.259	-5.265	80.0
C00019	S-Adenosyl-L-methionine	5.889	-5.771	0.921	113.867	-6.713	90.0
C00153	Nicotinamide	-5.375	-5.781	0.755	96.485	-6.186	90.0
C00152	L-Asparagine	-1.256	7.232	0.016	152.719	-1.279	50.0
C00886	L-Alanyl-tRNA	-2.322	-6.044	0.076	70.982	-2.427	50.0
C00294	Inosine	4.807	5.807	0.828	83.979	6.119	80.0
C05345	beta-D-Fructose_6-phosphate	3.005	8.032	0.374	269.769	6.657	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-0.585	-6.267	0.019	78.511	-0.613	50.0
C00385	Xanthine	-3.858	-5.14	0.411	49.761	-4.355	70.0
C00387	Guanosine	4.807	6.109	0.787	97.016	6.254	80.0
C00229	Acyl-carrier_protein	9.116	-1.585	0.005	557.868	-1.593	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-5.17	-7.384	0.216	203.036	-5.452	80.0
C00365	dUMP	-1.874	3.7	0.282	16.662	-2.232	50.0
C00008	ADP	5.102	-6.62	0.349	132.704	-5.534	90.0
C00002	ATP	4.735	6.552	0.723	120.462	6.444	90.0
C00369	Starch	5.746	8.058	0.713	320.17	7.835	90.0
C00035	GDP	5.358	-5.832	0.72	97.978	-6.14	90.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-1.807	5.492	0.078	48.504	-1.915	50.0
C00256	(R)-Lactate	2.807	9.872	0.284	944.06	8.068	90.0
C01346	dUDP	-5.672	3.115	0.17	59.649	-3.341	60.0
C05336	Selenomethionyl-tRNA(Met)	-4.807	-5.907	0.467	87.998	-5.359	80.0
C05335	L-Selenomethionine	4.807	2.322	0.483	32.993	3.994	70.0
C00310	D-Xylulose	-4.322	-2.585	0.3	26.001	-2.964	60.0
C01931	L-Lysyl-tRNA	-5.209	-7.257	0.242	189.947	-5.521	90.0
C00091	Succinyl-CoA	-4.471	7.38	0.133	188.749	-4.651	80.0
C00092	D-Glucose_6-phosphate	2.17	-7.999	0.018	260.323	-2.195	50.0
C02051	Lipoylprotein	-8.823	-5.7	0.115	504.869	-5.857	90.0
C00498	ADP-glucose	-3.841	-7.23	0.095	164.453	-3.973	70.0
C00095	D-Fructose	-3.459	-7.811	0.049	235.563	-3.528	70.0
C00097	L-Cysteine	0.222	6.465	0.034	89.507	1.62	70.0
C00079	L-Phenylalanine	0.17	-1.972	0.287	5.048	-0.534	60.0
C00073	L-Methionine	2.954	4.916	0.601	37.939	4.511	70.0
C00074	Phosphoenolpyruvate	-1.963	-7.079	0.029	139.103	-2.004	50.0
C00075	UTP	4.931	7.863	0.627	263.314	7.367	90.0
C00620	alpha-D-Ribose_1-phosphate	1.585	6.907	0.229	123.009	4.819	80.0
C00085	D-Fructose_6-phosphate	-4.857	9.159	0.051	600.635	-4.928	80.0
C00242	Guanine	-4.104	-5.518	0.375	63.019	-4.564	80.0
C03785	D-Tagatose_1,6-bisphosphate	-2.585	6.263	0.078	82.798	-2.694	50.0
C00407	L-Isoleucine	3.0	7.384	0.406	175.034	6.152	80.0
C00183	L-Valine	0.222	6.6	0.034	98.172	1.723	70.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-0.637	-4.322	0.078	21.556	-0.745	50.0
C01097	D-Tagatose_6-phosphate	2.585	5.53	0.467	52.206	4.609	80.0
C01094	D-Fructose_1-phosphate	0.585	8.517	0.069	367.83	4.659	80.0
C00169	Carbamoyl_phosphate	1.369	-5.087	0.076	36.572	-1.475	50.0
C00106	Uracil	5.096	-2.755	0.197	40.952	-3.015	60.0
C00342	Thioredoxin	5.358	-9.947	0.042	1028.077	-5.417	80.0
C00105	UMP	0.657	2.75	0.239	8.304	0.988	60.0
C00103	D-Glucose_1-phosphate	-1.888	-4.556	0.157	27.224	-2.099	50.0
C00063	CTP	4.165	7.758	0.537	234.405	6.975	90.0
C00062	L-Arginine	0.363	4.17	0.087	19.287	0.748	60.0
C00064	L-Glutamine	2.12	5.421	0.391	47.19	4.206	70.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	0.7	1.17	0.598	3.875	1.213	60.0
C00577	D-Glyceraldehyde	-0.585	-9.794	0.002	889.244	-0.587	60.0
C01300	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	4.426	3.459	0.782	32.493	4.666	80.0
C00279	D-Erythrose_4-phosphate	0.531	-8.259	0.005	307.787	-0.538	60.0
C00361	dGDP	-6.08	5.896	0.88	127.198	-6.807	90.0
C00668	alpha-D-Glucose_6-phosphate	-3.658	7.097	0.092	149.525	-3.785	70.0
C03402	L-Asparaginyl-tRNA(Asn)	-1.585	-5.672	0.059	53.985	-1.667	50.0
C00666	LL-2,6-Diaminoheptanedioate	-1.874	-6.647	0.037	103.884	-1.926	50.0
C03406	N-(L-Arginino)succinate	-2.585	-5.129	0.171	40.993	-2.813	60.0
C00117	D-Ribose_5-phosphate	-0.447	-8.485	0.004	359.657	-0.452	60.0
C00111	Glycerone_phosphate	-0.011	-7.34	0.006	163.024	-0.02	60.0
C00112	CDP	5.672	-6.349	0.625	132.5	-6.373	90.0
C00343	Thioredoxin_disulfide	-5.672	9.967	0.051	1051.828	-5.744	90.0
C00354	D-Fructose_1,6-bisphosphate	2.737	-7.151	0.047	148.79	-2.803	60.0
C00118	D-Glyceraldehyde_3-phosphate	2.693	-6.707	0.062	110.941	-2.78	60.0
C02972	Dihydrolipoylprotein	8.823	8.195	0.929	745.934	9.436	90.0
C00262	Hypoxanthine	-3.858	5.285	0.372	53.489	-4.314	70.0
C01172	beta-D-Glucose_6-phosphate	-0.12	6.492	0.012	91.096	-0.137	60.0
C00267	alpha-D-Glucose	-7.521	4.036	0.089	200.078	-4.159	70.0
