compound_code	compound_name	clostridium_630_score	olsenella_630_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	2.766	0.585	0.211	8.302	0.812	70.0
C00024	Acetyl-CoA	-2.609	-2.581	0.981	12.084	-3.567	70.0
C00148	L-Proline	-3.787	1.585	0.217	16.804	-1.869	50.0
C05528	3-Sulfopyruvate	-4.644	-3.322	0.4	35.003	-3.807	70.0
C06481	L-Seryl-tRNA(Sec)	-4.858	-3.807	0.483	42.997	-4.375	90.0
C00020	AMP	-0.115	0.322	0.866	2.333	-1.015	60.0
C00352	D-Glucosamine_6-phosphate	-0.737	-0.553	0.88	3.134	-1.464	50.0
C00022	Pyruvate	-4.284	-2.336	0.259	24.53	-2.668	50.0
C00143	5,10-Methylenetetrahydrofolate	4.592	0.652	0.142	25.689	1.867	70.0
C00141	3-Methyl-2-oxobutanoic_acid	1.566	-0.3	0.416	4.192	-0.802	60.0
C00029	UDP-glucose	4.689	1.737	0.37	29.128	3.432	80.0
C00147	Adenine	0.149	-0.252	0.931	2.3	-1.098	50.0
C00144	GMP	-1.399	0.637	0.59	4.192	-1.306	50.0
C01100	L-Histidinol_phosphate	0.737	3.369	0.219	11.998	1.392	70.0
C00026	2-Oxoglutarate	-4.224	-0.915	0.101	20.573	-1.054	60.0
C14089	1-Hydroxymethylnaphthalene	4.977	4.807	0.966	59.487	5.844	90.0
C00944	3-Dehydroquinate	-3.322	1.585	0.3	13.001	-1.964	50.0
C00021	S-Adenosyl-L-homocysteine	-4.19	-2.248	0.26	23.002	-2.582	50.0
C05402	Melibiose	-0.737	-2.807	0.238	8.665	-1.045	60.0
C02430	L-Methionyl-tRNA	-2.807	-4.807	0.25	34.991	-3.129	60.0
C06311	Galactitol_1-phosphate	-7.17	-5.334	0.28	184.344	-5.69	90.0
C00433	2,5-Dioxopentanoate	3.0	3.0	1.0	16.0	4.0	80.0
C03232	3-Phosphonooxypyruvate	1.138	-4.379	0.106	23.008	-1.283	50.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	2.858	-0.737	0.23	8.917	-1.036	60.0
C01181	4-Trimethylammoniobutanoate	-3.0	-3.0	1.0	16.0	-4.0	80.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	5.248	-1.585	0.079	41.002	-1.695	50.0
C06002	(S)-Methylmalonate_semialdehyde	3.0	-1.0	0.25	10.0	-1.322	50.0
C01185	Nicotinate_D-ribonucleotide	-3.17	-1.0	0.222	11.0	-1.289	50.0
C02637	3-Dehydroshikimate	2.807	-3.459	0.636	17.995	-3.518	70.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	-2.248	3.322	0.475	14.751	-2.809	60.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	3.0	-3.585	0.667	20.0	-3.737	70.0
C00159	D-Mannose	-1.0	6.331	0.025	82.505	-1.035	60.0
C02839	L-Tyrosyl-tRNA(Tyr)	-6.129	-3.322	0.143	79.987	-3.515	70.0
C00014	Ammonia	6.096	3.17	0.52	77.404	5.331	90.0
C00015	UDP	2.807	1.0	0.356	8.998	1.681	70.0
C02336	beta-D-Fructose	2.632	2.0	0.76	10.199	2.954	80.0
C16688	Sucrose_6-phosphate	2.0	-2.0	1.0	8.0	-3.0	60.0
C00152	L-Asparagine	-4.732	3.807	0.527	40.572	-4.417	90.0
C00155	L-Homocysteine	-2.7	2.248	0.731	11.248	-3.04	60.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-4.807	-2.0	0.143	31.993	-2.193	50.0
C04039	2,3-Dihydroxy-3-methylbutanoate	-2.807	3.322	0.7	16.999	-3.572	70.0
C05840	Iminoaspartate	-3.0	3.585	0.667	20.0	-3.737	70.0
C00954	Indole-3-acetate	-3.0	-3.0	1.0	16.0	-4.0	80.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.807	4.0	0.832	43.993	5.194	90.0
C01134	Pantetheine_4'-phosphate	4.585	1.415	0.309	26.667	3.041	80.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	6.17	-3.585	0.167	84.004	-3.807	70.0
C05345	beta-D-Fructose_6-phosphate	-5.033	3.936	0.467	48.046	-4.489	90.0
C00818	D-Glucarate	1.585	-3.0	0.375	11.0	-2.044	50.0
C00226	Primary_alcohol	4.977	4.807	0.966	59.487	5.844	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-1.807	-3.322	0.35	13.5	-2.24	50.0
C05382	Sedoheptulose_7-phosphate	5.573	-3.846	0.302	61.984	-4.227	80.0
C00385	Xanthine	0.879	2.17	0.405	6.339	1.361	70.0
C00229	Acyl-carrier_protein	-4.728	-3.0	0.302	34.501	-3.381	60.0
C00882	Dephospho-CoA	-4.585	-1.585	0.125	27.001	-1.755	50.0
C00655	Xanthosine_5'-phosphate	-1.273	-1.047	0.855	4.483	-1.938	50.0
C00718	Amylose	4.129	2.907	0.704	24.997	4.137	80.0
C03127	L-Isoleucyl-tRNA(Ile)	-7.592	-3.322	0.052	202.939	-3.395	70.0
C02291	L-Cystathionine	3.585	3.17	0.884	21.001	4.215	90.0
C00364	dTMP	-3.459	-2.585	0.546	16.997	-3.213	60.0
C00365	dUMP	-4.248	1.648	0.165	22.135	-1.868	50.0
C00009	Orthophosphate	-2.0	-3.17	0.444	13.0	-2.53	50.0
C00008	ADP	2.841	1.322	0.465	9.665	2.169	70.0
C00058	Formate	-5.839	3.209	0.162	66.489	-3.425	70.0
C00003	NAD+	-3.369	-1.874	0.355	13.997	-2.312	50.0
C00002	ATP	3.769	2.054	0.545	17.785	3.277	80.0
C00369	Starch	-4.893	-3.426	0.362	40.461	-3.871	80.0
C05703	Methaneselenol	-8.767	-3.7	0.03	448.638	-3.742	70.0
C00491	L-Cystine	3.585	3.17	0.884	21.001	4.215	90.0
C00804	Propynoate	-3.0	-3.0	1.0	16.0	-4.0	80.0
C03722	Quinolinate	3.17	-3.585	0.75	21.001	-3.977	80.0
C04257	N-Acetyl-D-mannosamine_6-phosphate	6.459	4.585	0.71	111.974	6.313	90.0
C01127	4-Hydroxy-2-oxoglutarate	3.17	4.644	0.683	34.003	4.537	90.0
C06188	Salicin_6-phosphate	2.0	4.585	0.436	28.001	3.61	80.0
C16618	6-Thioxanthine_5'-monophosphate	-1.585	-1.0	0.667	5.0	-1.737	50.0
C05665	3-Aminopropanal	3.0	3.0	1.0	16.0	4.0	80.0
C05336	Selenomethionyl-tRNA(Met)	-2.807	-4.807	0.25	34.991	-3.129	60.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	-1.585	-2.807	0.429	9.998	-2.1	50.0
C00258	D-Glycerate	-0.83	-0.585	0.844	3.278	-1.468	50.0
C05335	L-Selenomethionine	2.807	4.0	0.702	22.998	4.012	80.0
C00099	beta-Alanine	4.261	-3.0	0.417	27.173	-3.503	70.0
C01931	L-Lysyl-tRNA	-1.0	-3.585	0.167	14.0	-1.222	50.0
C00492	Raffinose	0.737	2.807	0.263	8.665	1.186	70.0
C01528	Hydrogen_selenide	-8.183	-2.322	0.017	295.622	-2.347	50.0
C00555	4-Aminobutyraldehyde	3.0	3.0	1.0	16.0	4.0	80.0
C00886	L-Alanyl-tRNA	-6.285	-4.087	0.218	94.973	-4.371	90.0
C00092	D-Glucose_6-phosphate	-5.141	-4.285	0.552	54.78	-4.92	90.0
C00093	sn-Glycerol_3-phosphate	-3.17	3.919	0.595	24.127	-3.844	80.0
C00498	ADP-glucose	-3.459	-3.799	0.79	24.916	-4.299	80.0
C00095	D-Fructose	7.013	-1.222	0.018	131.491	-1.248	50.0
C00097	L-Cysteine	-3.694	-2.263	0.371	17.742	-2.718	60.0
C14099	2-Naphthaldehyde	-4.977	-4.807	0.889	59.487	-5.725	90.0
C00079	L-Phenylalanine	-1.283	0.097	0.44	3.503	-0.623	60.0
C00993	D-Alanyl-D-alanine	5.248	-3.907	0.395	53.003	-4.387	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-0.893	-3.879	0.126	16.57	-1.064	50.0
C14090	1-Naphthaldehyde	-4.977	-4.807	0.889	59.487	-5.725	90.0
C00071	Aldehyde	-4.565	-3.874	0.619	38.332	-4.569	90.0
C02282	Glutaminyl-tRNA	-6.005	3.663	0.197	76.889	-3.923	80.0
C00074	Phosphoenolpyruvate	-6.828	-3.165	0.079	122.584	-3.275	60.0
C00077	L-Ornithine	1.0	6.109	0.164	71.023	3.539	80.0
C00979	O-Acetyl-L-serine	-2.322	2.354	0.978	10.113	-3.306	60.0
C00620	alpha-D-Ribose_1-phosphate	5.966	4.392	0.736	83.505	5.942	90.0
C00075	UTP	4.135	3.479	0.841	28.72	4.595	90.0
C00123	L-Leucine	4.143	1.0	0.241	19.667	2.247	70.0
C05936	N4-Acetylaminobutanal	3.0	3.0	1.0	16.0	4.0	80.0
C00084	Acetaldehyde	4.552	-3.335	0.43	33.549	-3.851	80.0
C06613	trans-3-Chloroallyl_aldehyde	-2.637	-2.939	0.811	13.889	-3.494	70.0
C00082	L-Tyrosine	1.284	0.047	0.037	3.468	-2.978	60.0
C03785	D-Tagatose_1,6-bisphosphate	-2.807	-3.536	0.603	18.598	-3.488	70.0
C00294	Inosine	-3.907	3.7	0.866	27.997	-4.6	90.0
C00407	L-Isoleucine	5.3	-0.263	0.03	40.597	-0.306	70.0
C00089	Sucrose	-0.322	3.0	0.156	9.25	-0.531	60.0
C04646	6-Thioinosine-5'-monophosphate	1.585	3.7	0.428	15.996	2.777	70.0
C06056	4-Hydroxy-L-threonine	-5.285	-3.17	0.231	47.99	-3.47	70.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-0.637	0.637	1.0	3.11	-1.637	50.0
C00166	Phenylpyruvate	2.595	-0.195	0.189	7.187	-0.445	60.0
C00673	2-Deoxy-D-ribose_5-phosphate	-1.322	4.358	0.122	23.006	-1.488	50.0
C02988	L-Histidyl-tRNA(His)	-6.17	-3.322	0.139	82.004	-3.51	70.0
C00162	Fatty_acid	3.0	3.0	1.0	16.0	4.0	80.0
C00275	D-Mannose_6-phosphate	3.907	-5.966	0.24	77.51	-4.217	80.0
C02984	L-Aspartyl-tRNA(Asp)	-5.285	-3.322	0.256	48.99	-3.651	70.0
C01094	D-Fructose_1-phosphate	-8.23	5.007	0.107	332.401	-5.154	90.0
C00169	Carbamoyl_phosphate	-0.308	4.829	0.044	29.661	-0.37	60.0
C02047	L-Leucyl-tRNA	-6.658	-4.087	0.168	117.98	-4.311	90.0
C00106	Uracil	-3.598	-2.433	0.446	17.509	-2.965	60.0
C00068	Thiamin_diphosphate	-0.415	0.241	0.886	2.515	-1.157	50.0
C00342	Thioredoxin	-9.75	3.807	0.016	875.074	-3.83	70.0
C00343	Thioredoxin_disulfide	9.747	-3.807	0.016	873.286	-3.83	70.0
C03082	4-Phospho-L-aspartate	-3.17	3.293	0.918	18.802	-4.11	80.0
C00103	D-Glucose_1-phosphate	5.771	1.959	0.339	58.494	4.312	90.0
C00101	Tetrahydrofolate	-4.265	0.344	0.066	20.495	-0.436	60.0
C01962	Thiocysteine	-3.585	-3.17	0.75	21.001	-3.977	80.0
C00063	CTP	3.863	3.08	0.797	23.007	4.197	90.0
C00062	L-Arginine	5.672	-4.248	0.373	69.986	-4.705	90.0
C00065	L-Serine	-6.479	0.585	0.017	90.702	-0.609	60.0
C00064	L-Glutamine	-6.228	-3.763	0.181	88.534	-4.003	80.0
C00109	2-Oxobutanoate	-3.755	2.607	0.451	19.593	-3.144	60.0
C00860	L-Histidinol	1.585	-3.0	0.375	11.0	-2.044	50.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	0.322	1.459	0.221	3.999	-0.18	70.0
C02576	Perillyl_aldehyde	3.0	3.0	1.0	16.0	4.0	80.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	-2.248	3.322	0.475	14.751	-2.809	60.0
C00577	D-Glyceraldehyde	1.263	-5.358	0.059	43.413	-1.345	50.0
C02170	Methylmalonate	-3.0	-3.0	1.0	16.0	-4.0	80.0
C00054	Adenosine_3',5'-bisphosphate	-4.728	-3.0	0.302	34.501	-3.381	60.0
C01149	4-Trimethylammoniobutanal	3.0	3.0	1.0	16.0	4.0	80.0
C00279	D-Erythrose_4-phosphate	-4.881	4.077	0.573	46.344	-4.73	90.0
C03175	Shikimate_3-phosphate	2.0	-0.585	0.375	5.5	-1.044	60.0
C01412	Butanal	6.524	4.807	0.737	120.021	6.467	90.0
C00361	dGDP	-4.248	1.585	0.158	22.001	-1.796	50.0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	-0.737	5.0	0.052	33.667	-0.81	60.0
C00900	2-Acetolactate	3.0	-3.585	0.667	20.0	-3.737	70.0
C02670	D-Glucuronolactone	3.0	3.0	1.0	16.0	4.0	80.0
C00668	alpha-D-Glucose_6-phosphate	-5.449	-2.056	0.095	47.841	-2.187	50.0
C03402	L-Asparaginyl-tRNA(Asn)	-1.0	-1.222	0.857	4.333	-1.893	50.0
C00666	LL-2,6-Diaminoheptanedioate	3.716	-4.446	0.603	34.937	-4.397	90.0
C00179	Agmatine	1.807	3.459	0.522	14.496	2.921	70.0
C03406	N-(L-Arginino)succinate	-4.392	-3.807	0.667	34.992	-4.544	90.0
C02163	L-Arginyl-tRNA(Arg)	-5.672	-3.807	0.275	64.982	-4.157	80.0
C02995	Maltose_6'-phosphate	-4.644	4.087	0.68	41.997	-4.835	90.0
C05130	Imidazole-4-acetaldehyde	3.0	3.0	1.0	16.0	4.0	80.0
C00117	D-Ribose_5-phosphate	-4.158	-3.858	0.812	32.352	-4.716	90.0
C00111	Glycerone_phosphate	0.902	-1.58	0.625	4.858	-1.602	50.0
C03090	5-Phosphoribosylamine	-4.379	2.379	0.25	26.009	-2.701	60.0
C00112	CDP	2.624	-3.322	0.616	16.165	-3.317	60.0
C05699	L-Selenocystathionine	3.585	3.17	0.884	21.001	4.215	90.0
C05698	Selenohomocysteine	-3.585	2.322	0.417	17.001	-2.825	60.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	1.402	-1.418	0.989	5.315	-2.394	50.0
C00118	D-Glyceraldehyde_3-phosphate	4.762	-0.726	0.061	28.787	-0.811	60.0
C02909	(2-Naphthyl)methanol	4.977	4.807	0.966	59.487	5.844	90.0
C03688	Apo-[acyl-carrier-protein]	4.728	3.0	0.635	34.501	4.452	90.0
C00242	Guanine	1.837	1.803	0.981	7.062	2.793	70.0
C00158	Citrate	1.519	1.341	0.883	5.399	2.253	70.0
C01079	Protoporphyrinogen_IX	-2.585	-2.0	0.667	10.0	-2.737	60.0
C00857	Deamino-NAD+	3.907	1.0	0.256	17.001	2.121	70.0
C00235	Dimethylallyl_diphosphate	-5.853	-0.678	0.028	59.4	-0.717	60.0
C11924	Perillic_acid	-3.0	-3.0	1.0	16.0	-4.0	80.0
C00681	1-Acyl-sn-glycerol_3-phosphate	5.664	-4.044	0.325	67.199	-4.45	90.0
C00269	CDP-diacylglycerol	1.138	2.585	0.44	8.201	1.852	70.0
C00669	gamma-L-Glutamyl-L-cysteine	-4.0	-3.17	0.563	25.0	-3.814	70.0
C00506	L-Cysteate	4.644	3.322	0.715	35.003	4.646	90.0
C00263	L-Homoserine	-0.222	0.195	0.981	2.311	-1.182	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	5.248	3.322	0.633	48.002	4.925	90.0
C01172	beta-D-Glucose_6-phosphate	-2.126	-2.268	0.906	9.182	-3.057	60.0
C00267	alpha-D-Glucose	-0.628	2.933	0.202	9.182	-0.894	60.0
C00526	Deoxyuridine	3.222	4.248	0.758	28.332	4.426	90.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-5.476	-3.0	0.18	52.508	-3.238	60.0
C00469	Ethanol	4.977	4.807	0.966	59.487	5.844	90.0
C01613	Stachyose	1.415	2.807	0.504	9.665	2.285	70.0
C00188	L-Threonine	-4.636	0.788	0.069	26.591	-0.885	60.0
C06250	Holo-[carboxylase]	6.611	-3.907	0.153	112.749	-4.113	80.0
