compound_code	compound_name	bacteroides_630_score	clostridium_630_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-3.427	2.766	0.632	17.558	-3.473	70.0
C00024	Acetyl-CoA	1.97	-2.609	0.642	10.018	-2.686	60.0
C00026	2-Oxoglutarate	4.904	-4.224	0.624	48.627	-4.924	90.0
C00021	S-Adenosyl-L-homocysteine	-6.148	-4.19	0.257	89.166	-4.52	80.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	6.358	5.781	0.909	137.012	6.961	90.0
C00352	D-Glucosamine_6-phosphate	-0.515	-0.737	0.857	3.096	-1.408	50.0
C00022	Pyruvate	-1.121	-4.284	0.112	21.656	-1.274	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-0.547	1.566	0.493	4.422	-1.126	50.0
C00147	Adenine	-4.409	0.149	0.052	22.353	-0.222	70.0
C02430	L-Methionyl-tRNA	-4.807	-2.807	0.25	34.991	-3.129	70.0
C06311	Galactitol_1-phosphate	-2.322	-7.17	0.035	149.008	-2.371	60.0
C04039	2,3-Dihydroxy-3-methylbutanoate	1.0	-2.807	0.286	8.998	-1.363	50.0
C00705	dCDP	-5.672	4.03	0.32	67.321	-4.431	80.0
C06250	Holo-[carboxylase]	8.969	6.611	0.737	598.864	8.786	90.0
C01346	dUDP	-5.672	-4.248	0.373	69.986	-4.705	90.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	0.7	-2.248	0.342	6.375	-1.124	50.0
C01931	L-Lysyl-tRNA	-5.209	-1.0	0.054	38.988	-1.076	50.0
C00011	CO2	0.787	6.398	0.123	86.057	3.404	70.0
C00014	Ammonia	-3.116	6.096	0.127	77.073	-3.288	70.0
C00015	UDP	4.7	2.807	0.597	32.99	4.3	80.0
C00152	L-Asparagine	-1.256	-4.732	0.09	28.963	-1.38	50.0
C00886	L-Alanyl-tRNA	-2.322	-6.285	0.064	82.979	-2.412	60.0
C00294	Inosine	4.807	-3.907	0.536	42.994	-4.526	80.0
C05345	beta-D-Fructose_6-phosphate	3.005	-5.033	0.245	40.768	-3.321	70.0
