compound_code	compound_name	bacteroides_630_score	parabacteroides_630_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-3.427	-5.789	0.0	0.0	0.0	50.0
C00024	Acetyl-CoA	1.97	-3.6	0.323	16.043	-2.374	80.0
C00026	2-Oxoglutarate	4.904	3.03	0.618	38.108	4.557	70.0
C00021	S-Adenosyl-L-homocysteine	-6.148	-4.883	0.0	0.0	0.0	50.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	6.358	4.585	0.721	106.026	6.257	90.0
C00352	D-Glucosamine_6-phosphate	-0.515	4.728	0.054	27.93	-0.591	70.0
C00022	Pyruvate	-1.121	3.014	0.269	10.253	-1.465	70.0
C00141	3-Methyl-2-oxobutanoic_acid	-0.547	5.196	0.04	38.118	-0.603	70.0
C00147	Adenine	-4.409	3.812	0.661	35.289	-4.544	90.0
C00149	(S)-Malate	-1.5	-2.752	0.0	0.0	0.0	50.0
C02430	L-Methionyl-tRNA	-4.807	-4.248	0.0	0.0	0.0	50.0
C03939	Acetyl-[acyl-carrier_protein]	-8.381	3.051	0.025	341.662	-3.086	80.0
C06311	Galactitol_1-phosphate	-2.322	-3.222	0.0	0.0	0.0	50.0
C18048	N-Succinyl-L-citrulline	-2.322	-4.7	0.0	0.0	0.0	50.0
C04039	2,3-Dihydroxy-3-methylbutanoate	1.0	-4.459	0.091	23.993	-1.126	70.0
C02737	Phosphatidylserine	2.807	-1.0	0.286	8.998	-1.363	70.0
C00438	N-Carbamoyl-L-aspartate	0.585	3.115	0.188	10.164	0.933	60.0
C00705	dCDP	-5.672	1.459	0.054	53.734	-1.535	70.0
C06250	Holo-[carboxylase]	8.969	-4.524	0.046	524.123	-4.589	90.0
C00231	D-Xylulose_5-phosphate	-0.107	-3.66	0.0	0.0	0.0	50.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	0.7	-3.82	0.115	15.748	-0.857	70.0
C00011	CO2	0.787	5.582	0.141	49.627	2.807	60.0
C00014	Ammonia	-3.116	-8.131	0.0	0.0	0.0	50.0
C00015	UDP	4.7	-2.807	0.269	32.99	-3.151	80.0
C05822	3'-CMP	-6.644	-6.755	0.0	0.0	0.0	50.0
C00019	S-Adenosyl-L-methionine	5.889	3.0	0.509	67.261	5.099	80.0
C05796	Galactan	9.136	6.098	0.667	631.112	8.719	90.0
C00152	L-Asparagine	-1.256	5.75	0.044	56.206	-1.319	70.0
C00886	L-Alanyl-tRNA	-2.322	-6.229	0.0	0.0	0.0	50.0
C00294	Inosine	4.807	-2.222	0.167	32.659	-2.444	80.0
C00885	Isochorismate	5.7	3.322	0.583	61.985	5.175	80.0
C05345	beta-D-Fructose_6-phosphate	3.005	5.425	0.554	50.99	4.82	80.0
C00153	Nicotinamide	-5.375	-5.392	0.0	0.0	0.0	50.0
C03511	L-Phenylalanyl-tRNA(Phe)	-0.585	-5.426	0.0	0.0	0.0	50.0
C00385	Xanthine	-3.858	2.459	0.379	19.999	-2.923	80.0
C00387	Guanosine	4.807	-2.222	0.167	32.659	-2.444	80.0
C00229	Acyl-carrier_protein	9.116	4.931	0.541	585.373	8.307	90.0
C00118	D-Glyceraldehyde_3-phosphate	2.693	4.884	0.551	35.994	4.311	70.0
C03125	L-Cysteinyl-tRNA(Cys)	-1.0	-6.658	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-5.17	-6.459	0.0	0.0	0.0	50.0
C00365	dUMP	-1.874	-4.183	0.0	0.0	0.0	50.0
C00008	ADP	5.102	2.585	0.507	40.344	4.353	70.0
C16519	2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate	-5.7	-4.7	0.0	0.0	0.0	50.0
C00002	ATP	4.735	5.839	0.811	83.872	6.088	90.0
C00369	Starch	5.746	4.508	0.785	76.422	5.906	80.0
C15972	Enzyme_N6-(lipoyl)lysine	-8.823	-5.087	0.0	0.0	0.0	50.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-1.807	-3.644	0.0	0.0	0.0	50.0
C01346	dUDP	-5.672	3.585	0.235	62.985	-3.89	90.0
C05336	Selenomethionyl-tRNA(Met)	-4.807	-5.459	0.0	0.0	0.0	50.0
C05335	L-Selenomethionine	4.807	2.0	0.416	31.993	3.735	70.0
C00395	Penicillin	7.066	4.858	0.688	162.992	6.808	90.0
C00310	D-Xylulose	-4.322	-6.492	0.0	0.0	0.0	50.0
C01931	L-Lysyl-tRNA	-5.209	-6.022	0.0	0.0	0.0	50.0
C00091	Succinyl-CoA	-4.471	-5.857	0.0	0.0	0.0	50.0
C00092	D-Glucose_6-phosphate	2.17	7.766	0.279	222.17	5.956	80.0
